,Utility,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit
0,City of Pendleton,Arsenic,0.750 ppb,0.004 ppb,10 ppb
1,City of Pendleton,Chromium (hexavalent),0.0472 ppb,0.02 ppb,
2,City of Pendleton,Haloacetic acids (HAA5)†,15.3 ppb,0.1 ppb,60 ppb
3,City of Pendleton,Haloacetic acids (HAA9)†,16.2 ppb,0.06 ppb,
4,City of Pendleton,Nitrate,1.40 ppm,0.14 ppm,10 ppm
5,City of Pendleton,Total trihalomethanes (TTHMs)†,25.5 ppb,0.15 ppb,80 ppb
6,City of Pendleton,Uranium,0.89 pCi/L,0.43 pCi/L,20 pCi/L
7,City of Pendleton,Chlorate,125.9 ppb,210 ppb,
8,City of Pendleton,Chromium (total),0.0338 ppb,,100 ppb
9,City of Pendleton,Manganese,3.99 ppb,100 ppb,
10,City of Pendleton,Molybdenum,0.381 ppb,40 ppb,
11,City of Pendleton,Strontium,0.0703 ppb,"1,500 ppb",
12,City of Pendleton,Vanadium,8.72 ppb,21 ppb,
13,City of Pendleton,None,,,
14,City of Hermiston,Arsenic,2.25 ppb,0.004 ppb,10 ppb
15,City of Hermiston,Chromium (hexavalent),0.113 ppb,0.02 ppb,
16,City of Hermiston,Haloacetic acids (HAA5)†,17.7 ppb,0.1 ppb,60 ppb
17,City of Hermiston,Haloacetic acids (HAA9)†,23.0 ppb,0.06 ppb,
18,City of Hermiston,Nitrate,1.10 ppm,0.14 ppm,10 ppm
19,City of Hermiston,Total trihalomethanes (TTHMs)†,31.6 ppb,0.15 ppb,80 ppb
20,City of Hermiston,Uranium,1.62 pCi/L,0.43 pCi/L,20 pCi/L
21,City of Hermiston,Chromium (total),0.0763 ppb,,100 ppb
22,City of Hermiston,Germanium,1.18 ppb,,
23,City of Hermiston,Manganese,2.61 ppb,100 ppb,
24,City of Hermiston,Molybdenum,2.69 ppb,40 ppb,
25,City of Hermiston,Strontium,0.151 ppb,"1,500 ppb",
26,City of Hermiston,Vanadium,4.48 ppb,21 ppb,
27,City of Hermiston,Xylenes (total),0.0471 ppb,"1,800 ppb","10,000 ppb"
28,City of Hermiston,None,,,
29,"Milton-freewater, City Of",Total trihalomethanes (TTHMs)†,1.14 ppb,0.15 ppb,80 ppb
30,"Milton-freewater, City Of",Nitrate,0.0628 ppm,0.14 ppm,10 ppm
31,"Milton-freewater, City Of",None,,,
32,"Umatilla, City of",Haloacetic acids (HAA5)†,1.33 ppb,0.1 ppb,60 ppb
33,"Umatilla, City of",Total trihalomethanes (TTHMs)†,16.1 ppb,0.15 ppb,80 ppb
34,"Umatilla, City of",None,,,
35,"Stanfield, City of",Arsenic,0.257 ppb,0.004 ppb,10 ppb
36,"Stanfield, City of",Haloacetic acids (HAA5)†,0.809 ppb,0.1 ppb,60 ppb
37,"Stanfield, City of",Total trihalomethanes (TTHMs)†,4.51 ppb,0.15 ppb,80 ppb
38,"Stanfield, City of",Barium,4.73 ppb,700 ppb,"2,000 ppb"
39,"Stanfield, City of",Chromium (total),0.308 ppb,,100 ppb
40,"Stanfield, City of",Fluoride,1.19 ppm,,4 ppm
41,"Stanfield, City of",Nitrate,0.0394 ppm,0.14 ppm,10 ppm
42,"Stanfield, City of",Nitrate and nitrite,0.108 ppm,0.14 ppm,10 ppm
43,"Stanfield, City of",None,,,
