,Utility name,City,People served,Zip
0,City of Pendleton,"Pendleton, OR","Population served:17,310",97810
1,City of Hermiston,"Hermiston, OR","Population served:18,200",97810
2,"Milton-freewater, City Of","Milton-freewater, OR","Population served:7,070",97810
3,"Umatilla, City of","Umatilla, OR","Population served:6,980",97810
4,"Stanfield, City of","Stanfield, OR","Population served:2,115",97810
0,"Adrian, City of",Adrian,Population served: 180,97901
1,City of Ontario,Ontario,"Population served: 14,465",97901
2,Fischers Place Mobile Home Park,Scappoose,Population served: 125,97901
3,"Jordan Valley, City of",Jordan Valley,Population served: 175,97901
4,"Nyssa, City of",Nyssa,"Population served: 3,285",97901
5,River Village Mobile Home Park,Ontario,Population served: 40,97901
6,"Vale, City of",Vale,"Population served: 1,950",97901
0,"Brookings, City of",Brookings,"Population served: 6,336",97406
1,"Gold Beach, City of",Gold Beach,"Population served: 3,000",97406
2,Harbor Water People's Utility District,Harbor,"Population served: 3,190",97406
3,Langlois Water District,Langlois,Population served: 220,97406
4,Nesika Beach-ophir Water District,Gold Beach,"Population served: 1,500",97406
5,Old Sheep Ranch Water Association,Langlois,Population served: 56,97406
7,"Port Orford, City of",Port Orford,"Population served: 1,140",97406
8,Rainbow Rock Service Association,Brookings,Population served: 80,97406
9,Rainbow Rock Village Mobile Home Park,Brookings,Population served: 115,97406
10,Saunders Creek Hoc,Gold Beach,Population served: 75,97406
0,City of Corvallis,"Corvallis, OR","Population served:56,000",97321
1,City of Albany,"Albany, OR","Population served:56,100",97321
2,City of Lebanon,"Lebanon, OR","Population served:15,518",97321
3,City of Dallas,"Dallas, OR","Population served:14,700",97321
4,"Monmouth, City of","Monmouth, OR","Population served:9,855",97321
5,"Sweet Home, City of","Lebanon, OR","Population served:9,065",97321
6,Independence Water System,"Independence, OR","Population served:8,600",97321
7,Philomath Public Works,"Philomath, OR","Population served:4,670",97321
8,"Harrisburg, City of","Harrisburg, OR","Population served:3,650",97321
9,Luckiamute Domestic Water Co-op,"Monmouth, OR","Population served:2,738",97321
4,Lyons Mehama Water District,"Lyons, OR","Population served:1,300",97322
0,"Bandon, City of",Bandon,"Population served: 3,175",97407
1,Bridge Water District,Myrtle Point,Population served: 150,97407
2,Coos Bay North Bend Water Board,Coos Bay,"Population served: 34,500",97407
3,"Coquille, City of",Coquille,"Population served: 3,866",97407
4,Country Club Estates Water District,Coos Bay,Population served: 45,97407
5,Dean Minard Water District,Coquille,Population served: 78,97407
6,Garden Valley Water Association,Coquille,Population served: 30,97407
7,Lakeside Water District,Lakeside,"Population served: 1,800",97407
8,"Myrtle Point, City of",Myrtle Point,"Population served: 2,600",97407
9,North Bayside Estates-north,North Bend,Population served: 65,97407
10,North Bayside Estates-south,North Bend,Population served: 40,97407
11,"Powers, City of",Powers,Population served: 700,97407
12,Rink Creek Water District,Coquille,Population served: 286,97407
13,Sand-n-wood Mobile Villa,North Bend,Population served: 65,97407
14,Shelley Road-crest Acres Water District,Coquille,Population served: 430,97407
15,Weiss Estates Water System,Bandon,Population served: 36,97407
0,Eugene Water & Electric Board,"Eugene, OR","Population served:168,000",97324
1,Springfield Utility Board,"Springfield, OR","Population served:59,500",97324
3,Lincoln City Water District,"Lincoln City, OR","Population served:20,830",97324
4,City of Newport,"Newport, OR","Population served:10,160",97324
5,"Cottage Grove, City of","Cottage Grove, OR","Population served:10,005",97324
6,"Florence, City of","Florence, OR","Population served:8,850",97324
7,Rainbow Water District,"Springfield, OR","Population served:6,300",97324
8,Junction City Water Utilities,"Junction City, OR","Population served:3,011",97324
9,Seal Rock Water District,"Seal Rock, OR","Population served:5,500",97324
6,"Creswell, City of","Creswell, OR","Population served:5,075",97409
7,"Veneta, City of","Veneta, OR","Population served:4,755",97409
8,Heceta Water Peoples Utility District,"Florence, OR","Population served:4,921",97409
9,"Oakridge, City of","Oakridge, OR","Population served:3,225",97409
0,McMinnville Water & Light,"Mcminnville, OR","Population served:33,896",97101
1,City of Newberg,"Newberg, OR","Population served:23,795",97101
0,"Antelope, City of",Antelope,Population served: 46,97001
1,Barlow Water District,Tygh Valley,Population served: 497,97001
2,Chenowith People's Utility District,The Dalles,"Population served: 4,500",97001
3,City of The Dalles,The Dalles,"Population served: 12,494",97001
4,"Dufur, City of",Dufur,Population served: 610,97001
5,"Dufur, South Basin",Dufur,Population served: 90,97001
6,Foley Lakes Mobile Home Park,The Dalles,Population served: 300,97001
7,Hazel Dell Orchard,The Dalles,Population served: 260,97001
8,"Maupin, City Of",Maupin,Population served: 420,97001
9,"Mosier, City of",Mosier,Population served: 450,97001
10,Pine Grove Water District (wasco),Maupin,Population served: 140,97001
11,Pinewood Mobile Manor,The Dalles,Population served: 130,97001
12,Rowena Crest Manor,The Dalles,Population served: 47,97001
13,Rowena Dell Water System,The Dalles,Population served: 30,97001
14,Sportsmans Park Water Association,Tygh Valley,Population served: 150,97001
15,Tooley Water District,Newberg,Population served: 42,97001
16,Tygh Valley Water District,Tygh Valley,Population served: 247,97001
17,View Point Trailer Court,The Dalles,Population served: 160,97001
18,Wamic Water Association,Wamic,Population served: 130,97001
19,Young Life,Antelope,Population served: 482,97001
0,Arch Cape Water District,Arch Cape,Population served: 150,97102
1,"Astoria, City of",Astoria,"Population served: 9,802",97102
2,Burnside Water Association,Astoria,Population served: 315,97102
3,"Cannon Beach, City of",Cannon Beach,"Population served: 1,710",97102
4,Elderberry Nehalem Ws,Seaside,Population served: 140,97102
5,Evergreen Acres,Seaside,Population served: 100,97102
6,Fernhill Community Water System,Astoria,Population served: 300,97102
7,Gearhart Water Department,Gearhart,"Population served: 1,465",97102
8,John Day Water District,Astoria,Population served: 350,97102
9,Knappa Water Association,Astoria,"Population served: 1,800",97102
10,Olney-walluski Water Association,Astoria,Population served: 530,97102
11,Seaside Water Department,Seaside,"Population served: 6,605",97102
12,Stanley Acres Water Association,Seaside,Population served: 315,97102
13,Sunset Lake Rv Park,Redmond,Population served: 170,97102
14,"Warrenton, City of",Warrenton,"Population served: 9,100",97102
15,Wauna Water District,Westport,Population served: 188,97102
16,Westport Heights,Westport,Population served: 90,97102
17,Westport Water Association,Westport,Population served: 550,97102
18,Wickiup Water District,Astoria,"Population served: 1,590",97102
19,Willow Dale Water District,Astoria,Population served: 300,97102
20,Youngs River Lewis & Clark Water District,Astoria,"Population served: 2,530",97102
0,Arlington City Water Supply,Arlington,Population served: 610,97812
1,Condon Heights Ws,Condon,Population served: 33,97812
2,"Condon, City of",Condon,Population served: 690,97812
0,Medford Water Commission,"Medford, OR","Population served:91,000",97520
1,Ashland Water Department,"Ashland, OR","Population served:20,700",97520
2,City of Central Point,"Central Point, OR","Population served:17,025",97520
3,"Eagle Point, City of","Eagle Point, OR","Population served:9,697",97520
4,"Talent, City of","Talent, OR","Population served:6,850",97520
5,"Phoenix, City of","Phoenix, OR","Population served:4,603",97520
6,"Jacksonville, City of","Jacksonville, OR","Population served:2,850",97520
7,"Rogue River, City of","Rogue River, OR","Population served:2,250",97520
8,"Gold Hill, City of","Gold Hill, OR","Population served:1,115",97520
9,Hiland Water Company - Shady Cove,"Newberg, OR","Population served:1,000",97520
0,Salem Public Works,"Salem, OR","Population served:192,000",97325
1,City of Keizer,"Keizer, OR","Population served:37,505",97325
2,City of Woodburn,"Woodburn, OR","Population served:24,670",97325
3,Suburban East Salem WD,"Salem, OR","Population served:13,600",97325
4,"Silverton, City of","Silverton, OR","Population served:10,325",97325
5,Stayton Water Supply,"Stayton, OR","Population served:7,830",97325
6,"Mount Angel, City of","Mt. Angel, OR","Population served:3,450",97325
7,"Aumsville, City of","Aumsville, OR","Population served:3,945",97325
8,"Hubbard, City of","Hubbard, OR","Population served:3,304",97325
9,"Sublimity, City of","Sublimity, OR","Population served:2,760",97325
1,North Clackamas County Water Commission,"Oregon City, OR","Population served:87,700",97002
2,South Fork Water Board,"Oregon City, OR","Population served:65,000",97002
3,Sunrise Water Authority,"Happy Valley, OR","Population served:46,228",97002
4,Clackamas River Water - Clackamas,"Clackamas, OR","Population served:41,338",97002
6,Lake Oswego Municipal Water,"Lake Oswego, OR","Population served:36,453",97002
7,Oregon City,"Oregon City, OR","Population served:33,940",97002
8,Oak Lodge Water District,"Milwaukie, OR","Population served:30,000",97002
9,City of West Linn,"West Linn, OR","Population served:25,002",97002
0,"Canyonville, City of",Canyonville,"Population served: 1,975",97410
1,City of Roseburg,Roseburg,"Population served: 28,800",97410
2,Clarks Branch Water Association,Myrtle Creek,Population served: 140,97410
3,Diamond Lake Lodge/resort,Diamond Lake,Population served: 90,97410
4,"Drain, City of",Drain,"Population served: 1,151",97410
5,"Elkton, City of",Elkton,Population served: 200,97410
6,Fortune Branch Mobile Village,Myrtle Creek,Population served: 80,97410
7,"Glendale, City of",Cave Junction,Population served: 980,97410
8,Glide Water Association,Glide,"Population served: 1,200",97410
9,Lawson Acres Water Association,Riddle,Population served: 75,97410
10,Milo Academy,Days Creek,Population served: 150,97410
11,"Myrtle Creek, City of",Myrtle Creek,"Population served: 3,490",97410
12,"Oakland, City of",Oakland,Population served: 954,97410
13,Porter Creek Mobile Home Park,Tenmile,Population served: 35,97410
14,Pp&l-toketee Village,Idleyld Park,Population served: 50,97410
15,"Reedsport, City of",Reedsport,"Population served: 4,784",97410
16,Rice Hill West Subdivision,Oakland,Population served: 36,97410
17,"Riddle, City of",Riddle,"Population served: 1,300",97410
18,Roberts Creek Water District,Roseburg,"Population served: 6,500",97410
19,South Umpqua Water Association,Riddle,Population served: 575,97410
20,"Sutherlin, City of",Sutherlin,"Population served: 8,060",97410
21,Tri-city Jw&sa,Myrtle Creek,"Population served: 3,500",97410
22,U.S. Forest Service Toketee Ranger Station,Roseburg,Population served: 150,97410
23,U.S. Forest Service Wolf Creek Job Corps,Roseburg,Population served: 291,97410
24,Umpqua Basin Water Association,Roseburg,"Population served: 8,900",97410
25,Umpqua Ranch Co-op,Idleyld,Population served: 161,97410
26,Union Gap Water District,Oakland,Population served: 150,97410
28,Winston-dillard Water District,Winston,"Population served: 8,060",97410
29,"Yoncalla, City of",Yoncalla,"Population served: 1,095",97410
0,Baker City,Baker City,"Population served: 9,890",97814
1,City of La Grande,La Grande,"Population served: 13,245",97814
2,"Cove, City of",Cove,Population served: 550,97814
3,Elgin Water Department,Elgin,"Population served: 1,725",97814
4,Flying K Trailer Ranch,La Grande,Population served: 96,97814
5,"Haines, City of",Haines,Population served: 415,97814
6,"Halfway, City of",Halfway,Population served: 290,97814
7,"Huntington, City of",Huntington,Population served: 445,97814
8,Idaho Power-oxbow Village,Oxbow,Population served: 75,97814
9,"Imbler, City of",Imbler,Population served: 305,97814
10,Island City,Island City,"Population served: 1,115",97814
11,"North Powder, City Of",North Powder,Population served: 445,97814
12,"Richland, City of",Richland,Population served: 245,97814
13,"Sumpter, City of",Sumpter,Population served: 205,97814
14,Sundowner Mobile Home Park,La Grande,Population served: 160,97814
15,"Union, City of",Union,"Population served: 2,150",97814
16,"Unity, City of",Unity,Population served: 71,97814
17,Western Heights Water Company,Baker City,Population served: 70,97814
0,Banks Water Department,Banks,"Population served: 2,070",97106
1,City of Beaverton,Beaverton,"Population served: 70,000",97106
2,City of Cornelius,Cornelius,"Population served: 12,165",97106
3,City of Forest Grove,Forest Grove,"Population served: 23,080",97106
4,City of Hillsboro,Hillsboro,"Population served: 88,243",97106
5,City of Sherwood,Sherwood,"Population served: 19,505",97106
6,City of Tigard,Tigard,"Population served: 60,236",97106
7,City of Tualatin,Tualatin,"Population served: 26,879",97106
8,Crown Mobile Home Park,Newberg,Population served: 42,97106
9,Fir Grove Homeowners Association,Hillsboro,Population served: 450,97106
10,"Gaston, City of",Gaston,Population served: 625,97106
11,Hillsboro-cherry Grove,Hillsboro,"Population served: 1,456",97106
12,Joint Water Commission,Hillsboro,"Population served: 397,769",97106
13,La Water Co-op,Gaston,"Population served: 2,500",97106
14,Laurel Acres Water Company Inc.,Cornelius,Population served: 50,97106
15,Laurelwood Water Users,Gaston,Population served: 200,97106
16,North Plains Water Department,North Plains,"Population served: 3,095",97106
18,Parrett Mountain View Estates,Sherwood,Population served: 140,97106
19,Rainbow Ends Water System,Hillsboro,Population served: 50,97106
20,Raleigh Water District,Portland,"Population served: 4,500",97106
21,South Hills Water System,Hillsboro,Population served: 250,97106
22,Star Satellite Improvement District,Banks,Population served: 400,97106
23,Timber Water Association,Timber,Population served: 180,97106
24,Tualatin Valley Water District,Beaverton,"Population served: 222,000",97106
25,West Laurel Acres Water Company,Cornelius,Population served: 62,97106
26,West Slope Water District,Portland,"Population served: 10,400",97106
27,Westview Mobile Estates,Eugene,Population served: 250,97106
28,Wolsborn Farms Water District,Hillsboro,Population served: 90,97106
0,Canyon City Water Department,Canyon City,Population served: 705,97817
1,"Dayville, City of",Dayville,Population served: 150,97817
2,"John Day, City of",John Day,"Population served: 1,735",97817
3,"Long Creek, City Of",Long Creek,Population served: 195,97817
4,"Monument, City of",Monument,Population served: 130,97817
5,"Mount Vernon, City of",Mount Vernon,Population served: 509,97817
6,Prairie City,Prairie City,Population served: 910,97817
7,Sagedale Apartments,Ellensburg,Population served: 40,97817
8,"Seneca, City of",Seneca,Population served: 200,97817
