Utility,Location,PeopleServed,ViolationPoints
Dekalb-Jackson Water Supply District,"Ider, AL",15531,30
North Clarke Water Authority,"Thomasville, AL",975,25
Cwm Water Authority,"Dickinson, AL",1722,10
Centre Water & Sewer Board,"Centre, AL",7050,5
Mid-central Water Authority,"Fulton, AL",2331,5
Thomasville Water Works & Sewer Board,"Thomasville, AL",6897,5
Union Grove Utility Board,"Union Grove, AL",2862,2
Prichard Water Works Board,"Prichard, AL",32400,2
Enterprise Water Works,"Enterprise, AL",48000,2
Mcintosh Water & Fire Pro Authority,"Mcintosh, AL",3060,1
Lemoyne Water System Inc.,"Axis, AL",3825,1
Saraland Water Service,"Saraland, AL",13827,1
Wadley Utilities Board,"Wadley, AL",873,1
Camp Hill Utilities Board,"Camp Hill, AL",1710,1
"Daviston Water System, Town of","Daviston, AL",630,1
Jasper Water Works and Sewer Board,"Jasper, AL",28638,1
Oneonta Utilities Board,"Oneonta, AL",19737,1
South Marengo Co. Water & Fire Pro Authority,"Linden, AL",5610,1
Hamden Ridge Water Authority,"Evergreen, AL",2196,1
Clay County Water Authority,"Lineville, AL",1818,1
Blount County Water,"Cleveland, AL",17400,1
Gantt Water System,"Gantt, AL",825,1
Winfield Water Works & Sewer Board,"Winfield, AL",8631,1
Harvest-Monrovia Water System,"Prospect, AL",51912,1
Beauregard Water Authority,"Opelika, AL",11178,1
Chisholm Heights Water & F P Authority,"Florence, AL",4500,1
Detroit Water Works,"Detroit, AL",435,1
Leeds Water Board,"Leeds, AL",21300,1
Gordon Town Of,"Gordon, AL",414,1
Dothan Utilities,"Dothan, AL",93459,1
Grayling Water System,"Grayling, AK",195,151
Unalakleet City Water Supply,"Unalakleet, AK",757,143
Platinum City Water System,"Platinum, AK",51,125
Alakanuk Water System,"Alakanuk, AK",570,117
"Thorne Bay, City of","Thorne Bay, AK",470,97
Kotzebue Municipal Water System,"Kotzebue, AK",3290,95
Bluffview Acres Water System,"Wasilla, AK",100,95
Vallenar View Mobile Home Park,"Ketchikan, AK",225,86
Nunam Iqua Water System,"Nunam Iqua, AK",213,84
Kwigillingok Washeteria,"Kwigillingok, AK",338,77
Deering Utility System,"Deering, AK",160,71
Tatitlek Water System,"Tatitlek, AK",95,68
River Terrace Trailer Court,"Soldotna, AK",337,65
Diomede Joint Utilities,"Little Diomede, AK",184,65
Kwethluk New Piped Water System,"Kwethluk, AK",760,60
Akhiok,"Akhiok, AK",90,59
Kb Sub. Water Service Association,"Soldotna, AK",170,56
Nightmute New Watering Point,"Nightmute, AK",243,56
Akutan,"Akutan, AK",95,50
Kake Municipal Water,"Kake, AK",415,45
Scammon Bay Water System,"Scammon Bay, AK",484,44
Emmonak Water System,"Emmonak, AK",820,43
Newtok Water System,"Newtok, AK",435,43
Native Village of Sleetmute,"Bethel, AK",82,42
Klawock,"Klawock, AK",904,41
Snowshoe Water System,"Wasilla, AK",180,41
Cameron Acres,"Anchorage, AK",35,40
Oscarville Watering Point,"Oscarville, AK",75,40
Saint George Water System,"Saint George, AK",92,39
Hydaburg,"Hydaburg, AK",415,36
Mohawk Valley School District,"Roll, AZ",220,394
Villa Grande Domestic Water Improvement District,"Eloy, AZ",283,150
"Wellton, Town of","Wellton, AZ",2882,97
Papago Butte Domestic Water Improvement District,"Maricopa, AZ",500,93
San Simon Domestic Water Improvement District,"San Simon, AZ",312,92
Maricopa Mountain Domestic Water Improvement District 1,"Maricopa, AZ",450,90
Mohawk Utility Company,"Wellton, AZ",267,87
Sierra Pacific Mobile Manor,"Yuma, AZ",816,86
Tacna Water Management Company,"Yuma, AZ",200,76
Cibola Mutual Water Company,"Chibola, AZ",162,75
Citrus Park Water Company,"Yuma, AZ",30,72
Bouse Dwid,"Bouse, AZ",142,72
Shepard Water Company,"Yuma, AZ",420,67
Kelvin Simmons Co-op,"San Tan Valley, AZ",25,67
Alma Ranchettes,"Chandler, AZ",100,65
Silver Creek Rv Park,"Bullhead City, AZ",280,65
Yuma Lakes Resort,"Parker, AZ",732,62
Ds Water Company,"Desert Springs,, AZ",244,61
White Hills Water Company Unit 1,"Gilbert, AZ",90,45
Pinedale Estates Dwid,"Lakeside, AZ",208,42
Monte Vista Water Company,"Douglas, AZ",150,36
Oak Creek Water Company 1,"Sedona, AZ",1500,30
Rancheros Bonitos Water Company,"Yuma, AZ",144,21
Ranches At Maricopa Water,"Maricopa, AZ",30,20
Katherine Landing Dwtp,"Boudler City, AZ",1300,17
Cottonwood Municipal Water Vv6,"Cottonwood, AZ",4820,17
Pueblo Del Sol Water Company,"Sierra Vista, AZ",12804,16
"Duncan, Town of","Duncan, AZ",365,15
Mountain View Mobile Village,"Yuma, AZ",75,15
Acme Water - Yavapai Estates,"Phoenix, AZ",243,15
Bois D Arc Water,"Hope, AR",53,148
Lee County Water,"Marianna, AR",4813,107
Moro Waterworks,"Moro, AR",180,96
Southwest Arkansas,"Hope, AR",2335,90
Mount Ida,"Mount Ida, AR",3218,86
New London Water,"Strong, AR",802,68
Milltown-washburn,"Greenwood, AR",3807,56
Humphrey,"Humphrey, AR",602,55
Rambo Water,"Rogers, AR",93,55
Nashville Rural Water Association,"Nashville, AR",7291,51
East Monroe County,"Holly Grove, AR",762,47
Oden-pencil Bluff,"Oden, AR",383,45
Bodcaw Rural Water,"Rosston, AR",1430,45
Montgomery County Regional Public Water Authority,"Mount Ida, AR",0,40
Little River County Rda,"Foreman, AR",4250,40
United Water,"Brinkley, AR",461,35
Belleville Water,"Belleville, AR",1103,35
Ozark Mtn Regional PWA,"Diamond City, AR",2,31
Hope Water Light Comm.,"Hope, AR",11500,30
Wabbaseka,"Wabbaseka, AR",352,30
Lakeside Water,"Waldo, AR",1876,30
Compton Waterworks,"Compton, AR",811,28
Hackett Waterworks,"Hackett, AR",990,26
Harmony Water,"El Dorado, AR",336,25
Sylamore Valley,"Fifty Six, AR",270,22
Magnolia Waterworks,"Magnolia, AR",12000,21
Danville,"Danville, AR",2810,21
Winthrop Water,"Winthrop, AR",338,21
Blue Mountain,"Blue Mountain, AR",357,21
Ne Yell County Water Association,"Dardanelle, AR",6125,20
Sonoma County Mutual Water Company,"Cazadero, CA",40,410
R.s. Mutual Water Company,"Wofford Heights, CA",67,285
Rainbird Valley Mutual Water Company,"Weldon, CA",188,250
Sierra Vista Association,"Delano, CA",44,201
Gleanings For The Hungry,"Sultana, CA",31,200
Rodriguez Labor Camp,"Delano, CA",110,200
Knoll Enterprises,"Ludlow, CA",500,190
Lemon Cove Water Company,"Lemon Cove, CA",200,190
East Wilson Road Water Company,"Bakersfield, CA",35,180
Apple Ave. Ws #03,"Greenfield, CA",60,180
El Camino Water Company Inc.,"Spreckels, CA",90,180
Sierra Mutual Water Company,"Porterville, CA",39,175
Quiet Oaks Mobile Home Park,"Warner Springs, CA",120,170
Son Shine Properties,"Edison, CA",438,170
River Rd. Ws #25,"Gonzales, CA",65,170
San Joaquin Estates Mutual Water Company,"Bakersfield, CA",165,162
San Miguel Ws #01,"Royal Oaks, CA",100,160
Encinal Rd. Ws #01,"Salinas, CA",41,160
Springfield Water Company,"Watsonville, CA",200,160
Triple R Mutual Water Company,"Springville, CA",400,150
Brock Mutual Water Company,"Bakersfield, CA",511,141
Del Oro Grandview Gardens District,"Chico, CA",389,130
