Utility,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit
City of Pendleton,Arsenic,0.750 ppb,0.004 ppb,10 ppb
City of Pendleton,Chromium (hexavalent),0.0472 ppb,0.02 ppb,
City of Pendleton,Haloacetic acids (HAA5)†,15.3 ppb,0.1 ppb,60 ppb
City of Pendleton,Haloacetic acids (HAA9)†,16.2 ppb,0.06 ppb,
City of Pendleton,Nitrate,1.40 ppm,0.14 ppm,10 ppm
City of Pendleton,Total trihalomethanes (TTHMs)†,25.5 ppb,0.15 ppb,80 ppb
City of Pendleton,Uranium,0.89 pCi/L,0.43 pCi/L,20 pCi/L
City of Pendleton,Chlorate,125.9 ppb,210 ppb,
City of Pendleton,Chromium (total),0.0338 ppb,,100 ppb
City of Pendleton,Manganese,3.99 ppb,100 ppb,
City of Pendleton,Molybdenum,0.381 ppb,40 ppb,
City of Pendleton,Strontium,0.0703 ppb,"1,500 ppb",
City of Pendleton,Vanadium,8.72 ppb,21 ppb,
City of Pendleton,None,,,
City of Hermiston,Arsenic,2.25 ppb,0.004 ppb,10 ppb
City of Hermiston,Chromium (hexavalent),0.113 ppb,0.02 ppb,
City of Hermiston,Haloacetic acids (HAA5)†,17.7 ppb,0.1 ppb,60 ppb
City of Hermiston,Haloacetic acids (HAA9)†,23.0 ppb,0.06 ppb,
City of Hermiston,Nitrate,1.10 ppm,0.14 ppm,10 ppm
City of Hermiston,Total trihalomethanes (TTHMs)†,31.6 ppb,0.15 ppb,80 ppb
City of Hermiston,Uranium,1.62 pCi/L,0.43 pCi/L,20 pCi/L
City of Hermiston,Chromium (total),0.0763 ppb,,100 ppb
City of Hermiston,Germanium,1.18 ppb,,
City of Hermiston,Manganese,2.61 ppb,100 ppb,
City of Hermiston,Molybdenum,2.69 ppb,40 ppb,
City of Hermiston,Strontium,0.151 ppb,"1,500 ppb",
City of Hermiston,Vanadium,4.48 ppb,21 ppb,
City of Hermiston,Xylenes (total),0.0471 ppb,"1,800 ppb","10,000 ppb"
City of Hermiston,None,,,
"Milton-freewater, City Of",Total trihalomethanes (TTHMs)†,1.14 ppb,0.15 ppb,80 ppb
"Milton-freewater, City Of",Nitrate,0.0628 ppm,0.14 ppm,10 ppm
"Milton-freewater, City Of",None,,,
"Umatilla, City of",Haloacetic acids (HAA5)†,1.33 ppb,0.1 ppb,60 ppb
"Umatilla, City of",Total trihalomethanes (TTHMs)†,16.1 ppb,0.15 ppb,80 ppb
"Umatilla, City of",None,,,
"Stanfield, City of",Arsenic,0.257 ppb,0.004 ppb,10 ppb
"Stanfield, City of",Haloacetic acids (HAA5)†,0.809 ppb,0.1 ppb,60 ppb
"Stanfield, City of",Total trihalomethanes (TTHMs)†,4.51 ppb,0.15 ppb,80 ppb
"Stanfield, City of",Barium,4.73 ppb,700 ppb,"2,000 ppb"
"Stanfield, City of",Chromium (total),0.308 ppb,,100 ppb
"Stanfield, City of",Fluoride,1.19 ppm,,4 ppm
"Stanfield, City of",Nitrate,0.0394 ppm,0.14 ppm,10 ppm
"Stanfield, City of",Nitrate and nitrite,0.108 ppm,0.14 ppm,10 ppm
"Stanfield, City of",None,,,
"Adrian, City of",Arsenic,20.9 ppb,0.004 ppb,10 ppb
"Adrian, City of",Nitrate,2.41 ppm,0.14 ppm,10 ppm
"Adrian, City of",Uranium,12.26 pCi/L,0.43 pCi/L,20 pCi/L
"Adrian, City of",Barium,154.0 ppb,700 ppb,"2,000 ppb"
"Adrian, City of",Chromium (total),1.47 ppb,,100 ppb
"Adrian, City of",Fluoride,0.769 ppm,,4 ppm
"Adrian, City of",None,,,
City of Ontario,Arsenic,0.809 ppb,0.004 ppb,10 ppb
City of Ontario,Chromium (hexavalent),0.570 ppb,0.02 ppb,
City of Ontario,Haloacetic acids (HAA5)†,21.0 ppb,0.1 ppb,60 ppb
City of Ontario,Haloacetic acids (HAA9)†,41.9 ppb,0.06 ppb,
City of Ontario,Nitrate,1.04 ppm,0.14 ppm,10 ppm
City of Ontario,Nitrate and nitrite,1.12 ppm,0.14 ppm,10 ppm
City of Ontario,Total trihalomethanes (TTHMs)†,45.2 ppb,0.15 ppb,80 ppb
City of Ontario,Uranium,1.84 pCi/L,0.43 pCi/L,20 pCi/L
City of Ontario,Barium,51.3 ppb,700 ppb,"2,000 ppb"
City of Ontario,Chlorate,163.8 ppb,210 ppb,
City of Ontario,Chromium (total),0.667 ppb,,100 ppb
City of Ontario,Fluoride,0.577 ppm,,4 ppm
City of Ontario,Manganese,1.83 ppb,100 ppb,
City of Ontario,Molybdenum,3.78 ppb,40 ppb,
City of Ontario,Selenium,0.403 ppb,30 ppb,50 ppb
City of Ontario,Strontium,0.290 ppb,"1,500 ppb",
City of Ontario,Vanadium,4.28 ppb,21 ppb,
City of Ontario,None,,,
Fischers Place Mobile Home Park,Arsenic,9.90 ppb,0.004 ppb,10 ppb
Fischers Place Mobile Home Park,Total trihalomethanes (TTHMs)†,1.66 ppb,0.15 ppb,80 ppb
Fischers Place Mobile Home Park,None,,,
"Jordan Valley, City of",Arsenic,4.36 ppb,0.004 ppb,10 ppb
"Jordan Valley, City of","Radium, combined (-226 &amp; -228)",0.67 pCi/L,0.05 pCi/L,5 pCi/L
"Jordan Valley, City of",Uranium,1.23 pCi/L,0.43 pCi/L,20 pCi/L
"Jordan Valley, City of",Barium,122.0 ppb,700 ppb,"2,000 ppb"
"Jordan Valley, City of",Fluoride,0.890 ppm,,4 ppm
"Jordan Valley, City of",Nitrate,0.0857 ppm,0.14 ppm,10 ppm
"Jordan Valley, City of",Selenium,5.54 ppb,30 ppb,50 ppb
"Jordan Valley, City of",None,,,
"Nyssa, City of",Arsenic,11.6 ppb,0.004 ppb,10 ppb
"Nyssa, City of",Haloacetic acids (HAA5)†,0.254 ppb,0.1 ppb,60 ppb
"Nyssa, City of",Nitrate,3.51 ppm,0.14 ppm,10 ppm
"Nyssa, City of",Nitrate and nitrite,5.54 ppm,0.14 ppm,10 ppm
"Nyssa, City of",Total trihalomethanes (TTHMs)†,10.8 ppb,0.15 ppb,80 ppb
"Nyssa, City of",Uranium,4.69 pCi/L,0.43 pCi/L,20 pCi/L
"Nyssa, City of",Barium,41.2 ppb,700 ppb,"2,000 ppb"
"Nyssa, City of",Chromium (total),1.35 ppb,,100 ppb
"Nyssa, City of",Fluoride,0.522 ppm,,4 ppm
"Nyssa, City of",Nitrite,0.197 ppm,,1 ppm
"Nyssa, City of",Selenium,1.09 ppb,30 ppb,50 ppb
"Nyssa, City of",None,,,
Eagle River Village Mobile Home Park,Bromodichloromethane,1.89 ppb,0.06 ppb,
Eagle River Village Mobile Home Park,Bromoform,4.36 ppb,0.5 ppb,
Eagle River Village Mobile Home Park,Dibromoacetic acid,2.72 ppb,0.04 ppb,
Eagle River Village Mobile Home Park,Dibromochloromethane,4.53 ppb,0.1 ppb,
Eagle River Village Mobile Home Park,Haloacetic acids (HAA5)†,3.36 ppb,0.1 ppb,60 ppb
Eagle River Village Mobile Home Park,Nitrate,0.550 ppm,0.14 ppm,10 ppm
Eagle River Village Mobile Home Park,Total trihalomethanes (TTHMs)†,10.9 ppb,0.15 ppb,80 ppb
Eagle River Village Mobile Home Park,Uranium,1.34 pCi/L,0.43 pCi/L,20 pCi/L
Eagle River Village Mobile Home Park,Barium,34.0 ppb,700 ppb,"2,000 ppb"
Eagle River Village Mobile Home Park,Chloroform,0.308 ppb,0.4 ppb,
Eagle River Village Mobile Home Park,Dichloroacetic acid,0.383 ppb,0.2 ppb,
Eagle River Village Mobile Home Park,Fluoride,0.120 ppm,,4 ppm
Eagle River Village Mobile Home Park,Monobromoacetic acid,0.0923 ppb,25 ppb,
Eagle River Village Mobile Home Park,Selenium,1.50 ppb,30 ppb,50 ppb
Eagle River Village Mobile Home Park,None,,,
"Cedar Vale, City of",Bromodichloromethane,7.45 ppb,0.06 ppb,
"Cedar Vale, City of",Chloroform,39.5 ppb,0.4 ppb,
"Cedar Vale, City of",Dibromochloromethane,0.844 ppb,0.1 ppb,
"Cedar Vale, City of",Dichloroacetic acid,21.9 ppb,0.2 ppb,
"Cedar Vale, City of",Haloacetic acids (HAA5)†,42.0 ppb,0.1 ppb,60 ppb
"Cedar Vale, City of","Radium, combined (-226 &amp; -228)*",1.70 pCi/L,0.05 pCi/L,5 pCi/L
"Cedar Vale, City of",Total trihalomethanes (TTHMs)†,47.6 ppb,0.15 ppb,80 ppb
"Cedar Vale, City of",Trichloroacetic acid,16.9 ppb,0.1 ppb,
"Cedar Vale, City of",Aluminum*,23.8 ppb,600 ppb,
"Cedar Vale, City of",Barium*,53.5 ppb,700 ppb,"2,000 ppb"
"Cedar Vale, City of",Chromium (total)*,0.183 ppb,,100 ppb
"Cedar Vale, City of",Dibromoacetic acid,0.0196 ppb,0.04 ppb,
"Cedar Vale, City of",Dichloromethane (methylene chloride)*,0.214 ppb,4 ppb,5 ppb
"Cedar Vale, City of",Fluoride*,0.0333 ppm,,4 ppm
"Cedar Vale, City of",Monobromoacetic acid,0.0621 ppb,25 ppb,
"Cedar Vale, City of",Monochloroacetic acid,3.07 ppb,53 ppb,
"Cedar Vale, City of",Nitrate*,0.144 ppm,0.14 ppm,10 ppm
"Cedar Vale, City of",None,,,
"Brookings, City of",Haloacetic acids (HAA5)†,0.238 ppb,0.1 ppb,60 ppb
"Brookings, City of","Radium, combined (-226 &amp; -228)",0.15 pCi/L,0.05 pCi/L,5 pCi/L
"Brookings, City of",Total trihalomethanes (TTHMs)†,8.06 ppb,0.15 ppb,80 ppb
"Brookings, City of",Barium,30.3 ppb,700 ppb,"2,000 ppb"
"Brookings, City of",Nitrate,0.106 ppm,0.14 ppm,10 ppm
"Brookings, City of",Nitrate and nitrite,0.258 ppm,0.14 ppm,10 ppm
"Brookings, City of",None,,,
"Gold Beach, City of",Haloacetic acids (HAA5)†,5.19 ppb,0.1 ppb,60 ppb
"Gold Beach, City of",Total trihalomethanes (TTHMs)†,16.2 ppb,0.15 ppb,80 ppb
"Gold Beach, City of",Barium,16.7 ppb,700 ppb,"2,000 ppb"
"Gold Beach, City of",Nitrate,0.0397 ppm,0.14 ppm,10 ppm
"Gold Beach, City of",None,,,
Harbor Water People's Utility District,Haloacetic acids (HAA5)†,1.47 ppb,0.1 ppb,60 ppb
Harbor Water People's Utility District,Total trihalomethanes (TTHMs)†,5.93 ppb,0.15 ppb,80 ppb
Harbor Water People's Utility District,Nitrate,0.235 ppm,0.14 ppm,10 ppm
Harbor Water People's Utility District,None,,,
Langlois Water District,Haloacetic acids (HAA5)†,30.8 ppb,0.1 ppb,60 ppb
Langlois Water District,Total trihalomethanes (TTHMs)†,49.1 ppb,0.15 ppb,80 ppb
Langlois Water District,Barium,75.7 ppb,700 ppb,"2,000 ppb"
Langlois Water District,Nitrate,0.273 ppm,0.14 ppm,10 ppm
Langlois Water District,None,,,
Nesika Beach-ophir Water District,Total trihalomethanes (TTHMs)†,4.16 ppb,0.15 ppb,80 ppb
Nesika Beach-ophir Water District,Nitrate,0.263 ppm,0.14 ppm,10 ppm
Nesika Beach-ophir Water District,None,,,
Old Sheep Ranch Water Association,Nitrate,2.00 ppm,0.14 ppm,10 ppm
Old Sheep Ranch Water Association,Nitrate and nitrite,1.74 ppm,0.14 ppm,10 ppm
Old Sheep Ranch Water Association,Barium,62.7 ppb,700 ppb,"2,000 ppb"
Old Sheep Ranch Water Association,Fluoride,0.148 ppm,,4 ppm
Old Sheep Ranch Water Association,None,,,
"Port Orford, City of",Haloacetic acids (HAA5)†,33.0 ppb,0.1 ppb,60 ppb
"Port Orford, City of",Total trihalomethanes (TTHMs)†,63.0 ppb,0.15 ppb,80 ppb
"Port Orford, City of",Barium,13.5 ppb,700 ppb,"2,000 ppb"
"Port Orford, City of",Nitrate,0.0798 ppm,0.14 ppm,10 ppm
"Port Orford, City of",Nitrate and nitrite,0.256 ppm,0.14 ppm,10 ppm
"Port Orford, City of",None,,,
Rainbow Rock Service Association,Haloacetic acids (HAA5)†,10.3 ppb,0.1 ppb,60 ppb
Rainbow Rock Service Association,"Radium, combined (-226 &amp; -228)",0.45 pCi/L,0.05 pCi/L,5 pCi/L
Rainbow Rock Service Association,Total trihalomethanes (TTHMs)†,63.9 ppb,0.15 ppb,80 ppb
Rainbow Rock Service Association,Barium,25.0 ppb,700 ppb,"2,000 ppb"
Rainbow Rock Service Association,Nitrate,0.240 ppm,0.14 ppm,10 ppm
Rainbow Rock Service Association,Nitrate and nitrite,0.237 ppm,0.14 ppm,10 ppm
Rainbow Rock Service Association,None,,,
Rainbow Rock Village Mobile Home Park,Haloacetic acids (HAA5)†,37.3 ppb,0.1 ppb,60 ppb
Rainbow Rock Village Mobile Home Park,Nitrate,0.952 ppm,0.14 ppm,10 ppm
Rainbow Rock Village Mobile Home Park,Total trihalomethanes (TTHMs)†,49.9 ppb,0.15 ppb,80 ppb
Rainbow Rock Village Mobile Home Park,None,,,
Saunders Creek Hoc,Nitrate,0.301 ppm,0.14 ppm,10 ppm
Saunders Creek Hoc,Nitrate and nitrite,0.291 ppm,0.14 ppm,10 ppm
Saunders Creek Hoc,Barium,50.5 ppb,700 ppb,"2,000 ppb"
Saunders Creek Hoc,None,,,
City of Corvallis,Chromium (hexavalent),0.511 ppb,0.02 ppb,
City of Corvallis,Haloacetic acids (HAA5)†,16.2 ppb,0.1 ppb,60 ppb
City of Corvallis,Haloacetic acids (HAA9)†,16.2 ppb,0.06 ppb,
