Utility name,City,People served,Zip
City of Pendleton,"Pendleton, OR","Population served:17,310",97810
City of Hermiston,"Hermiston, OR","Population served:18,200",97810
"Milton-freewater, City Of","Milton-freewater, OR","Population served:7,070",97810
"Umatilla, City of","Umatilla, OR","Population served:6,980",97810
"Stanfield, City of","Stanfield, OR","Population served:2,115",97810
"Adrian, City of",Adrian,Population served: 180,97901
City of Ontario,Ontario,"Population served: 14,465",97901
Fischers Place Mobile Home Park,Scappoose,Population served: 125,97901
"Jordan Valley, City of",Jordan Valley,Population served: 175,97901
"Nyssa, City of",Nyssa,"Population served: 3,285",97901
River Village Mobile Home Park,Ontario,Population served: 40,97901
"Vale, City of",Vale,"Population served: 1,950",97901
"Brookings, City of",Brookings,"Population served: 6,336",97406
"Gold Beach, City of",Gold Beach,"Population served: 3,000",97406
Harbor Water People's Utility District,Harbor,"Population served: 3,190",97406
Langlois Water District,Langlois,Population served: 220,97406
Nesika Beach-ophir Water District,Gold Beach,"Population served: 1,500",97406
Old Sheep Ranch Water Association,Langlois,Population served: 56,97406
,,Population served: 0,97406
"Port Orford, City of",Port Orford,"Population served: 1,140",97406
Rainbow Rock Service Association,Brookings,Population served: 80,97406
Rainbow Rock Village Mobile Home Park,Brookings,Population served: 115,97406
Saunders Creek Hoc,Gold Beach,Population served: 75,97406
City of Corvallis,"Corvallis, OR","Population served:56,000",97321
City of Albany,"Albany, OR","Population served:56,100",97321
City of Lebanon,"Lebanon, OR","Population served:15,518",97321
City of Dallas,"Dallas, OR","Population served:14,700",97321
"Monmouth, City of","Monmouth, OR","Population served:9,855",97321
"Sweet Home, City of","Lebanon, OR","Population served:9,065",97321
Independence Water System,"Independence, OR","Population served:8,600",97321
Philomath Public Works,"Philomath, OR","Population served:4,670",97321
"Harrisburg, City of","Harrisburg, OR","Population served:3,650",97321
Luckiamute Domestic Water Co-op,"Monmouth, OR","Population served:2,738",97321
City of Albany,"Albany, OR","Population served:56,100",97322
City of Lebanon,"Lebanon, OR","Population served:15,518",97322
"Sweet Home, City of","Lebanon, OR","Population served:9,065",97322
"Harrisburg, City of","Harrisburg, OR","Population served:3,650",97322
Lyons Mehama Water District,"Lyons, OR","Population served:1,300",97322
"Bandon, City of",Bandon,"Population served: 3,175",97407
Bridge Water District,Myrtle Point,Population served: 150,97407
Coos Bay North Bend Water Board,Coos Bay,"Population served: 34,500",97407
"Coquille, City of",Coquille,"Population served: 3,866",97407
Country Club Estates Water District,Coos Bay,Population served: 45,97407
Dean Minard Water District,Coquille,Population served: 78,97407
Garden Valley Water Association,Coquille,Population served: 30,97407
Lakeside Water District,Lakeside,"Population served: 1,800",97407
"Myrtle Point, City of",Myrtle Point,"Population served: 2,600",97407
North Bayside Estates-north,North Bend,Population served: 65,97407
North Bayside Estates-south,North Bend,Population served: 40,97407
"Powers, City of",Powers,Population served: 700,97407
Rink Creek Water District,Coquille,Population served: 286,97407
Sand-n-wood Mobile Villa,North Bend,Population served: 65,97407
Shelley Road-crest Acres Water District,Coquille,Population served: 430,97407
Weiss Estates Water System,Bandon,Population served: 36,97407
,,Population served: 0,97407
Eugene Water & Electric Board,"Eugene, OR","Population served:168,000",97324
Springfield Utility Board,"Springfield, OR","Population served:59,500",97324
City of Corvallis,"Corvallis, OR","Population served:56,000",97324
Lincoln City Water District,"Lincoln City, OR","Population served:20,830",97324
City of Newport,"Newport, OR","Population served:10,160",97324
"Cottage Grove, City of","Cottage Grove, OR","Population served:10,005",97324
"Florence, City of","Florence, OR","Population served:8,850",97324
Rainbow Water District,"Springfield, OR","Population served:6,300",97324
Junction City Water Utilities,"Junction City, OR","Population served:3,011",97324
Seal Rock Water District,"Seal Rock, OR","Population served:5,500",97324
Eugene Water & Electric Board,"Eugene, OR","Population served:168,000",97409
Springfield Utility Board,"Springfield, OR","Population served:59,500",97409
"Cottage Grove, City of","Cottage Grove, OR","Population served:10,005",97409
"Florence, City of","Florence, OR","Population served:8,850",97409
Rainbow Water District,"Springfield, OR","Population served:6,300",97409
Junction City Water Utilities,"Junction City, OR","Population served:3,011",97409
"Creswell, City of","Creswell, OR","Population served:5,075",97409
"Veneta, City of","Veneta, OR","Population served:4,755",97409
Heceta Water Peoples Utility District,"Florence, OR","Population served:4,921",97409
"Oakridge, City of","Oakridge, OR","Population served:3,225",97409
McMinnville Water & Light,"Mcminnville, OR","Population served:33,896",97101
City of Newberg,"Newberg, OR","Population served:23,795",97101
City of Dallas,"Dallas, OR","Population served:14,700",97101
"Monmouth, City of","Monmouth, OR","Population served:9,855",97101
Independence Water System,"Independence, OR","Population served:8,600",97101
"Antelope, City of",Antelope,Population served: 46,97001
Barlow Water District,Tygh Valley,Population served: 497,97001
Chenowith People's Utility District,The Dalles,"Population served: 4,500",97001
City of The Dalles,The Dalles,"Population served: 12,494",97001
"Dufur, City of",Dufur,Population served: 610,97001
"Dufur, South Basin",Dufur,Population served: 90,97001
Foley Lakes Mobile Home Park,The Dalles,Population served: 300,97001
Hazel Dell Orchard,The Dalles,Population served: 260,97001
"Maupin, City Of",Maupin,Population served: 420,97001
"Mosier, City of",Mosier,Population served: 450,97001
Pine Grove Water District (wasco),Maupin,Population served: 140,97001
Pinewood Mobile Manor,The Dalles,Population served: 130,97001
Rowena Crest Manor,The Dalles,Population served: 47,97001
Rowena Dell Water System,The Dalles,Population served: 30,97001
Sportsmans Park Water Association,Tygh Valley,Population served: 150,97001
Tooley Water District,Newberg,Population served: 42,97001
Tygh Valley Water District,Tygh Valley,Population served: 247,97001
View Point Trailer Court,The Dalles,Population served: 160,97001
Wamic Water Association,Wamic,Population served: 130,97001
Young Life,Antelope,Population served: 482,97001
Arch Cape Water District,Arch Cape,Population served: 150,97102
"Astoria, City of",Astoria,"Population served: 9,802",97102
Burnside Water Association,Astoria,Population served: 315,97102
"Cannon Beach, City of",Cannon Beach,"Population served: 1,710",97102
Elderberry Nehalem Ws,Seaside,Population served: 140,97102
Evergreen Acres,Seaside,Population served: 100,97102
Fernhill Community Water System,Astoria,Population served: 300,97102
Gearhart Water Department,Gearhart,"Population served: 1,465",97102
John Day Water District,Astoria,Population served: 350,97102
Knappa Water Association,Astoria,"Population served: 1,800",97102
Olney-walluski Water Association,Astoria,Population served: 530,97102
Seaside Water Department,Seaside,"Population served: 6,605",97102
Stanley Acres Water Association,Seaside,Population served: 315,97102
Sunset Lake Rv Park,Redmond,Population served: 170,97102
"Warrenton, City of",Warrenton,"Population served: 9,100",97102
Wauna Water District,Westport,Population served: 188,97102
Westport Heights,Westport,Population served: 90,97102
Westport Water Association,Westport,Population served: 550,97102
Wickiup Water District,Astoria,"Population served: 1,590",97102
Willow Dale Water District,Astoria,Population served: 300,97102
Youngs River Lewis & Clark Water District,Astoria,"Population served: 2,530",97102
Arlington City Water Supply,Arlington,Population served: 610,97812
Condon Heights Ws,Condon,Population served: 33,97812
"Condon, City of",Condon,Population served: 690,97812
Medford Water Commission,"Medford, OR","Population served:91,000",97520
Ashland Water Department,"Ashland, OR","Population served:20,700",97520
City of Central Point,"Central Point, OR","Population served:17,025",97520
"Eagle Point, City of","Eagle Point, OR","Population served:9,697",97520
"Talent, City of","Talent, OR","Population served:6,850",97520
"Phoenix, City of","Phoenix, OR","Population served:4,603",97520
"Jacksonville, City of","Jacksonville, OR","Population served:2,850",97520
"Rogue River, City of","Rogue River, OR","Population served:2,250",97520
"Gold Hill, City of","Gold Hill, OR","Population served:1,115",97520
Hiland Water Company - Shady Cove,"Newberg, OR","Population served:1,000",97520
Arch Cape Water District,Arch Cape,Population served: 150,97103
"Astoria, City of",Astoria,"Population served: 9,802",97103
Burnside Water Association,Astoria,Population served: 315,97103
"Cannon Beach, City of",Cannon Beach,"Population served: 1,710",97103
Elderberry Nehalem Ws,Seaside,Population served: 140,97103
Evergreen Acres,Seaside,Population served: 100,97103
Fernhill Community Water System,Astoria,Population served: 300,97103
Gearhart Water Department,Gearhart,"Population served: 1,465",97103
John Day Water District,Astoria,Population served: 350,97103
Knappa Water Association,Astoria,"Population served: 1,800",97103
Olney-walluski Water Association,Astoria,Population served: 530,97103
Seaside Water Department,Seaside,"Population served: 6,605",97103
Stanley Acres Water Association,Seaside,Population served: 315,97103
Sunset Lake Rv Park,Redmond,Population served: 170,97103
"Warrenton, City of",Warrenton,"Population served: 9,100",97103
Wauna Water District,Westport,Population served: 188,97103
Westport Heights,Westport,Population served: 90,97103
Westport Water Association,Westport,Population served: 550,97103
Wickiup Water District,Astoria,"Population served: 1,590",97103
Willow Dale Water District,Astoria,Population served: 300,97103
Youngs River Lewis & Clark Water District,Astoria,"Population served: 2,530",97103
City of Pendleton,"Pendleton, OR","Population served:17,310",97813
City of Hermiston,"Hermiston, OR","Population served:18,200",97813
"Milton-freewater, City Of","Milton-freewater, OR","Population served:7,070",97813
"Umatilla, City of","Umatilla, OR","Population served:6,980",97813
"Stanfield, City of","Stanfield, OR","Population served:2,115",97813
Salem Public Works,"Salem, OR","Population served:192,000",97325
City of Keizer,"Keizer, OR","Population served:37,505",97325
City of Woodburn,"Woodburn, OR","Population served:24,670",97325
Suburban East Salem WD,"Salem, OR","Population served:13,600",97325
"Silverton, City of","Silverton, OR","Population served:10,325",97325
Stayton Water Supply,"Stayton, OR","Population served:7,830",97325
"Mount Angel, City of","Mt. Angel, OR","Population served:3,450",97325
"Aumsville, City of","Aumsville, OR","Population served:3,945",97325
