zip,Zipcode name,City,State,County Name
97810,"ADAMS, OR",ADAMS,OR,UMATILLA
97901,"ADRIAN, OR",ADRIAN,OR,MALHEUR
97406,"AGNESS, OR",AGNESS,OR,CURRY
97321,"ALBANY, OR",ALBANY,OR,LINN
97322,"ALBANY, OR",ALBANY,OR,LINN
97407,"ALLEGANY, OR",ALLEGANY,OR,COOS
97324,"ALSEA, OR",ALSEA,OR,BENTON
97409,"ALVADORE, OR",ALVADORE,OR,LANE
97101,"AMITY, OR",AMITY,OR,YAMHILL
97001,"ANTELOPE, OR",ANTELOPE,OR,WASCO
97102,"ARCH CAPE, OR",ARCH CAPE,OR,CLATSOP
97812,"ARLINGTON, OR",ARLINGTON,OR,GILLIAM
97520,"ASHLAND, OR",ASHLAND,OR,JACKSON
97103,"ASTORIA, OR",ASTORIA,OR,CLATSOP
97813,"ATHENA, OR",ATHENA,OR,UMATILLA
97325,"AUMSVILLE, OR",AUMSVILLE,OR,MARION
97002,"AURORA, OR",AURORA,OR,MARION
97410,"AZALEA, OR",AZALEA,OR,DOUGLAS
97814,"BAKER CITY, OR",BAKER CITY,OR,BAKER
97411,"BANDON, OR",BANDON,OR,COOS
97106,"BANKS, OR",BANKS,OR,WASHINGTON
97817,"BATES, OR",BATES,OR,GRANT
97107,"BAY CITY, OR",BAY CITY,OR,TILLAMOOK
97621,"BEATTY, OR",BEATTY,OR,KLAMATH
97108,"BEAVER, OR",BEAVER,OR,TILLAMOOK
97004,"BEAVERCREEK, OR",BEAVERCREEK,OR,CLACKAMAS
97003,"BEAVERTON, OR",BEAVERTON,OR,WASHINGTON
97005,"BEAVERTON, OR",BEAVERTON,OR,WASHINGTON
97006,"BEAVERTON, OR",BEAVERTON,OR,WASHINGTON
97007,"BEAVERTON, OR",BEAVERTON,OR,WASHINGTON
97008,"BEAVERTON, OR",BEAVERTON,OR,WASHINGTON
97075,"BEAVERTON, OR",BEAVERTON,OR,WASHINGTON
97076,"BEAVERTON, OR",BEAVERTON,OR,WASHINGTON
97077,"BEAVERTON, OR",BEAVERTON,OR,WASHINGTON
97078,"BEAVERTON, OR",BEAVERTON,OR,WASHINGTON
97701,"BEND, OR",BEND,OR,DESCHUTES
97702,"BEND, OR",BEND,OR,DESCHUTES
97707,"BEND, OR",BEND,OR,DESCHUTES
97708,"BEND, OR",BEND,OR,DESCHUTES
97709,"BEND, OR",BEND,OR,DESCHUTES
97412,"BLACHLY, OR",BLACHLY,OR,LANE
97326,"BLODGETT, OR",BLODGETT,OR,BENTON
97413,"BLUE RIVER, OR",BLUE RIVER,OR,LANE
97622,"BLY, OR",BLY,OR,KLAMATH
97818,"BOARDMAN, OR",BOARDMAN,OR,MORROW
97623,"BONANZA, OR",BONANZA,OR,KLAMATH
97009,"BORING, OR",BORING,OR,CLACKAMAS
97010,"BRIDAL VEIL, OR",BRIDAL VEIL,OR,MULTNOMAH
97819,"BRIDGEPORT, OR",BRIDGEPORT,OR,BAKER
97011,"BRIGHTWOOD, OR",BRIGHTWOOD,OR,CLACKAMAS
97414,"BROADBENT, OR",BROADBENT,OR,COOS
97903,"BROGAN, OR",BROGAN,OR,MALHEUR
97415,"BROOKINGS, OR",BROOKINGS,OR,CURRY
97327,"BROWNSVILLE, OR",BROWNSVILLE,OR,LINN
97720,"BURNS, OR",BURNS,OR,HARNEY
97522,"BUTTE FALLS, OR",BUTTE FALLS,OR,JACKSON
97109,"BUXTON, OR",BUXTON,OR,WASHINGTON
97416,"CAMAS VALLEY, OR",CAMAS VALLEY,OR,DOUGLAS
97730,"CAMP SHERMAN, OR",CAMP SHERMAN,OR,JEFFERSON
97013,"CANBY, OR",CANBY,OR,CLACKAMAS
97110,"CANNON BEACH, OR",CANNON BEACH,OR,CLATSOP
97820,"CANYON CITY, OR",CANYON CITY,OR,GRANT
97417,"CANYONVILLE, OR",CANYONVILLE,OR,DOUGLAS
97111,"CARLTON, OR",CARLTON,OR,YAMHILL
97014,"CASCADE LOCKS, OR",CASCADE LOCKS,OR,HOOD RIVER
97329,"CASCADIA, OR",CASCADIA,OR,LINN
97523,"CAVE JUNCTION, OR",CAVE JUNCTION,OR,JOSEPHINE
97502,"CENTRAL POINT, OR",CENTRAL POINT,OR,JACKSON
97731,"CHEMULT, OR",CHEMULT,OR,KLAMATH
97419,"CHESHIRE, OR",CHESHIRE,OR,LANE
97624,"CHILOQUIN, OR",CHILOQUIN,OR,KLAMATH
97641,"CHRISTMAS VALLEY, OR",CHRISTMAS VALLEY,OR,LAKE
97015,"CLACKAMAS, OR",CLACKAMAS,OR,CLACKAMAS
97016,"CLATSKANIE, OR",CLATSKANIE,OR,COLUMBIA
97112,"CLOVERDALE, OR",CLOVERDALE,OR,TILLAMOOK
97017,"COLTON, OR",COLTON,OR,CLACKAMAS
97018,"COLUMBIA CITY, OR",COLUMBIA CITY,OR,COLUMBIA
97823,"CONDON, OR",CONDON,OR,GILLIAM
97420,"COOS BAY, OR",COOS BAY,OR,COOS
97423,"COQUILLE, OR",COQUILLE,OR,COOS
97019,"CORBETT, OR",CORBETT,OR,MULTNOMAH
97113,"CORNELIUS, OR",CORNELIUS,OR,WASHINGTON
97330,"CORVALLIS, OR",CORVALLIS,OR,BENTON
97331,"CORVALLIS, OR",CORVALLIS,OR,BENTON
97333,"CORVALLIS, OR",CORVALLIS,OR,BENTON
97339,"CORVALLIS, OR",CORVALLIS,OR,BENTON
97424,"COTTAGE GROVE, OR",COTTAGE GROVE,OR,LANE
97824,"COVE, OR",COVE,OR,UNION
97335,"CRABTREE, OR",CRABTREE,OR,LINN
97732,"CRANE, OR",CRANE,OR,HARNEY
97604,"CRATER LAKE, OR",CRATER LAKE,OR,KLAMATH
97336,"CRAWFORDSVILLE, OR",CRAWFORDSVILLE,OR,LINN
97733,"CRESCENT, OR",CRESCENT,OR,KLAMATH
97426,"CRESWELL, OR",CRESWELL,OR,LANE
97734,"CULVER, OR",CULVER,OR,JEFFERSON
97625,"DAIRY, OR",DAIRY,OR,KLAMATH
97338,"DALLAS, OR",DALLAS,OR,POLK
97089,"DAMASCUS, OR",DAMASCUS,OR,CLACKAMAS
97429,"DAYS CREEK, OR",DAYS CREEK,OR,DOUGLAS
97114,"DAYTON, OR",DAYTON,OR,YAMHILL
97825,"DAYVILLE, OR",DAYVILLE,OR,GRANT
97430,"DEADWOOD, OR",DEADWOOD,OR,LANE
97054,"DEER ISLAND, OR",DEER ISLAND,OR,COLUMBIA
97341,"DEPOE BAY, OR",DEPOE BAY,OR,LINCOLN
97342,"DETROIT, OR",DETROIT,OR,MARION
97431,"DEXTER, OR",DEXTER,OR,LANE
97722,"DIAMOND, OR",DIAMOND,OR,HARNEY
97432,"DILLARD, OR",DILLARD,OR,DOUGLAS
97020,"DONALD, OR",DONALD,OR,MARION
97434,"DORENA, OR",DORENA,OR,LANE
97435,"DRAIN, OR",DRAIN,OR,DOUGLAS
97904,"DREWSEY, OR",DREWSEY,OR,HARNEY
97021,"DUFUR, OR",DUFUR,OR,WASCO
