Utility,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit
Birmingham Water Supply,Atrazine*,0.260 ppb,0.1 ppb,3 ppb
Birmingham Water Supply,Bromodichloromethane,4.58 ppb,0.06 ppb,
Birmingham Water Supply,Chloroform,21.3 ppb,0.4 ppb,
Birmingham Water Supply,Dibromochloromethane,0.983 ppb,0.1 ppb,
Birmingham Water Supply,Dichloroacetic acid,7.83 ppb,0.2 ppb,
Birmingham Water Supply,Haloacetic acids (HAA5)†,17.0 ppb,0.1 ppb,60 ppb
Birmingham Water Supply,Haloacetic acids (HAA9)*†,23.7 ppb,0.06 ppb,
Birmingham Water Supply,Nitrate*,0.460 ppm,0.14 ppm,10 ppm
Birmingham Water Supply,Total trihalomethanes (TTHMs)†,40.5 ppb,0.15 ppb,80 ppb
Birmingham Water Supply,Trichloroacetic acid,3.33 ppb,0.1 ppb,
Birmingham Water Supply,Barium*,50.0 ppb,700 ppb,"2,000 ppb"
Birmingham Water Supply,Chlorate*,80.4 ppb,210 ppb,
Birmingham Water Supply,Chromium (hexavalent)*,0.0150 ppb,0.02 ppb,
Birmingham Water Supply,Fluoride*,0.470 ppm,,4 ppm
Birmingham Water Supply,Manganese*,8.50 ppb,100 ppb,
Birmingham Water Supply,Metolachlor*,0.167 ppb,,
Birmingham Water Supply,Molybdenum*,1.68 ppb,40 ppb,
Birmingham Water Supply,Monochloroacetic acid*,0.260 ppb,53 ppb,
Birmingham Water Supply,Simazine*,0.0400 ppb,0.1 ppb,4 ppb
Birmingham Water Supply,Strontium*,0.110 ppb,"1,500 ppb",
Birmingham Water Supply,Vanadium*,0.363 ppb,21 ppb,
Birmingham Water Supply,Xylenes (total)*,0.470 ppb,"1,800 ppb","10,000 ppb"
Birmingham Water Supply,None,,,
Brookside Water Works,Bromodichloromethane*,4.17 ppb,0.06 ppb,
Brookside Water Works,Chloroform*,15.0 ppb,0.4 ppb,
Brookside Water Works,Chromium (hexavalent)*,0.0778 ppb,0.02 ppb,
Brookside Water Works,Dibromochloromethane*,0.846 ppb,0.1 ppb,
Brookside Water Works,Haloacetic acids (HAA5)†,29.9 ppb,0.1 ppb,60 ppb
Brookside Water Works,Haloacetic acids (HAA9)*†,25.2 ppb,0.06 ppb,
Brookside Water Works,Nitrate*,0.346 ppm,0.14 ppm,10 ppm
Brookside Water Works,Nitrate and nitrite*,0.406 ppm,0.14 ppm,10 ppm
Brookside Water Works,"Radium, combined (-226 &amp; -228)*",0.14 pCi/L,0.05 pCi/L,5 pCi/L
Brookside Water Works,Total trihalomethanes (TTHMs)†,53.2 ppb,0.15 ppb,80 ppb
Brookside Water Works,"1,4-Dioxane*",0.0681 ppb,0.35 ppb,
Brookside Water Works,Aluminum*,21.3 ppb,600 ppb,
Brookside Water Works,Barium*,13.0 ppb,700 ppb,"2,000 ppb"
Brookside Water Works,Chlorate*,55.8 ppb,210 ppb,
Brookside Water Works,Chloromethane*,0.00446 ppb,2.69 ppb,
Brookside Water Works,Chromium (total)*,0.0517 ppb,,100 ppb
Brookside Water Works,Fluoride*,0.618 ppm,,4 ppm
Brookside Water Works,Manganese*,1.14 ppb,100 ppb,
Brookside Water Works,Molybdenum*,0.109 ppb,40 ppb,
Brookside Water Works,Nitrite*,0.0600 ppm,,1 ppm
Brookside Water Works,Strontium*,0.0369 ppb,"1,500 ppb",
Brookside Water Works,Vanadium*,0.0406 ppb,21 ppb,
Florida Governmental Utility Authority,Arsenic,0.1000 ppb,0.004 ppb,10 ppb
Florida Governmental Utility Authority,Chromium (hexavalent),0.103 ppb,0.02 ppb,
Florida Governmental Utility Authority,Haloacetic acids (HAA5)†,25.4 ppb,0.1 ppb,60 ppb
Florida Governmental Utility Authority,Haloacetic acids (HAA9)†,31.7 ppb,0.06 ppb,
Florida Governmental Utility Authority,"Radium, combined (-226 &amp; -228)",0.20 pCi/L,0.05 pCi/L,5 pCi/L
Florida Governmental Utility Authority,Total trihalomethanes (TTHMs)†,47.2 ppb,0.15 ppb,80 ppb
Florida Governmental Utility Authority,Aluminum,50.0 ppb,600 ppb,
Florida Governmental Utility Authority,Antimony,0.0500 ppb,1 ppb,6 ppb
Florida Governmental Utility Authority,Barium,6.90 ppb,700 ppb,"2,000 ppb"
Florida Governmental Utility Authority,Chlorate,292.8 ppb,210 ppb,
Florida Governmental Utility Authority,Chromium (total),0.482 ppb,,100 ppb
Florida Governmental Utility Authority,Fluoride,0.167 ppm,,4 ppm
Florida Governmental Utility Authority,Manganese,0.670 ppb,100 ppb,
Florida Governmental Utility Authority,Nitrate,0.119 ppm,0.14 ppm,10 ppm
Florida Governmental Utility Authority,Nitrite,0.00833 ppm,,1 ppm
Florida Governmental Utility Authority,Strontium,0.0720 ppb,"1,500 ppb",
Florida Governmental Utility Authority,Vanadium,0.690 ppb,21 ppb,
Florida Governmental Utility Authority,None,,,
Graysville Water & Sewer Board,Bromodichloromethane*,4.17 ppb,0.06 ppb,
Graysville Water & Sewer Board,Chloroform*,15.0 ppb,0.4 ppb,
Graysville Water & Sewer Board,Chromium (hexavalent)*,0.0778 ppb,0.02 ppb,
Graysville Water & Sewer Board,Dibromochloromethane*,0.846 ppb,0.1 ppb,
Graysville Water & Sewer Board,Haloacetic acids (HAA5)†,28.2 ppb,0.1 ppb,60 ppb
Graysville Water & Sewer Board,Haloacetic acids (HAA9)*†,25.2 ppb,0.06 ppb,
Graysville Water & Sewer Board,Nitrate*,0.346 ppm,0.14 ppm,10 ppm
Graysville Water & Sewer Board,Nitrate and nitrite*,0.406 ppm,0.14 ppm,10 ppm
Graysville Water & Sewer Board,"Radium, combined (-226 &amp; -228)*",0.14 pCi/L,0.05 pCi/L,5 pCi/L
Graysville Water & Sewer Board,Total trihalomethanes (TTHMs)†,49.5 ppb,0.15 ppb,80 ppb
Graysville Water & Sewer Board,"1,4-Dioxane*",0.0681 ppb,0.35 ppb,
Graysville Water & Sewer Board,Aluminum*,21.3 ppb,600 ppb,
Graysville Water & Sewer Board,Barium*,13.0 ppb,700 ppb,"2,000 ppb"
Graysville Water & Sewer Board,Chlorate*,55.8 ppb,210 ppb,
Graysville Water & Sewer Board,Chloromethane*,0.00446 ppb,2.69 ppb,
Graysville Water & Sewer Board,Chromium (total)*,0.0517 ppb,,100 ppb
Graysville Water & Sewer Board,Fluoride*,0.618 ppm,,4 ppm
Graysville Water & Sewer Board,Manganese*,1.14 ppb,100 ppb,
Graysville Water & Sewer Board,Molybdenum*,0.109 ppb,40 ppb,
Graysville Water & Sewer Board,Nitrite*,0.0600 ppm,,1 ppm
Graysville Water & Sewer Board,Strontium*,0.0369 ppb,"1,500 ppb",
Graysville Water & Sewer Board,Vanadium*,0.0406 ppb,21 ppb,
Irondale Water System,Bromodichloromethane,0.190 ppb,0.06 ppb,
Irondale Water System,Dibromochloromethane,0.253 ppb,0.1 ppb,
Irondale Water System,Haloacetic acids (HAA5)†,2.20 ppb,0.1 ppb,60 ppb
Irondale Water System,Nitrate,0.905 ppm,0.14 ppm,10 ppm
Irondale Water System,Nitrate and nitrite,0.850 ppm,0.14 ppm,10 ppm
Irondale Water System,Tetrachloroethylene (perchloroethylene),0.543 ppb,0.06 ppb,5 ppb
Irondale Water System,Total trihalomethanes (TTHMs)†,17.5 ppb,0.15 ppb,80 ppb
Irondale Water System,Barium,19.0 ppb,700 ppb,"2,000 ppb"
Irondale Water System,Chloroform,0.337 ppb,0.4 ppb,
Irondale Water System,Chromium (total),0.500 ppb,,100 ppb
Irondale Water System,"cis-1,2-Dichloroethylene",0.130 ppb,,70 ppb
Irondale Water System,"trans-1,2-Dichloroethylene",0.0267 ppb,60 ppb,100 ppb
Irondale Water System,Trichloroethylene,0.120 ppb,0.4 ppb,5 ppb
Irondale Water System,None,,,
Leeds Water Board,Bromodichloromethane,0.177 ppb,0.06 ppb,
Leeds Water Board,Chromium (hexavalent),0.406 ppb,0.02 ppb,
Leeds Water Board,Haloacetic acids (HAA5)†,1.67 ppb,0.1 ppb,60 ppb
Leeds Water Board,Haloacetic acids (HAA9)†,3.29 ppb,0.06 ppb,
Leeds Water Board,Nitrate,0.537 ppm,0.14 ppm,10 ppm
Leeds Water Board,Nitrate and nitrite,0.530 ppm,0.14 ppm,10 ppm
Leeds Water Board,"Radium, combined (-226 &amp; -228)",0.17 pCi/L,0.05 pCi/L,5 pCi/L
Leeds Water Board,Total trihalomethanes (TTHMs)†,4.55 ppb,0.15 ppb,80 ppb
Leeds Water Board,"1,4-Dioxane",0.0557 ppb,0.35 ppb,
Leeds Water Board,Aluminum,14.4 ppb,600 ppb,
Leeds Water Board,Barium,30.1 ppb,700 ppb,"2,000 ppb"
Leeds Water Board,Bromoform,0.0250 ppb,0.5 ppb,
Leeds Water Board,Chlorate,1.81 ppb,210 ppb,
Leeds Water Board,Chloroform,0.216 ppb,0.4 ppb,
Leeds Water Board,Chromium (total),0.376 ppb,,100 ppb
Leeds Water Board,Di(2-ethylhexyl) phthalate,0.0673 ppb,3 ppb,6 ppb
Leeds Water Board,Dibromochloromethane,0.118 ppb,0.1 ppb,
Leeds Water Board,Manganese,4.07 ppb,100 ppb,
Leeds Water Board,Strontium,0.0861 ppb,"1,500 ppb",
Leeds Water Board,Vanadium,0.171 ppb,21 ppb,
Leeds Water Board,None,,,
Mulga Water Works and Gas Department,Bromodichloromethane*,4.17 ppb,0.06 ppb,
Mulga Water Works and Gas Department,Chloroform*,15.0 ppb,0.4 ppb,
Mulga Water Works and Gas Department,Chromium (hexavalent),0.0764 ppb,0.02 ppb,
Mulga Water Works and Gas Department,Dibromochloromethane*,0.846 ppb,0.1 ppb,
Mulga Water Works and Gas Department,Haloacetic acids (HAA5)†,28.1 ppb,0.1 ppb,60 ppb
Mulga Water Works and Gas Department,Haloacetic acids (HAA9)*†,25.2 ppb,0.06 ppb,
Mulga Water Works and Gas Department,Nitrate*,0.346 ppm,0.14 ppm,10 ppm
Mulga Water Works and Gas Department,Nitrate and nitrite*,0.406 ppm,0.14 ppm,10 ppm
Mulga Water Works and Gas Department,"Radium, combined (-226 &amp; -228)*",0.14 pCi/L,0.05 pCi/L,5 pCi/L
