Utility name,City,People served,Zip
Bessemer Water Service,Bessemer,"Population served: 85,113",35005
Birmingham Water Works Board,Birmingham,"Population served: 585,000",35005
Brookside Water Works,Brookside,"Population served: 2,550",35005
Governmental Utility Service Corporation,Bessemer,Population served: 32,35005
Graysville Water & Sewer Board,Graysville,"Population served: 9,144",35005
Irondale Water System,Irondale,"Population served: 10,098",35005
Leeds Water Board,Leeds,"Population served: 21,300",35005
Mulga Water Works and Gas Department,Mulga,"Population served: 6,195",35005
Trussville Utilities,Trussville,"Population served: 36,300",35005
Warrior River Water Authority,Bessemer,"Population served: 37,263",35005
"West Jefferson Water Works, Town of",Quinton,"Population served: 3,177",35005
Tuscaloosa Water & Sewer,"Tuscaloosa, AL","Population served:172,767",35006
Northport Water Works,"Northport, AL","Population served:40,551",35006
Alabaster Water Board,Alabaster,"Population served: 39,474",35007
Bethel Water System,Wilsonville,"Population served: 4,110",35007
Calera Water Works,Calera,"Population served: 23,748",35007
Columbiana Water Works,Columbiana,"Population served: 11,391",35007
Green Park South Mobile Home Park,Port Jefferson Station,Population served: 903,35007
Harpersville Water System,Harpersville,"Population served: 2,178",35007
Helena Utility Board,Helena,"Population served: 20,700",35007
Little Waxie Water Authority,Columbiana,"Population served: 1,269",35007
Montevallo Water Works & Sewer,Montevallo,"Population served: 9,741",35007
Pelham Water Works,Pelham,"Population served: 38,061",35007
Shelby County Water System,Columbiana,"Population served: 35,982",35007
South Gate Mobile Home Park,Port Jefferson Station,Population served: 327,35007
Sterrett-vandiver Water System,Sterrett,"Population served: 2,970",35007
Vincent Water Works Board,Vincent,"Population served: 2,733",35007
Wilsonville Water Works,Wilsonville,"Population served: 2,391",35007
Wilton Water Works,Wilton,"Population served: 3,048",35007
Alexander City Water Department,Alexander City,"Population served: 29,565",35010
Camp Hill Utilities Board,Camp Hill,"Population served: 1,710",35010
Central Elmore Water Authority,Wetumpka,"Population served: 36,900",35010
Dadeville Water Works & Sewage Board,Dadeville,"Population served: 3,744",35010
"Daviston Water System, Town of",Daviston,Population served: 630,35010
Eclectic Water Works & Sewer Board,Eclectic,"Population served: 9,477",35010
Elmore Water and Sewer Authority,Elmore,"Population served: 12,690",35010
Five Star Water Supply District,Lanett,Population served: 100,35010
Friendship Water Works,Tallassee,"Population served: 4,293",35010
"Goodwater Water Works and Sewer Bd, City of",Goodwater,"Population served: 2,640",35010
Hackneyville Water & Fire Pro Authority,Alexander City,"Population served: 1,155",35010
Holtville Water System,Deatsville,"Population served: 8,385",35010
Jacksons Gap Water Authority,Jacksons Gap,"Population served: 5,700",35010
Kellyton Water System,Kellyton,"Population served: 2,010",35010
"Lake Mitchell Water, Incorporated",Daphne,Population served: 300,35010
Millbrook Utilities,Millbrook,"Population served: 5,181",35010
New Site Water System,New Site,"Population served: 1,644",35010
Parker Creek Water Company,Birmingham,"Population served: 1,500",35010
Ray Community Water & Fire Pro Authority,Alexander City,"Population served: 1,296",35010
Rockford Water Works,Rockford,"Population served: 2,043",35010
Stewartville Water Authority,Sylacauga,"Population served: 4,890",35010
Tallassee Water Works,Tallassee,"Population served: 7,410",35010
Tri Community Water System,Millbrook,"Population served: 11,505",35010
Wall Street Water Authority,Tallassee,"Population served: 5,709",35010
Walnut Hill Water Authority,Dadeville,"Population served: 11,304",35010
Wetumpka Water Works & Sewer Board,Wetumpka,"Population served: 9,999",35010
"Allgood Water Works, Town of",Allgood,Population served: 816,35013
Blount County Water,Cleveland,"Population served: 17,400",35013
Blountsville Utilities Board,Blountsville,"Population served: 4,266",35013
Cleveland Water Works,Cleveland,"Population served: 3,516",35013
Hayden Water Works,Hayden,"Population served: 2,550",35013
Nectar Water System,Cleveland,"Population served: 3,120",35013
Oneonta Utilities Board,Oneonta,"Population served: 19,737",35013
Pine Bluff Water Authority,Locust Fork,"Population served: 6,099",35013
Remlap-Pine Mountain Water Authority,Remlap,"Population served: 2,580",35013
Snead Water Works,Snead,"Population served: 5,958",35013
Central Talladega County Water Authority,Alpine,"Population served: 3,393",35014
Childersburg Water & Sewer Board,Childersburg,"Population served: 9,603",35014
City of Talladega Water and Sewer Board,Talladega,"Population served: 19,284",35014
Fayetteville Water Authority,Sylacauga,"Population served: 5,565",35014
"Lincoln, City of",Lincoln,"Population served: 10,218",35014
Munford Water Authority Inc.,Munford,"Population served: 4,305",35014
Sycamore Water and Sewer Authority,Sycamore,"Population served: 1,731",35014
Sylacauga Utilities Board,Sylacauga,"Population served: 24,087",35014
Talladega County Water System,Talladega,"Population served: 5,196",35014
Talladega-shelby Water Treatment Plant,Alpine,Population served: 32,35014
Waldo Water System,Waldo,Population served: 401,35014
Water Works Inc.,Bessemer,Population served: 579,35014
Decatur,"Decatur, AL","Population served:77,100",35016
Cullman County Water Department,"Cullman, AL","Population served:49,800",35016
Arab Water Works Board,"Arab, AL","Population served:34,800",35016
City of Cullman Water Works,"Cullman, AL","Population served:35,922",35016
Albertville Utilities Board,"Albertville, AL","Population served:33,060",35016
