Utility,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit
City of Scottsdale,Arsenic,3.76 ppb,0.004 ppb,10 ppb
City of Scottsdale,Chromium (hexavalent),3.54 ppb,0.02 ppb,
City of Scottsdale,Haloacetic acids (HAA5)†,11.3 ppb,0.1 ppb,60 ppb
City of Scottsdale,Haloacetic acids (HAA9)†,20.0 ppb,0.06 ppb,
City of Scottsdale,Nitrate,1.52 ppm,0.14 ppm,10 ppm
City of Scottsdale,Nitrate and nitrite,1.19 ppm,0.14 ppm,10 ppm
City of Scottsdale,Total trihalomethanes (TTHMs)†,47.3 ppb,0.15 ppb,80 ppb
City of Scottsdale,Uranium,1.64 pCi/L,0.43 pCi/L,20 pCi/L
City of Scottsdale,"1,4-Dioxane",0.0689 ppb,0.35 ppb,
City of Scottsdale,Barium,66.9 ppb,700 ppb,"2,000 ppb"
City of Scottsdale,Bromochloromethane,0.00591 ppb,,
City of Scottsdale,Chlorate,171.1 ppb,210 ppb,
City of Scottsdale,Chromium (total),4.37 ppb,,100 ppb
City of Scottsdale,Fluoride,0.345 ppm,,4 ppm
City of Scottsdale,Germanium,0.0244 ppb,,
City of Scottsdale,Manganese,0.607 ppb,100 ppb,
City of Scottsdale,Molybdenum,3.29 ppb,40 ppb,
City of Scottsdale,"Radium, combined (-226 &amp; -228)",0.08 pCi/L,0.05 pCi/L,5 pCi/L
City of Scottsdale,Selenium,1.57 ppb,30 ppb,50 ppb
City of Scottsdale,Strontium,0.880 ppb,"1,500 ppb",
City of Scottsdale,Vanadium,6.03 ppb,21 ppb,
City of Scottsdale,Xylenes (total),0.0571 ppb,"1,800 ppb","10,000 ppb"
City of Scottsdale,None,,,
Michigan Trailer Park,Arsenic,1.55 ppb,0.004 ppb,10 ppb
Michigan Trailer Park,Haloacetic acids (HAA5)†,3.05 ppb,0.1 ppb,60 ppb
Michigan Trailer Park,Nitrate,6.88 ppm,0.14 ppm,10 ppm
Michigan Trailer Park,None,,,
Epcor Water - Paradise Valley/Scottsdale,Arsenic,7.68 ppb,0.004 ppb,10 ppb
Epcor Water - Paradise Valley/Scottsdale,Chromium (hexavalent),28.0 ppb,0.02 ppb,
Epcor Water - Paradise Valley/Scottsdale,Haloacetic acids (HAA5)†,0.367 ppb,0.1 ppb,60 ppb
