Utility name,City,People served,Zip
City of Tempe,"Tempe, AZ","Population served:165,000",85008
City of Scottsdale,"Scottsdale, AZ","Population served:230,000",85008
Michigan Trailer Park,"Phoenix, AZ",Population served:400,85017
Epcor Water - Paradise Valley/Scottsdale,"Youngtown, AZ","Population served:12,000",85018
City of Glendale,"Phoenix, AZ","Population served:234,766",85019
Desert Hills Water,"Cave Creek, AZ","Population served:4,415",85024
Cave Creek Water Company,"Cave Creek, AZ","Population served:6,815",85024
City of Phoenix,"Phoenix, AZ","Population served:1,579,000",85026
City of Mesa,"Mesa, AZ","Population served:466,000",85026
Town of Gilbert,"Gilbert, AZ","Population served:247,600",85026
City of Chandler,"Chandler, AZ","Population served:247,328",85026
City of Peoria,"Peoria, AZ","Population served:135,975",85026
City of Avondale,"Avondale, AZ","Population served:83,001",85026
Epcor Water - Agua Fria,"Youngtown, AZ","Population served:80,959",85026
Village of Orangewood,"Phoenix, AZ",Population served:500,85027
"Tolleson, City of","Tolleson, AZ","Population served:6,680",85037
67 Ave. Property Owners Association,"Phoenix, AZ",Population served:40,85043
Adjc Adobe Mountain School,"Phoenix, AZ",Population served:500,85083
Epcor Water - Anthem,"Youngtown, AZ","Population served:25,302",85086
Federal Correction Institution,"Phoenix, AZ","Population served:1,500",85086
Pioneer Rv Resort,"Phoenix, AZ",Population served:583,85086
Shangri La Ranch,"New River, AZ",Population served:345,85087
Queen Valley Domestic Water Improvement District,"Queen Valley, AZ","Population served:1,000",85118
Arizona Water Company - Superior,"Phoenix, AZ","Population served:3,894",85118
Arizonian Travel Trailer,"Gold Canyon, AZ",Population served:300,85118
City of Apache Junction,"Apache Junction, AZ","Population served:13,657",85119
Northern Section 4 Co-op,"Apache Junction, AZ",Population served:48,85119
Sunland Water Company,"Phoenix, AZ",Population served:188,85123
Johnson Utilities,"San Tan Valley, AZ","Population served:62,158",85128
Arizona Training Program,"Phoenix, AZ",Population served:470,85128
Whispering Wind Mobile Home Park,"Walla Walla, WA",Population served:148,85128
Silverbell Irrigation & Drainage District,"Arizona City, AZ",Population served:300,85131
Picacho Water Company,"Sun Lakes, AZ","Population served:2,440",85131
Correctional Corporation of Am - Eloy Detention,"Eloy, AZ","Population served:8,852",85131
Arizona Water Company - Pinal Valley,"Phoenix, AZ","Population served:88,019",85131
Villa Grande Domestic Water Improvement District,"Eloy, AZ",Population served:283,85131
Golden Corridor Water Company Inc.,"Phoenix, AZ",Population served:176,85131
Picacho Peak Water Company,"Redrock, AZ",Population served:321,85131
Arizona Water Company - Tierra Grande,"Phoenix, AZ","Population served:1,656",85131
Florence Water Company,"Florence, AZ","Population served:15,900",85132
Johnson Utility - Anthem At Merrill Ranch,"San Tan Valley, AZ","Population served:7,028",85132
Park Water Company Inc.,"Tucson, AZ",Population served:348,85132
Tonto Basin Water - Cactus Forest,"Denver, CO",Population served:699,85132
Adoc Eyman Unit,"Phoenix, AZ","Population served:5,100",85132
Adoc Florence Asp,"Coolidge, AZ","Population served:4,000",85132
"Hayden, Town of","Hayden, AZ",Population served:870,85135
"Kearny, Town of","Kearny, AZ","Population served:2,070",85137
Kelvin Simmons Co-op,"San Tan Valley, AZ",Population served:25,85137
Bidegain Water Company,"Globe, AZ",Population served:49,85137
Breezeway Trailer Park,"Kearny, AZ",Population served:38,85137
Saguaro Mobile Home Park,"Kearny, AZ",Population served:36,85137
Maricopa Mountain Domestic Water Improvement District 1,"Maricopa, AZ",Population served:450,85138
Maricopa Mountain Domestic Water Improvement District 2,"Maricopa, AZ",Population served:120,85138
Copper Mountain Ranch Cfd,"Casa Grande, AZ",Population served:785,85138
Valle Escondido Domestic Water Improvement District,"Maricopa, AZ",Population served:405,85138
Seven Ranch Domestic Water Improvement District,"Maricopa, AZ",Population served:95,85138
Maricopa Domestic Water Improvement District,"Maricopa, AZ","Population served:1,028",85138
Arizona Water Company - Stanfield,"Phoenix, AZ",Population served:844,85138
Goodyear Water Department,"Goodyear, AZ","Population served:50,001",85139
Thunderbird Farms Domestic Water Improvement District,"Maricopa, AZ","Population served:1,600",85139
Global Water - Santa Cruz Water Company,"Maricopa, AZ","Population served:17,005",85139
Papago Butte Domestic Water Improvement District,"Maricopa, AZ",Population served:500,85139
Antelope Peak Domestic Water Improvement District,"Chandler, AZ",Population served:150,85139
American Realty Mortgage Company,"Maricopa, AZ",Population served:56,85139
Ranches At Maricopa Water,"Maricopa, AZ",Population served:30,85139
Sun Valley Farms Unit Vi,"San Tan Valley, AZ",Population served:600,85140
Town of Queen Creek,"Queen Creek, AZ","Population served:81,919",85140
Skyline Resort Rv Park,"San Tan Valley, AZ",Population served:375,85140
"Eloy, City of","Eloy, AZ","Population served:9,700",85141
Chandler Heights Citrus Irrigation District,"Queen Creek, AZ","Population served:2,520",85142
Diversified Water Utilities Inc.,"Phoenix, AZ","Population served:4,063",85143
Arizona Water Company - Apache Junction,"Phoenix, AZ","Population served:57,647",85173
Lago Del Oro Water Company,"Sun Lakes, AZ","Population served:16,445",85191
Arizona Water Company - Winkelman,"Phoenix, AZ",Population served:468,85192
Indian Hills Estates,"Nikiski, AK",Population served:30,85192
Aravaipa Water Company,"Hayden, AZ",Population served:75,85192
Casa Grande West Water Company,"Mesa, AZ",Population served:834,85193
Casa Grande South Water Company,"Mesa, AZ",Population served:220,85193
Signal Peak Water Company,"Scottsdale, AZ",Population served:99,85194
Arizona Dairy Company Llp,"Mesa, AZ",Population served:100,85212
Pima Utilities,"Sun Lakes, AZ","Population served:20,000",85248
Gilbert Rigg Well Co-op,"Chandler, AZ",Population served:95,85249
Peekaboo Water Co-op,"Gilbert, AZ",Population served:100,85249
Berneil Water Company,"Tempe, AZ","Population served:1,315",85253
Epcor Water - Chaparral City,"Youngtown, AZ","Population served:26,026",85255
Rio Verde Utilities,"Cave Creek, AZ","Population served:3,184",85255
Water Utility of Northern Scottsdale,"Phoenix, AZ",Population served:71,85262
Carefree Water Company,"Carefree, AZ","Population served:3,420",85262
Tonto Hills Domestic Water Improvement District,"Cave Creek, AZ",Population served:225,85262
Alma Ranchettes,"Chandler, AZ",Population served:100,85286
The Oaks Mobile Home Park,"Chandler, AZ",Population served:180,85286
Germann Water Users Association,"Chandler, AZ",Population served:35,85286
Sontel Trust Water Co-op,"Higley, AZ",Population served:80,85296
Greenfield Ranchettes,"Gilbert, AZ",Population served:53,85298
Liberty Water Lpsco,"Avondale, AZ","Population served:50,045",85307
Hacienda Del Sol Mobile Home Park,"Beverly Hills, CA",Population served:300,85307
City of El Mirage,"El Mirage, AZ","Population served:39,884",85307
Epcor Water - Sun City,"Youngtown, AZ","Population served:38,016",85307
Valley Utilities Water Company Glendale,"Litchfield Park, AZ","Population served:3,900",85309
Adaman Mutual Water Company,"Litchfield Park, AZ",Population served:700,85309
Sunrise Water Company,"Peoria, AZ","Population served:4,765",85310
Ajo Improvement Company,"Ajo, AZ","Population served:1,600",85321
Ajo Domestic Water Improvement District,"Ajo, AZ",Population served:405,85321
Why Domestic Water Improvement District,"Ajo, AZ",Population served:400,85321
Water Utility of Greater Tonopah Sunshine,"Phoenix, AZ",Population served:128,85322
Coldwater Canyon 1,"Black Canyon City, AZ",Population served:795,85324
Coldwater Canyon 2,"Black Canyon City, AZ",Population served:204,85324
Coldwater Canyon 3,"Black Canyon City, AZ",Population served:86,85324
Valencia Water Company Town Division,"Buckeye, AZ","Population served:5,068",85326
City of Buckeye Sonora - Sundance,"Buckeye, AZ","Population served:15,783",85326
Clearwater Utility Company Inc.,"Buckeye, AZ","Population served:2,175",85326
"Buckeye, City of","Buckeye, AZ","Population served:4,035",85326
Arizona Water Company - White Tanks,"Phoenix, AZ","Population served:10,186",85326
Aspc Lewis Complex Water System,"Buckeye, AZ","Population served:4,300",85326
Vwc Buckeye Div Bulfer Primrose,"Buckeye, AZ",Population served:88,85326
Hopeville Water System,"Buckeye, AZ",Population served:125,85326
,",",Population served:0,85326
Grandview Water Company,"Buckeye, AZ",Population served:50,85326
Country Home Mobile Home Park,"Glendale, AZ",Population served:300,85326
Triple G Dairy,"Buckeye, AZ",Population served:84,85326
Buckeye Acres Mobile Home Park,"Phoenix, AZ",Population served:71,85326
Escapees At North Ranch,"Livingston, AZ",Population served:500,85332
Wickenburg Ranch Estates,"Phoenix, AZ",Population served:300,85332
Cibola Mutual Water Company,"Chibola, AZ",Population served:162,85334
City of Surprise - Mountain Vista,"Surprise, AZ","Population served:31,649",85335
Paloma Ranch,"Gila Bend, AZ",Population served:112,85337
Vwc Buckeye Division Sweetwater 2,"Buckeye, AZ",Population served:90,85338
Tierra Buena Water Company,"Litchfield Park, AZ",Population served:315,85340
U.S. Air Force Luke Air Force Base,"Luke Afb, AZ","Population served:10,708",85340
City of Tucson,"Tucson, AZ","Population served:675,686",85341
Metropolitan DWID,"Tucson, AZ","Population served:44,998",85341
Oro Valley Water Utility,"Oro Valley, AZ","Population served:39,366",85341
Community WC of Green Valley,"Green Valley, AZ","Population served:22,500",85341
Sahuarita Water Company,"Tucson, AZ","Population served:16,200",85341
Flowing Wells Irrigation District,"Tucson, AZ","Population served:16,000",85341
USAF Davis Monthan AFB,"Dmafb, AZ","Population served:16,000",85341
Vail Water Company,"Vail, AZ","Population served:13,000",85341
Green Valley Domestic Water Improvement District,"Green Valley, AZ","Population served:8,424",85341
Tucson Water Corona De Tucson,"Tucson, AZ","Population served:9,187",85341
Morristown Water Company,"Morristown, AZ",Population served:120,85342
Brooke Water LLC - Circle City Water Company,"Bakersfield, CA",Population served:459,85342
"Wickenburg, Town of","Wickenburg, AZ","Population served:6,250",85342
West End Water Company - Wittman,"Peoria, AZ",Population served:730,85342
Brooke Water LLC - Lakeside,"Bakersfield, CA","Population served:1,993",85344
Brooke Water LLC - Moovalya Keys,"Bakersfield, CA","Population served:1,393",85344
Brooke Water LLC - Holiday Harbor,"Bakersfield, CA",Population served:569,85344
Brooke Water LLC - Parker Dam,"Bakersfield, CA",Population served:493,85344
Ehrenberg Improvement Association,"Ehrenberg, AZ",Population served:939,85344
Brooke Water LLC - Marina Village,"Bakersfield, CA",Population served:560,85344
Cienega Water Company Inc.,"Parker, AZ",Population served:108,85344
Hillcrest Water Company,"Phoenix, AZ",Population served:150,85344
Brooke Water LLC - Rio Lindo,"Bakersfield, CA",Population served:78,85344
