Utility name,City,People served,Zip
City of Tempe,"Tempe, AZ","Population served:165,000",85008
City of Scottsdale,"Scottsdale, AZ","Population served:230,000",85008
Michigan Trailer Park,"Phoenix, AZ",Population served:400,85017
Epcor Water - Paradise Valley/Scottsdale,"Youngtown, AZ","Population served:12,000",85018
City of Scottsdale,"Scottsdale, AZ","Population served:230,000",85018
City of Glendale,"Phoenix, AZ","Population served:234,766",85019
Desert Hills Water,"Cave Creek, AZ","Population served:4,415",85024
Cave Creek Water Company,"Cave Creek, AZ","Population served:6,815",85024
City of Phoenix,"Phoenix, AZ","Population served:1,579,000",85026
City of Mesa,"Mesa, AZ","Population served:466,000",85026
Town of Gilbert,"Gilbert, AZ","Population served:247,600",85026
City of Chandler,"Chandler, AZ","Population served:247,328",85026
City of Glendale,"Phoenix, AZ","Population served:234,766",85026
City of Scottsdale,"Scottsdale, AZ","Population served:230,000",85026
City of Tempe,"Tempe, AZ","Population served:165,000",85026
City of Peoria,"Peoria, AZ","Population served:135,975",85026
City of Avondale,"Avondale, AZ","Population served:83,001",85026
Epcor Water - Agua Fria,"Youngtown, AZ","Population served:80,959",85026
Village of Orangewood,"Phoenix, AZ",Population served:500,85027
Epcor Water - Paradise Valley/Scottsdale,"Youngtown, AZ","Population served:12,000",85028
City of Tempe,"Tempe, AZ","Population served:165,000",85034
City of Avondale,"Avondale, AZ","Population served:83,001",85037
"Tolleson, City of","Tolleson, AZ","Population served:6,680",85037
City of Glendale,"Phoenix, AZ","Population served:234,766",85037
City of Tempe,"Tempe, AZ","Population served:165,000",85040
City of Tempe,"Tempe, AZ","Population served:165,000",85042
"Tolleson, City of","Tolleson, AZ","Population served:6,680",85043
67 Ave. Property Owners Association,"Phoenix, AZ",Population served:40,85043
City of Tempe,"Tempe, AZ","Population served:165,000",85044
City of Chandler,"Chandler, AZ","Population served:247,328",85044
City of Glendale,"Phoenix, AZ","Population served:234,766",85051
City of Scottsdale,"Scottsdale, AZ","Population served:230,000",85054
City of Peoria,"Peoria, AZ","Population served:135,975",85083
Adjc Adobe Mountain School,"Phoenix, AZ",Population served:500,85083
Desert Hills Water,"Cave Creek, AZ","Population served:4,415",85085
Epcor Water - Anthem,"Youngtown, AZ","Population served:25,302",85086
Desert Hills Water,"Cave Creek, AZ","Population served:4,415",85086
City of Phoenix,"Phoenix, AZ","Population served:1,579,000",85086
Federal Correction Institution,"Phoenix, AZ","Population served:1,500",85086
Pioneer Rv Resort,"Phoenix, AZ",Population served:583,85086
Cave Creek Water Company,"Cave Creek, AZ","Population served:6,815",85086
City of Peoria,"Peoria, AZ","Population served:135,975",85086
Epcor Water - Anthem,"Youngtown, AZ","Population served:25,302",85087
Shangri La Ranch,"New River, AZ",Population served:345,85087
Queen Valley Domestic Water Improvement District,"Queen Valley, AZ","Population served:1,000",85118
Arizona Water Company - Superior,"Phoenix, AZ","Population served:3,894",85118
Arizonian Travel Trailer,"Gold Canyon, AZ",Population served:300,85118
City of Apache Junction,"Apache Junction, AZ","Population served:13,657",85119
Northern Section 4 Co-op,"Apache Junction, AZ",Population served:48,85119
City of Apache Junction,"Apache Junction, AZ","Population served:13,657",85120
City of Mesa,"Mesa, AZ","Population served:466,000",85120
Sunland Water Company,"Phoenix, AZ",Population served:188,85123
Johnson Utilities,"San Tan Valley, AZ","Population served:62,158",85128
Arizona Training Program,"Phoenix, AZ",Population served:470,85128
Whispering Wind Mobile Home Park,"Walla Walla, WA",Population served:148,85128
Silverbell Irrigation & Drainage District,"Arizona City, AZ",Population served:300,85131
Picacho Water Company,"Sun Lakes, AZ","Population served:2,440",85131
Correctional Corporation of Am - Eloy Detention,"Eloy, AZ","Population served:8,852",85131
Arizona Water Company - Pinal Valley,"Phoenix, AZ","Population served:88,019",85131
Villa Grande Domestic Water Improvement District,"Eloy, AZ",Population served:283,85131
Golden Corridor Water Company Inc.,"Phoenix, AZ",Population served:176,85131
Picacho Peak Water Company,"Redrock, AZ",Population served:321,85131
Arizona Water Company - Tierra Grande,"Phoenix, AZ","Population served:1,656",85131
Florence Water Company,"Florence, AZ","Population served:15,900",85132
Johnson Utility - Anthem At Merrill Ranch,"San Tan Valley, AZ","Population served:7,028",85132
Park Water Company Inc.,"Tucson, AZ",Population served:348,85132
Tonto Basin Water - Cactus Forest,"Denver, CO",Population served:699,85132
Adoc Eyman Unit,"Phoenix, AZ","Population served:5,100",85132
Adoc Florence Asp,"Coolidge, AZ","Population served:4,000",85132
"Hayden, Town of","Hayden, AZ",Population served:870,85135
"Kearny, Town of","Kearny, AZ","Population served:2,070",85137
Kelvin Simmons Co-op,"San Tan Valley, AZ",Population served:25,85137
Bidegain Water Company,"Globe, AZ",Population served:49,85137
Breezeway Trailer Park,"Kearny, AZ",Population served:38,85137
Saguaro Mobile Home Park,"Kearny, AZ",Population served:36,85137
"Hayden, Town of","Hayden, AZ",Population served:870,85137
Maricopa Mountain Domestic Water Improvement District 1,"Maricopa, AZ",Population served:450,85138
Maricopa Mountain Domestic Water Improvement District 2,"Maricopa, AZ",Population served:120,85138
Copper Mountain Ranch Cfd,"Casa Grande, AZ",Population served:785,85138
Valle Escondido Domestic Water Improvement District,"Maricopa, AZ",Population served:405,85138
Seven Ranch Domestic Water Improvement District,"Maricopa, AZ",Population served:95,85138
Maricopa Domestic Water Improvement District,"Maricopa, AZ","Population served:1,028",85138
Arizona Water Company - Stanfield,"Phoenix, AZ",Population served:844,85138
Maricopa Mountain Domestic Water Improvement District 2,"Maricopa, AZ",Population served:120,85139
Goodyear Water Department,"Goodyear, AZ","Population served:50,001",85139
Thunderbird Farms Domestic Water Improvement District,"Maricopa, AZ","Population served:1,600",85139
Global Water - Santa Cruz Water Company,"Maricopa, AZ","Population served:17,005",85139
Papago Butte Domestic Water Improvement District,"Maricopa, AZ",Population served:500,85139
Maricopa Domestic Water Improvement District,"Maricopa, AZ","Population served:1,028",85139
Antelope Peak Domestic Water Improvement District,"Chandler, AZ",Population served:150,85139
American Realty Mortgage Company,"Maricopa, AZ",Population served:56,85139
Ranches At Maricopa Water,"Maricopa, AZ",Population served:30,85139
Valle Escondido Domestic Water Improvement District,"Maricopa, AZ",Population served:405,85139
Sun Valley Farms Unit Vi,"San Tan Valley, AZ",Population served:600,85140
Town of Queen Creek,"Queen Creek, AZ","Population served:81,919",85140
Skyline Resort Rv Park,"San Tan Valley, AZ",Population served:375,85140
Johnson Utilities,"San Tan Valley, AZ","Population served:62,158",85140
City of Mesa,"Mesa, AZ","Population served:466,000",85140
"Eloy, City of","Eloy, AZ","Population served:9,700",85141
Picacho Peak Water Company,"Redrock, AZ",Population served:321,85141
Johnson Utilities,"San Tan Valley, AZ","Population served:62,158",85142
Chandler Heights Citrus Irrigation District,"Queen Creek, AZ","Population served:2,520",85142
Town of Gilbert,"Gilbert, AZ","Population served:247,600",85142
City of Mesa,"Mesa, AZ","Population served:466,000",85142
Diversified Water Utilities Inc.,"Phoenix, AZ","Population served:4,063",85143
Town of Queen Creek,"Queen Creek, AZ","Population served:81,919",85143
Johnson Utilities,"San Tan Valley, AZ","Population served:62,158",85147
Town of Gilbert,"Gilbert, AZ","Population served:247,600",85147
City of Chandler,"Chandler, AZ","Population served:247,328",85147
Chandler Heights Citrus Irrigation District,"Queen Creek, AZ","Population served:2,520",85147
Copper Mountain Ranch Cfd,"Casa Grande, AZ",Population served:785,85172
Maricopa Mountain Domestic Water Improvement District 1,"Maricopa, AZ",Population served:450,85172
Maricopa Mountain Domestic Water Improvement District 2,"Maricopa, AZ",Population served:120,85172
Arizona Water Company - Pinal Valley,"Phoenix, AZ","Population served:88,019",85172
Arizona Water Company - Apache Junction,"Phoenix, AZ","Population served:57,647",85173
Arizona Water Company - Pinal Valley,"Phoenix, AZ","Population served:88,019",85191
Johnson Utilities,"San Tan Valley, AZ","Population served:62,158",85191
Arizona Water Company - Apache Junction,"Phoenix, AZ","Population served:57,647",85191
Global Water - Santa Cruz Water Company,"Maricopa, AZ","Population served:17,005",85191
Lago Del Oro Water Company,"Sun Lakes, AZ","Population served:16,445",85191
Florence Water Company,"Florence, AZ","Population served:15,900",85191
City of Apache Junction,"Apache Junction, AZ","Population served:13,657",85191
"Eloy, City of","Eloy, AZ","Population served:9,700",85191
Correctional Corporation of Am - Eloy Detention,"Eloy, AZ","Population served:8,852",85191
Johnson Utility - Anthem At Merrill Ranch,"San Tan Valley, AZ","Population served:7,028",85191
"Hayden, Town of","Hayden, AZ",Population served:870,85192
Arizona Water Company - Winkelman,"Phoenix, AZ",Population served:468,85192
Indian Hills Estates,"Nikiski, AK",Population served:30,85192
Aravaipa Water Company,"Hayden, AZ",Population served:75,85192
"Eloy, City of","Eloy, AZ","Population served:9,700",85193
Casa Grande West Water Company,"Mesa, AZ",Population served:834,85193
Casa Grande South Water Company,"Mesa, AZ",Population served:220,85193
Copper Mountain Ranch Cfd,"Casa Grande, AZ",Population served:785,85193
Maricopa Mountain Domestic Water Improvement District 1,"Maricopa, AZ",Population served:450,85193
"Eloy, City of","Eloy, AZ","Population served:9,700",85194
Arizona Water Company - Tierra Grande,"Phoenix, AZ","Population served:1,656",85194
Picacho Water Company,"Sun Lakes, AZ","Population served:2,440",85194
Golden Corridor Water Company Inc.,"Phoenix, AZ",Population served:176,85194
Signal Peak Water Company,"Scottsdale, AZ",Population served:99,85194
City of Tempe,"Tempe, AZ","Population served:165,000",85201
City of Tempe,"Tempe, AZ","Population served:165,000",85202
Town of Gilbert,"Gilbert, AZ","Population served:247,600",85204
Town of Gilbert,"Gilbert, AZ","Population served:247,600",85206
Arizona Water Company - Apache Junction,"Phoenix, AZ","Population served:57,647",85207
Arizona Water Company - Apache Junction,"Phoenix, AZ","Population served:57,647",85208
Town of Gilbert,"Gilbert, AZ","Population served:247,600",85209
Arizona Water Company - Apache Junction,"Phoenix, AZ","Population served:57,647",85209
Arizona Dairy Company Llp,"Mesa, AZ",Population served:100,85212
Town of Gilbert,"Gilbert, AZ","Population served:247,600",85212
Town of Queen Creek,"Queen Creek, AZ","Population served:81,919",85212
Arizona Water Company - Apache Junction,"Phoenix, AZ","Population served:57,647",85212
City of Mesa,"Mesa, AZ","Population served:466,000",85224
City of Tempe,"Tempe, AZ","Population served:165,000",85224
Town of Gilbert,"Gilbert, AZ","Population served:247,600",85225
