Utility,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit
Highland Park,Arsenic,0.500 ppb,0.004 ppb,10 ppb
Highland Park,Haloacetic acids (HAA5)†,11.3 ppb,0.1 ppb,60 ppb
Highland Park,Nitrate,0.329 ppm,0.14 ppm,10 ppm
Highland Park,"Radium, combined (-226 &amp; -228)",0.68 pCi/L,0.05 pCi/L,5 pCi/L
Highland Park,Total trihalomethanes (TTHMs)†,15.1 ppb,0.15 ppb,80 ppb
Highland Park,Aluminum,4.50 ppb,600 ppb,
Highland Park,Barium,13.9 ppb,700 ppb,"2,000 ppb"
Highland Park,Fluoride,0.111 ppm,,4 ppm
Highland Park,Manganese,2.00 ppb,100 ppb,
Highland Park,Mercury (inorganic),0.1000 ppb,1.2 ppb,2 ppb
Highland Park,Nitrite,0.0193 ppm,,1 ppm
Highland Park,None,,,
Gurnee,Arsenic,0.569 ppb,0.004 ppb,10 ppb
Gurnee,Bromate*,1.26 ppb,0.1 ppb,10 ppb
Gurnee,Bromodichloromethane,5.93 ppb,0.06 ppb,
Gurnee,Chloroform,7.95 ppb,0.4 ppb,
Gurnee,Chromium (hexavalent),0.186 ppb,0.02 ppb,
Gurnee,Dibromoacetic acid,0.416 ppb,0.04 ppb,
Gurnee,Dibromochloromethane,4.59 ppb,0.1 ppb,
Gurnee,Dichloroacetic acid,3.28 ppb,0.2 ppb,
Gurnee,Haloacetic acids (HAA5)†,6.67 ppb,0.1 ppb,60 ppb
Gurnee,Haloacetic acids (HAA9)†,8.42 ppb,0.06 ppb,
Gurnee,Nitrate*,0.407 ppm,0.14 ppm,10 ppm
Gurnee,Nitrate and nitrite*,0.430 ppm,0.14 ppm,10 ppm
Gurnee,"Radium, combined (-226 &amp; -228)",11.72 pCi/L,0.05 pCi/L,5 pCi/L
Gurnee,Total trihalomethanes (TTHMs)†,19.3 ppb,0.15 ppb,80 ppb
Gurnee,Trichloroacetic acid,2.00 ppb,0.1 ppb,
Gurnee,Barium,24.0 ppb,700 ppb,"2,000 ppb"
Gurnee,Bromoform,0.784 ppb,0.5 ppb,
Gurnee,Chlorate,73.5 ppb,210 ppb,
Gurnee,Chromium (total),0.701 ppb,,100 ppb
Gurnee,Fluoride,0.773 ppm,,4 ppm
Gurnee,Manganese,4.07 ppb,100 ppb,
Gurnee,Molybdenum,0.700 ppb,40 ppb,
Gurnee,Monobromoacetic acid,0.980 ppb,25 ppb,
Gurnee,Strontium,0.121 ppb,"1,500 ppb",
Gurnee,Vanadium,0.188 ppb,21 ppb,
Gurnee,None,,,
Mundelein,Arsenic*,0.379 ppb,0.004 ppb,10 ppb
Mundelein,Bromate*,1.26 ppb,0.1 ppb,10 ppb
Mundelein,Bromodichloromethane,5.27 ppb,0.06 ppb,
Mundelein,Chloroform,6.78 ppb,0.4 ppb,
Mundelein,Chromium (hexavalent),0.190 ppb,0.02 ppb,
Mundelein,Dibromoacetic acid,0.795 ppb,0.04 ppb,
Mundelein,Dibromochloromethane,4.38 ppb,0.1 ppb,
Mundelein,Dichloroacetic acid,0.556 ppb,0.2 ppb,
Mundelein,Haloacetic acids (HAA5)†,2.45 ppb,0.1 ppb,60 ppb
Mundelein,Haloacetic acids (HAA9)†,10.0 ppb,0.06 ppb,
Mundelein,Nitrate*,0.407 ppm,0.14 ppm,10 ppm
Mundelein,Nitrate and nitrite*,0.430 ppm,0.14 ppm,10 ppm
Mundelein,"Radium, combined (-226 &amp; -228)*",0.92 pCi/L,0.05 pCi/L,5 pCi/L
Mundelein,Total trihalomethanes (TTHMs)†,17.4 ppb,0.15 ppb,80 ppb
Mundelein,Trichloroacetic acid,0.953 ppb,0.1 ppb,
Mundelein,Barium*,20.6 ppb,700 ppb,"2,000 ppb"
Mundelein,Bromoform,0.962 ppb,0.5 ppb,
Mundelein,Chlorate,80.7 ppb,210 ppb,
Mundelein,Chromium (total),0.275 ppb,,100 ppb
Mundelein,Fluoride*,0.608 ppm,,4 ppm
Mundelein,Manganese,0.134 ppb,100 ppb,
Mundelein,Molybdenum,0.968 ppb,40 ppb,
Mundelein,Monobromoacetic acid,0.143 ppb,25 ppb,
Mundelein,Strontium,0.124 ppb,"1,500 ppb",
Mundelein,Vanadium,0.204 ppb,21 ppb,
Mundelein,None,,,
Great Lakes Naval Training Station,Arsenic,1.10 ppb,0.004 ppb,10 ppb
Great Lakes Naval Training Station,Bromodichloromethane,8.78 ppb,0.06 ppb,
Great Lakes Naval Training Station,Chloroform,16.8 ppb,0.4 ppb,
Great Lakes Naval Training Station,Chromium (hexavalent),0.182 ppb,0.02 ppb,
Great Lakes Naval Training Station,Dibromoacetic acid,1.02 ppb,0.04 ppb,
Great Lakes Naval Training Station,Dibromochloromethane,4.73 ppb,0.1 ppb,
Great Lakes Naval Training Station,Dichloroacetic acid,5.47 ppb,0.2 ppb,
Great Lakes Naval Training Station,Haloacetic acids (HAA5)†,13.5 ppb,0.1 ppb,60 ppb
Great Lakes Naval Training Station,Haloacetic acids (HAA9)†,24.0 ppb,0.06 ppb,
Great Lakes Naval Training Station,Nitrate,0.390 ppm,0.14 ppm,10 ppm
Great Lakes Naval Training Station,Nitrate and nitrite,0.395 ppm,0.14 ppm,10 ppm
Great Lakes Naval Training Station,Total trihalomethanes (TTHMs)†,30.7 ppb,0.15 ppb,80 ppb
Great Lakes Naval Training Station,Trichloroacetic acid,7.00 ppb,0.1 ppb,
Great Lakes Naval Training Station,Aluminum,140.0 ppb,600 ppb,
Great Lakes Naval Training Station,Barium,20.0 ppb,700 ppb,"2,000 ppb"
Great Lakes Naval Training Station,Bromoform,0.379 ppb,0.5 ppb,
Great Lakes Naval Training Station,Chromium (total),0.0965 ppb,,100 ppb
Great Lakes Naval Training Station,Fluoride,0.736 ppm,,4 ppm
Great Lakes Naval Training Station,Molybdenum,0.541 ppb,40 ppb,
Great Lakes Naval Training Station,Monobromoacetic acid,0.0252 ppb,25 ppb,
Great Lakes Naval Training Station,Strontium,0.120 ppb,"1,500 ppb",
Great Lakes Naval Training Station,Vanadium,0.120 ppb,21 ppb,
Great Lakes Naval Training Station,None,,,
Round Lake Beach,Arsenic*,0.379 ppb,0.004 ppb,10 ppb
Round Lake Beach,Bromate*,1.26 ppb,0.1 ppb,10 ppb
Round Lake Beach,Bromodichloromethane,5.67 ppb,0.06 ppb,
Round Lake Beach,Bromoform,1.18 ppb,0.5 ppb,
Round Lake Beach,Chloroform,8.23 ppb,0.4 ppb,
Round Lake Beach,Chromium (hexavalent),0.152 ppb,0.02 ppb,
Round Lake Beach,Dibromoacetic acid,0.887 ppb,0.04 ppb,
Round Lake Beach,Dibromochloromethane,4.50 ppb,0.1 ppb,
Round Lake Beach,Dichloroacetic acid,0.752 ppb,0.2 ppb,
Round Lake Beach,Haloacetic acids (HAA5)†,2.92 ppb,0.1 ppb,60 ppb
Round Lake Beach,Haloacetic acids (HAA9)†,11.9 ppb,0.06 ppb,
Round Lake Beach,Nitrate*,0.407 ppm,0.14 ppm,10 ppm
Round Lake Beach,Nitrate and nitrite*,0.430 ppm,0.14 ppm,10 ppm
Round Lake Beach,"Radium, combined (-226 &amp; -228)",7.49 pCi/L,0.05 pCi/L,5 pCi/L
Round Lake Beach,Total trihalomethanes (TTHMs)†,19.6 ppb,0.15 ppb,80 ppb
Round Lake Beach,Trichloroacetic acid,1.06 ppb,0.1 ppb,
Round Lake Beach,Barium,81.0 ppb,700 ppb,"2,000 ppb"
Round Lake Beach,Chlorate,78.1 ppb,210 ppb,
Round Lake Beach,Chromium (total),0.144 ppb,,100 ppb
Round Lake Beach,Fluoride,0.927 ppm,,4 ppm
Round Lake Beach,Manganese,3.62 ppb,100 ppb,
Round Lake Beach,Molybdenum,1.07 ppb,40 ppb,
Round Lake Beach,Monobromoacetic acid,0.0857 ppb,25 ppb,
Round Lake Beach,Monochloroacetic acid,0.139 ppb,53 ppb,
Round Lake Beach,Strontium,0.125 ppb,"1,500 ppb",
Round Lake Beach,Vanadium,0.202 ppb,21 ppb,
Round Lake Beach,None,,,
Copiah-new Zion Water Association Inc.,Bromodichloromethane,1.22 ppb,0.06 ppb,
Copiah-new Zion Water Association Inc.,Chloroform,2.12 ppb,0.4 ppb,
Copiah-new Zion Water Association Inc.,Dibromochloromethane,1.01 ppb,0.1 ppb,
Copiah-new Zion Water Association Inc.,Dichloroacetic acid,1.50 ppb,0.2 ppb,
Copiah-new Zion Water Association Inc.,Haloacetic acids (HAA5)†,2.50 ppb,0.1 ppb,60 ppb
Copiah-new Zion Water Association Inc.,Total trihalomethanes (TTHMs)†,4.35 ppb,0.15 ppb,80 ppb
Copiah-new Zion Water Association Inc.,Trichloroacetic acid,1.000 ppb,0.1 ppb,
Copiah-new Zion Water Association Inc.,Barium,5.57 ppb,700 ppb,"2,000 ppb"
Copiah-new Zion Water Association Inc.,Chromium (total),2.33 ppb,,100 ppb
Copiah-new Zion Water Association Inc.,Ethylbenzene,0.0291 ppb,300 ppb,700 ppb
Copiah-new Zion Water Association Inc.,Fluoride,0.293 ppm,,4 ppm
Copiah-new Zion Water Association Inc.,Xylenes (total),0.180 ppb,"1,800 ppb","10,000 ppb"
Copiah-new Zion Water Association Inc.,None,,,
Aqua Pa Fawn Lake Forest,Arsenic,1.96 ppb,0.004 ppb,10 ppb
Aqua Pa Fawn Lake Forest,Bromodichloromethane,2.22 ppb,0.06 ppb,
Aqua Pa Fawn Lake Forest,Chloroform,4.65 ppb,0.4 ppb,
Aqua Pa Fawn Lake Forest,Dibromochloromethane,0.905 ppb,0.1 ppb,
Aqua Pa Fawn Lake Forest,Dichloroacetic acid,1.50 ppb,0.2 ppb,
Aqua Pa Fawn Lake Forest,Haloacetic acids (HAA5)†,1.24 ppb,0.1 ppb,60 ppb
Aqua Pa Fawn Lake Forest,Total trihalomethanes (TTHMs)†,6.00 ppb,0.15 ppb,80 ppb
Aqua Pa Fawn Lake Forest,Trichloroacetic acid,0.400 ppb,0.1 ppb,
Aqua Pa Fawn Lake Forest,Barium,133.5 ppb,700 ppb,"2,000 ppb"
Aqua Pa Fawn Lake Forest,Chromium (total),1.94 ppb,,100 ppb
Aqua Pa Fawn Lake Forest,Fluoride,0.0500 ppm,,4 ppm
Aqua Pa Fawn Lake Forest,Uranium,0.11 pCi/L,0.43 pCi/L,20 pCi/L
Aqua Pa Fawn Lake Forest,None,,,
Libertyville,Arsenic*,0.379 ppb,0.004 ppb,10 ppb
Libertyville,Bromate*,1.26 ppb,0.1 ppb,10 ppb
Libertyville,Bromodichloromethane,6.34 ppb,0.06 ppb,
Libertyville,Chloroform,8.97 ppb,0.4 ppb,
Libertyville,Chromium (hexavalent),0.196 ppb,0.02 ppb,
Libertyville,Dibromoacetic acid,0.267 ppb,0.04 ppb,
Libertyville,Dibromochloromethane,5.08 ppb,0.1 ppb,
Libertyville,Dichloroacetic acid,2.44 ppb,0.2 ppb,
Libertyville,Haloacetic acids (HAA5)†,5.35 ppb,0.1 ppb,60 ppb
Libertyville,Haloacetic acids (HAA9)†,6.55 ppb,0.06 ppb,
Libertyville,Nitrate*,0.407 ppm,0.14 ppm,10 ppm
Libertyville,Nitrate and nitrite*,0.430 ppm,0.14 ppm,10 ppm
Libertyville,"Radium, combined (-226 &amp; -228)*",0.92 pCi/L,0.05 pCi/L,5 pCi/L
Libertyville,Total trihalomethanes (TTHMs)†,21.6 ppb,0.15 ppb,80 ppb
Libertyville,Trichloroacetic acid,1.99 ppb,0.1 ppb,
Libertyville,Barium*,20.6 ppb,700 ppb,"2,000 ppb"
Libertyville,Bromoform,0.953 ppb,0.5 ppb,
Libertyville,Chlorate,62.3 ppb,210 ppb,
Libertyville,Chromium (total),0.288 ppb,,100 ppb
Libertyville,Fluoride*,0.608 ppm,,4 ppm
Libertyville,Manganese*,3.13 ppb,100 ppb,
Libertyville,Molybdenum,0.825 ppb,40 ppb,
Libertyville,Monobromoacetic acid,0.595 ppb,25 ppb,
Libertyville,Monochloroacetic acid,0.0605 ppb,53 ppb,
Libertyville,Strontium,0.121 ppb,"1,500 ppb",
Libertyville,Vanadium,0.275 ppb,21 ppb,
Libertyville,None,,,
Grayslake,Arsenic*,0.379 ppb,0.004 ppb,10 ppb
Grayslake,Bromate*,1.26 ppb,0.1 ppb,10 ppb
Grayslake,Bromodichloromethane,5.78 ppb,0.06 ppb,
Grayslake,Bromoform,1.03 ppb,0.5 ppb,
Grayslake,Chloroform,9.49 ppb,0.4 ppb,
Grayslake,Chromium (hexavalent),0.132 ppb,0.02 ppb,
Grayslake,Dibromoacetic acid,0.796 ppb,0.04 ppb,
Grayslake,Dibromochloromethane,4.50 ppb,0.1 ppb,
Grayslake,Dichloroacetic acid,0.945 ppb,0.2 ppb,
Grayslake,Haloacetic acids (HAA5)†,3.07 ppb,0.1 ppb,60 ppb
Grayslake,Haloacetic acids (HAA9)†,8.62 ppb,0.06 ppb,
Grayslake,Nitrate*,0.407 ppm,0.14 ppm,10 ppm
Grayslake,Nitrate and nitrite*,0.430 ppm,0.14 ppm,10 ppm
Grayslake,"Radium, combined (-226 &amp; -228)*",0.92 pCi/L,0.05 pCi/L,5 pCi/L
Grayslake,Total trihalomethanes (TTHMs)†,20.8 ppb,0.15 ppb,80 ppb
Grayslake,Trichloroacetic acid,1.16 ppb,0.1 ppb,
Grayslake,Barium*,20.6 ppb,700 ppb,"2,000 ppb"
Grayslake,Bromochloromethane,0.0418 ppb,,
Grayslake,Chlorate,75.7 ppb,210 ppb,
Grayslake,Chromium (total),0.0583 ppb,,100 ppb
Grayslake,Fluoride*,0.608 ppm,,4 ppm
Grayslake,Manganese,0.823 ppb,100 ppb,
Grayslake,Molybdenum,0.534 ppb,40 ppb,
Grayslake,Monobromoacetic acid,0.175 ppb,25 ppb,
Grayslake,Strontium,0.119 ppb,"1,500 ppb",
Grayslake,Vanadium,0.115 ppb,21 ppb,
Grayslake,None,,,
City of Chicago,Bromodichloromethane,7.37 ppb,0.06 ppb,
City of Chicago,Chloroform,9.57 ppb,0.4 ppb,
City of Chicago,Chromium (hexavalent),0.194 ppb,0.02 ppb,
City of Chicago,Dibromoacetic acid,0.652 ppb,0.04 ppb,
City of Chicago,Dibromochloromethane,4.15 ppb,0.1 ppb,
City of Chicago,Dichloroacetic acid,5.19 ppb,0.2 ppb,
City of Chicago,Haloacetic acids (HAA5)†,10.3 ppb,0.1 ppb,60 ppb
City of Chicago,Haloacetic acids (HAA9)†,19.1 ppb,0.06 ppb,
City of Chicago,Nitrate,0.346 ppm,0.14 ppm,10 ppm
City of Chicago,Nitrate and nitrite,0.346 ppm,0.14 ppm,10 ppm
City of Chicago,"Radium, combined (-226 &amp; -228)",0.67 pCi/L,0.05 pCi/L,5 pCi/L
City of Chicago,Total trihalomethanes (TTHMs)†,21.1 ppb,0.15 ppb,80 ppb
City of Chicago,Trichloroacetic acid,4.45 ppb,0.1 ppb,
City of Chicago,"4-Androstene-3,17-dione",0.175 ppt,,
City of Chicago,Barium,20.4 ppb,700 ppb,"2,000 ppb"
City of Chicago,Chromium (total),0.143 ppb,,100 ppb
City of Chicago,Fluoride,0.714 ppm,,4 ppm
City of Chicago,Molybdenum,1.07 ppb,40 ppb,
City of Chicago,Monochloroacetic acid,0.0250 ppb,53 ppb,
City of Chicago,Strontium,0.115 ppb,"1,500 ppb",
City of Chicago,Testosterone,0.0250 ppt,,
City of Chicago,Vanadium,0.238 ppb,21 ppb,
City of Chicago,None,,,
Northwest Suburban Municipal Jawa,Bromodichloromethane,10.5 ppb,0.06 ppb,
Northwest Suburban Municipal Jawa,Chloroform,17.7 ppb,0.4 ppb,
Northwest Suburban Municipal Jawa,Chromium (hexavalent)*,0.194 ppb,0.02 ppb,
Northwest Suburban Municipal Jawa,Dibromoacetic acid,1.28 ppb,0.04 ppb,
Northwest Suburban Municipal Jawa,Dibromochloromethane,5.59 ppb,0.1 ppb,
Northwest Suburban Municipal Jawa,Dichloroacetic acid,9.23 ppb,0.2 ppb,
Northwest Suburban Municipal Jawa,Haloacetic acids (HAA5)†,17.1 ppb,0.1 ppb,60 ppb
Northwest Suburban Municipal Jawa,Haloacetic acids (HAA9)*†,19.1 ppb,0.06 ppb,
Northwest Suburban Municipal Jawa,Nitrate*,0.346 ppm,0.14 ppm,10 ppm
Northwest Suburban Municipal Jawa,Nitrate and nitrite*,0.346 ppm,0.14 ppm,10 ppm
Northwest Suburban Municipal Jawa,"Radium, combined (-226 &amp; -228)*",0.67 pCi/L,0.05 pCi/L,5 pCi/L
Northwest Suburban Municipal Jawa,Total trihalomethanes (TTHMs)†,33.8 ppb,0.15 ppb,80 ppb
Northwest Suburban Municipal Jawa,Trichloroacetic acid,6.56 ppb,0.1 ppb,
Northwest Suburban Municipal Jawa,"4-Androstene-3,17-dione*",0.175 ppt,,
Northwest Suburban Municipal Jawa,Barium*,20.4 ppb,700 ppb,"2,000 ppb"
Northwest Suburban Municipal Jawa,Chromium (total)*,0.143 ppb,,100 ppb
