Utility name,City,People served,Zip
Waukegan,"Waukegan, IL","Population served:88,182",60002
Highland Park,"Highland Park, IL","Population served:29,763",60002
Gurnee,"Gurnee, IL","Population served:31,284",60002
Mundelein,"Mundelein, IL","Population served:31,500",60002
Great Lakes Naval Training Station,"Great Lakes, IL","Population served:23,000",60002
Round Lake Beach,"Round Lake Beach, IL","Population served:28,845",60002
Zion,"Zion, IL","Population served:24,413",60002
Lake Forest,"Lake Forest, IL","Population served:19,375",60002
Libertyville,"Libertyville, IL","Population served:20,315",60002
Grayslake,"Grayslake, IL","Population served:20,957",60002
City of Chicago,"Chicago, IL","Population served:2,700,000",60004
Northwest Suburban Municipal Jawa,"Elk Grove Village, IL",Population served:1,60004
Cicero,"Cicero, IL","Population served:83,000",60004
Schaumburg,"Schaumburg, IL","Population served:74,550",60004
Arlington Heights,"Arlington Heights, IL","Population served:79,000",60004
Evanston,"Evanston, IL","Population served:74,486",60004
Palatine,"Palatine, IL","Population served:68,957",60004
Skokie,"Skokie, IL","Population served:64,784",60004
Des Plaines,"Des Plaines, IL","Population served:58,710",60004
Glenview,"Glenview, IL","Population served:50,001",60004
Du Page Water Commission,"Elmhurst, IL",Population served:1,60007
Naperville,"Naperville, IL","Population served:149,294",60007
Aurora,"Aurora, IL","Population served:200,500",60010
Elgin,"Elgin, IL","Population served:108,188",60010
Algonquin,Algonquin,"Population served: 30,400",60012
Cary,Cary,"Population served: 18,271",60012
Aqua Illinois-crystal Clear Water Co.,Glenview,Population served: 855,60012
Crystal Lake,Crystal Lake,"Population served: 40,743",60012
Aqua Illinois-eastwood Manor,Glenview,Population served: 900,60012
Fox River Grove,Fox River Grove,"Population served: 4,854",60012
Harbor Lites-pistakee Fshg Cl,Chicago,Population served: 66,60012
Harvard,Harvard,"Population served: 9,447",60012
Hebron,Hebron,"Population served: 1,200",60012
Huntley,Huntley,"Population served: 26,632",60012
Johnsburg 1,Johnsburg,Population served: 174,60012
Johnsburg No.2,Johnsburg,"Population served: 1,124",60012
Lake In The Hills,Lake In The Hills,"Population served: 28,965",60012
Lakewood,Lakewood,"Population served: 2,723",60012
Marengo,Marengo,"Population served: 7,445",60012
Mc Henry,Mchenry,"Population served: 22,020",60012
Aqua Illinois-mchenry Shores,Glenview,"Population served: 1,862",60012
Northern Illinois Utilities Inc.,Volo,"Population served: 1,500",60012
Aqua Illinois-nunda,Glenview,Population served: 500,60012
Prairie Ridge Association,Woodstock,Population served: 148,60012
Richmond,Richmond,"Population served: 1,874",60012
Royal Oaks Mobile Home Park,Chicago,Population served: 114,60012
Union,Union,Population served: 552,60012
Utilities Inc.-holiday Hills,Mchenry,Population served: 740,60012
Utilities Inc.-killarney Water Company,Mchenry,"Population served: 1,047",60012
Utilities Inc.-walk-up Woods Water Company,Mchenry,Population served: 781,60012
Utilities Inc.-whispering Hills Water Company,Mchenry,"Population served: 8,240",60012
Valley Hi Nursing Home,Volo,Population served: 125,60012
Wonder Lake,Wonder Lake,"Population served: 4,500",60012
Woodstock,Woodstock,"Population served: 25,523",60012
Belvidere,"Belvidere, IL","Population served:25,070",60033
Wheaton,"Wheaton, IL","Population served:52,894",60101
Downers Grove,"Downers Grove, IL","Population served:47,908",60101
Elmhurst,"Elmhurst, IL","Population served:46,387",60101
St Charles,"St. Charles, IL","Population served:33,264",60102
Carpentersville,"Carpentersville, IL","Population served:38,162",60102
Batavia,"Batavia, IL","Population served:26,345",60102
