Utility name,City,People served,Zip
Waukegan,"Waukegan, IL","Population served:88,182",60002
Highland Park,"Highland Park, IL","Population served:29,763",60002
Gurnee,"Gurnee, IL","Population served:31,284",60002
Mundelein,"Mundelein, IL","Population served:31,500",60002
Great Lakes Naval Training Station,"Great Lakes, IL","Population served:23,000",60002
Round Lake Beach,"Round Lake Beach, IL","Population served:28,845",60002
Zion,"Zion, IL","Population served:24,413",60002
Lake Forest,"Lake Forest, IL","Population served:19,375",60002
Libertyville,"Libertyville, IL","Population served:20,315",60002
Grayslake,"Grayslake, IL","Population served:20,957",60002
City of Chicago,"Chicago, IL","Population served:2,700,000",60004
Northwest Suburban Municipal Jawa,"Elk Grove Village, IL",Population served:1,60004
Cicero,"Cicero, IL","Population served:83,000",60004
Schaumburg,"Schaumburg, IL","Population served:74,550",60004
Arlington Heights,"Arlington Heights, IL","Population served:79,000",60004
Evanston,"Evanston, IL","Population served:74,486",60004
Palatine,"Palatine, IL","Population served:68,957",60004
Skokie,"Skokie, IL","Population served:64,784",60004
Des Plaines,"Des Plaines, IL","Population served:58,710",60004
Glenview,"Glenview, IL","Population served:50,001",60004
City of Chicago,"Chicago, IL","Population served:2,700,000",60005
Northwest Suburban Municipal Jawa,"Elk Grove Village, IL",Population served:1,60005
Cicero,"Cicero, IL","Population served:83,000",60005
Schaumburg,"Schaumburg, IL","Population served:74,550",60005
Arlington Heights,"Arlington Heights, IL","Population served:79,000",60005
Evanston,"Evanston, IL","Population served:74,486",60005
Palatine,"Palatine, IL","Population served:68,957",60005
Skokie,"Skokie, IL","Population served:64,784",60005
Des Plaines,"Des Plaines, IL","Population served:58,710",60005
Glenview,"Glenview, IL","Population served:50,001",60005
City of Chicago,"Chicago, IL","Population served:2,700,000",60007
Du Page Water Commission,"Elmhurst, IL",Population served:1,60007
Northwest Suburban Municipal Jawa,"Elk Grove Village, IL",Population served:1,60007
Naperville,"Naperville, IL","Population served:149,294",60007
Cicero,"Cicero, IL","Population served:83,000",60007
Schaumburg,"Schaumburg, IL","Population served:74,550",60007
Arlington Heights,"Arlington Heights, IL","Population served:79,000",60007
Evanston,"Evanston, IL","Population served:74,486",60007
Palatine,"Palatine, IL","Population served:68,957",60007
Skokie,"Skokie, IL","Population served:64,784",60007
City of Chicago,"Chicago, IL","Population served:2,700,000",60008
Northwest Suburban Municipal Jawa,"Elk Grove Village, IL",Population served:1,60008
Cicero,"Cicero, IL","Population served:83,000",60008
Schaumburg,"Schaumburg, IL","Population served:74,550",60008
Arlington Heights,"Arlington Heights, IL","Population served:79,000",60008
Evanston,"Evanston, IL","Population served:74,486",60008
Palatine,"Palatine, IL","Population served:68,957",60008
Skokie,"Skokie, IL","Population served:64,784",60008
Des Plaines,"Des Plaines, IL","Population served:58,710",60008
Glenview,"Glenview, IL","Population served:50,001",60008
City of Chicago,"Chicago, IL","Population served:2,700,000",60010
Northwest Suburban Municipal Jawa,"Elk Grove Village, IL",Population served:1,60010
Aurora,"Aurora, IL","Population served:200,500",60010
Elgin,"Elgin, IL","Population served:108,188",60010
Waukegan,"Waukegan, IL","Population served:88,182",60010
Cicero,"Cicero, IL","Population served:83,000",60010
Schaumburg,"Schaumburg, IL","Population served:74,550",60010
Arlington Heights,"Arlington Heights, IL","Population served:79,000",60010
Evanston,"Evanston, IL","Population served:74,486",60010
Palatine,"Palatine, IL","Population served:68,957",60010
Algonquin,Algonquin,"Population served: 30,400",60012
