Utility,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit
Aqua Pa Washington Park,Arsenic,0.550 ppb,0.004 ppb,10 ppb
Aqua Pa Washington Park,Bromodichloromethane,1.90 ppb,0.06 ppb,
Aqua Pa Washington Park,Chloroform,2.33 ppb,0.4 ppb,
Aqua Pa Washington Park,Dibromoacetic acid,1.000 ppb,0.04 ppb,
Aqua Pa Washington Park,Dibromochloromethane,1.10 ppb,0.1 ppb,
Aqua Pa Washington Park,Dichloroacetic acid,2.80 ppb,0.2 ppb,
Aqua Pa Washington Park,Haloacetic acids (HAA5)†,2.97 ppb,0.1 ppb,60 ppb
Aqua Pa Washington Park,Nitrate,2.18 ppm,0.14 ppm,10 ppm
Aqua Pa Washington Park,Total trihalomethanes (TTHMs)†,8.17 ppb,0.15 ppb,80 ppb
Aqua Pa Washington Park,Uranium,3.89 pCi/L,0.43 pCi/L,20 pCi/L
Aqua Pa Washington Park,Barium,151.0 ppb,700 ppb,"2,000 ppb"
Aqua Pa Washington Park,Bromoform,0.450 ppb,0.5 ppb,
Aqua Pa Washington Park,Chromium (total),2.80 ppb,,100 ppb
Aqua Pa Washington Park,None,,,
Union PWS,Arsenic,0.319 ppb,0.004 ppb,10 ppb
Union PWS,Dichloroacetic acid,0.447 ppb,0.2 ppb,
Union PWS,"Radium, combined (-226 &amp; -228)",0.13 pCi/L,0.05 pCi/L,5 pCi/L
Union PWS,Total trihalomethanes (TTHMs)†,1.29 ppb,0.15 ppb,80 ppb
Union PWS,Barium,258.8 ppb,700 ppb,"2,000 ppb"
Union PWS,Bromodichloromethane,0.0421 ppb,0.06 ppb,
Union PWS,Chloroform,0.329 ppb,0.4 ppb,
Union PWS,Chromium (total),1.06 ppb,,100 ppb
Union PWS,Dibromochloromethane,0.124 ppb,0.1 ppb,
Union PWS,Fluoride,0.0369 ppm,,4 ppm
Union PWS,Manganese,1.23 ppb,100 ppb,
Union PWS,Nitrate and nitrite,0.204 ppm,0.14 ppm,10 ppm
Union PWS,None,,,
Franklin County Public Water Supply District 1,Dichloroacetic acid,1.72 ppb,0.2 ppb,
Franklin County Public Water Supply District 1,Haloacetic acids (HAA5)†,2.27 ppb,0.1 ppb,60 ppb
Franklin County Public Water Supply District 1,"Radium, combined (-226 &amp; -228)",0.37 pCi/L,0.05 pCi/L,5 pCi/L
Franklin County Public Water Supply District 1,Total trihalomethanes (TTHMs)†,0.433 ppb,0.15 ppb,80 ppb
Franklin County Public Water Supply District 1,Trichloroacetic acid,0.550 ppb,0.1 ppb,
Franklin County Public Water Supply District 1,Barium,375.6 ppb,700 ppb,"2,000 ppb"
Franklin County Public Water Supply District 1,Bromodichloromethane,0.0775 ppb,0.06 ppb,
Franklin County Public Water Supply District 1,Chloroform,0.0667 ppb,0.4 ppb,
Franklin County Public Water Supply District 1,Chromium (total),2.41 ppb,,100 ppb
Franklin County Public Water Supply District 1,Fluoride,0.0300 ppm,,4 ppm
Franklin County Public Water Supply District 1,Nitrate and nitrite,0.175 ppm,0.14 ppm,10 ppm
Franklin County Public Water Supply District 1,Xylenes (total),0.128 ppb,"1,800 ppb","10,000 ppb"
Franklin County Public Water Supply District 1,None,,,
Pacific PWS,Arsenic,0.653 ppb,0.004 ppb,10 ppb
Pacific PWS,Chromium (hexavalent),0.0929 ppb,0.02 ppb,
Pacific PWS,Nitrate and nitrite,0.708 ppm,0.14 ppm,10 ppm
Pacific PWS,Barium,133.5 ppb,700 ppb,"2,000 ppb"
Pacific PWS,Chlorate,31.5 ppb,210 ppb,
Pacific PWS,Chromium (total),0.769 ppb,,100 ppb
Pacific PWS,Dibromochloromethane,0.0433 ppb,0.1 ppb,
Pacific PWS,Fluoride,0.722 ppm,,4 ppm
Pacific PWS,Manganese,0.0750 ppb,100 ppb,
Pacific PWS,Strontium,0.0818 ppb,"1,500 ppb",
Pacific PWS,Vanadium,0.110 ppb,21 ppb,
Pacific PWS,None,,,
Jefferson County Cons Rural Water District #1,Bromochloroacetic acid,1.78 ppb,0.02 ppb,
Jefferson County Cons Rural Water District #1,Bromodichloromethane,8.13 ppb,0.06 ppb,
Jefferson County Cons Rural Water District #1,Bromoform,1.16 ppb,0.5 ppb,
Jefferson County Cons Rural Water District #1,Chloroform,10.3 ppb,0.4 ppb,
Jefferson County Cons Rural Water District #1,Dibromoacetic acid,0.493 ppb,0.04 ppb,
Jefferson County Cons Rural Water District #1,Dibromochloromethane,5.64 ppb,0.1 ppb,
Jefferson County Cons Rural Water District #1,Dichloroacetic acid,3.26 ppb,0.2 ppb,
Jefferson County Cons Rural Water District #1,Haloacetic acids (HAA5)†,6.70 ppb,0.1 ppb,60 ppb
Jefferson County Cons Rural Water District #1,Nitrate and nitrite,0.558 ppm,0.14 ppm,10 ppm
Jefferson County Cons Rural Water District #1,"Radium, combined (-226 &amp; -228)",1.00 pCi/L,0.05 pCi/L,5 pCi/L
Jefferson County Cons Rural Water District #1,Total trihalomethanes (TTHMs)†,31.9 ppb,0.15 ppb,80 ppb
Jefferson County Cons Rural Water District #1,Trichloroacetic acid,2.85 ppb,0.1 ppb,
Jefferson County Cons Rural Water District #1,Uranium,2.12 pCi/L,0.43 pCi/L,20 pCi/L
Jefferson County Cons Rural Water District #1,Barium,203.8 ppb,700 ppb,"2,000 ppb"
Jefferson County Cons Rural Water District #1,Chromium (total),1.98 ppb,,100 ppb
Jefferson County Cons Rural Water District #1,Fluoride,0.238 ppm,,4 ppm
Jefferson County Cons Rural Water District #1,Monobromoacetic acid,0.0821 ppb,25 ppb,
Jefferson County Cons Rural Water District #1,Monochloroacetic acid,0.168 ppb,53 ppb,
Jefferson County Cons Rural Water District #1,None,,,
Jefferson County Cons Rural Water District #1,Bromochloroacetic acid,1.78 ppb,0.02 ppb,
Jefferson County Cons Rural Water District #1,Bromodichloromethane,8.13 ppb,0.06 ppb,
Jefferson County Cons Rural Water District #1,Bromoform,1.16 ppb,0.5 ppb,
Jefferson County Cons Rural Water District #1,Chloroform,10.3 ppb,0.4 ppb,
Jefferson County Cons Rural Water District #1,Dibromoacetic acid,0.493 ppb,0.04 ppb,
Jefferson County Cons Rural Water District #1,Dibromochloromethane,5.64 ppb,0.1 ppb,
Jefferson County Cons Rural Water District #1,Dichloroacetic acid,3.26 ppb,0.2 ppb,
Jefferson County Cons Rural Water District #1,Haloacetic acids (HAA5)†,6.70 ppb,0.1 ppb,60 ppb
Jefferson County Cons Rural Water District #1,Nitrate and nitrite,0.558 ppm,0.14 ppm,10 ppm
Jefferson County Cons Rural Water District #1,"Radium, combined (-226 &amp; -228)",1.00 pCi/L,0.05 pCi/L,5 pCi/L
Jefferson County Cons Rural Water District #1,Total trihalomethanes (TTHMs)†,31.9 ppb,0.15 ppb,80 ppb
Jefferson County Cons Rural Water District #1,Trichloroacetic acid,2.85 ppb,0.1 ppb,
Jefferson County Cons Rural Water District #1,Uranium,2.12 pCi/L,0.43 pCi/L,20 pCi/L
Jefferson County Cons Rural Water District #1,Barium,203.8 ppb,700 ppb,"2,000 ppb"
Jefferson County Cons Rural Water District #1,Chromium (total),1.98 ppb,,100 ppb
Jefferson County Cons Rural Water District #1,Fluoride,0.238 ppm,,4 ppm
Jefferson County Cons Rural Water District #1,Monobromoacetic acid,0.0821 ppb,25 ppb,
Jefferson County Cons Rural Water District #1,Monochloroacetic acid,0.168 ppb,53 ppb,
Jefferson County Cons Rural Water District #1,None,,,
Jefferson County Cons Rural Water District #1,Bromochloroacetic acid,1.78 ppb,0.02 ppb,
Jefferson County Cons Rural Water District #1,Bromodichloromethane,8.13 ppb,0.06 ppb,
Jefferson County Cons Rural Water District #1,Bromoform,1.16 ppb,0.5 ppb,
Jefferson County Cons Rural Water District #1,Chloroform,10.3 ppb,0.4 ppb,
Jefferson County Cons Rural Water District #1,Dibromoacetic acid,0.493 ppb,0.04 ppb,
Jefferson County Cons Rural Water District #1,Dibromochloromethane,5.64 ppb,0.1 ppb,
Jefferson County Cons Rural Water District #1,Dichloroacetic acid,3.26 ppb,0.2 ppb,
Jefferson County Cons Rural Water District #1,Haloacetic acids (HAA5)†,6.70 ppb,0.1 ppb,60 ppb
Jefferson County Cons Rural Water District #1,Nitrate and nitrite,0.558 ppm,0.14 ppm,10 ppm
Jefferson County Cons Rural Water District #1,"Radium, combined (-226 &amp; -228)",1.00 pCi/L,0.05 pCi/L,5 pCi/L
Jefferson County Cons Rural Water District #1,Total trihalomethanes (TTHMs)†,31.9 ppb,0.15 ppb,80 ppb
Jefferson County Cons Rural Water District #1,Trichloroacetic acid,2.85 ppb,0.1 ppb,
Jefferson County Cons Rural Water District #1,Uranium,2.12 pCi/L,0.43 pCi/L,20 pCi/L
Jefferson County Cons Rural Water District #1,Barium,203.8 ppb,700 ppb,"2,000 ppb"
Jefferson County Cons Rural Water District #1,Chromium (total),1.98 ppb,,100 ppb
Jefferson County Cons Rural Water District #1,Fluoride,0.238 ppm,,4 ppm
Jefferson County Cons Rural Water District #1,Monobromoacetic acid,0.0821 ppb,25 ppb,
Jefferson County Cons Rural Water District #1,Monochloroacetic acid,0.168 ppb,53 ppb,
Jefferson County Cons Rural Water District #1,None,,,
