Utility name,City,People served,Zip
Kirkwood,"Kirkwood, MO","Population served:28,000",63005
Washington,"Washington, MO","Population served:13,892",63005
Union PWS,"Union, MO","Population served:10,204",63005
Franklin County Public Water Supply District 3,"Villa Ridge, MO","Population served:8,250",63005
Pacific PWS,"Pacific, MO","Population served:6,000",63005
Jefferson County Cons. PWSD C 1,"Barnhart, MO","Population served:35,000",63010
Jefferson County PWSD1,"Arnold, MO","Population served:20,000",63010
Jefferson County PWSD 2,"High Ridge, MO","Population served:20,000",63010
Jefferson County PWSD 3,"Arnold, MO","Population served:17,000",63010
Festus,"Festus, MO","Population served:11,600",63010
Jefferson County PWSD 10,"Arnonld, MO","Population served:10,000",63010
Jefferson County Public Water Supply District 5,"De Soto, MO","Population served:8,000",63010
Jefferson County Public Water Supply District 6,"House Springs, MO","Population served:7,300",63010
Desoto PWS,"De Soto, MO","Population served:6,400",63010
Jefferson County Public Water Supply District 7,"Mapaville, MO","Population served:6,100",63010
St. Clair,"St Clair, MO","Population served:4,700",63013
Park Hills PWS,"Park Hills, MO","Population served:8,566",63020
Bismarck PWS,Bismarck,"Population served: 1,474",63036
Bloomsdale PWS,Bloomsdale,Population served: 523,63036
Bonne Terre Prison,Bonne Terre,"Population served: 3,500",63036
Bonne Terre PWS,Bonne Terre,"Population served: 3,800",63036
Desloge PWS,Desloge,"Population served: 5,300",63036
Farmington Manor,Farmington,Population served: 60,63036
Lake Forest Estates,Ste Genevieve,Population served: 650,63036
Lake Seven Falls Association Inc.,Ste Genevieve,Population served: 152,63036
Pilot Knob Rural Water District 1 Doe Run Area,Farmington,Population served: 508,63036
Sainte Genevieve County Public Water Supply District 1 North,Ste Genevieve,"Population served: 1,283",63036
Sainte Genevieve County Public Water Supply District 1 Sc,Ste Genevieve,"Population served: 3,563",63036
St. Francois County Public Water Supply District 1,Park Hills,Population served: 125,63036
Terre Du Lac,Bonne Terre,"Population served: 3,217",63036
Terrisan,"Bridgeton, MO",Population served:240,63044
Anthonies Mill Resort Subdivision,Bourbon,Population served: 214,63071
Caledonia PWS,Caledonia,Population served: 130,63071
Grandview Plaza Mobile Home Park,De Soto,Population served: 95,63071
Irondale PWS,Irondale,Population served: 480,63071
Mineral Point PWS,Mineral Point,Population served: 359,63071
Potosi East,Potosi,"Population served: 2,500",63071
Potosi PWS,Potosi,"Population served: 2,660",63071
MO American Rogue Creek Utilities,Potosi,Population served: 200,63071
The Legacy Ranch,Bonne Terre,Population served: 25,63071
Washington County Public Water Supply District 1,Potosi,Population served: 700,63071
Washington County Public Water Supply District 2,Belgrade,Population served: 200,63071
Franklin County Public Water Supply District 1,"Washington, MO","Population served:3,500",63080
Cuba PWS,"Cuba, MO","Population served:3,307",63080
Indian Hills Utilities Operating Company Inc.,"Cuba, MO","Population served:2,200",63080
New Haven PWS,"New Haven, MO","Population served:2,000",63080
MO American Pevely Farms,Chesterfield,Population served: 85,63103
St. Louis City,St Louis,"Population served: 315,685",63103
St. Charles,"St Charles, MO","Population served:73,040",63301
St. Charles County PWSD 2,"O Fallon, MO","Population served:100,587",63304
Weldon Spring Heights Village PWS,"Weldon Spring, MO",Population served:100,63304
Bowling Green PWS,Bowling Green,"Population served: 5,334",63330
Clarksville PWS,Clarksville,Population served: 442,63330
Curryville PWS,Curryville,Population served: 255,63330
Frankford PWS,Frankford,Population served: 323,63330
Louisiana PWS,Louisiana,"Population served: 3,364",63330
Pike County Public Water Supply District 1,Bowling Green,"Population served: 6,655",63330
St. Charles County Public Water Supply District 2 Augusta,"Augusta, MO","Population served:1,000",63332
Lincoln County PWSD 1,"Winfield, MO","Population served:11,000",63333
Troy,"Troy, MO","Population served:10,500",63333
Montgomery City PWS,"Montgomery City, MO","Population served:2,712",63333
Moscow Mills PWS,"Moscow Mills, MO","Population served:2,500",63333
Elsberry PWS,"Elsberry, MO","Population served:1,963",63333
Audrain County Public Water Supply District 1,Mexico,"Population served: 1,455",63345
Audrain County Public Water Supply District 2,Mexico,"Population served: 2,260",63345
Farber PWS,Farber,Population served: 450,63345
Laddonia PWS,Laddonia,Population served: 511,63345
Martinsburg PWS,Martinsburg,Population served: 304,63345
Mo American Mexico,Mexico,"Population served: 11,543",63345
Vandalia PWS,Vandalia,"Population served: 2,529",63345
Allen Acres,Foley,Population served: 70,63347
Bennington Estates,Troy,Population served: 185,63347
Brook Hill Subdivision,Bridgeton,Population served: 65,63347
Buelah Land Estates,Troy,Population served: 25,63347
Champion Farms Subdivision,Troy,Population served: 30,63347
Deer Valley Subdivision,Troy,Population served: 25,63347
Elsberry Health Care Center,Elsberry,Population served: 60,63347
Emerald Green Estates,Moscow Mills,Population served: 100,63347
Fawn Lakes,Wright City,Population served: 70,63347
Glen Meadows,Troy,Population served: 550,63347
Hawk Point PWS,Hawk Point,Population served: 669,63347
Hometown Court,Troy,Population served: 152,63347
Lake Forest Subdivision,Troy,Population served: 35,63347
Lincoln County Public Water Supply District 2,Troy,"Population served: 1,306",63347
Majestic Lakes,St Peters,Population served: 143,63347
MO American Anna Meadows,Moscow Mills,Population served: 225,63347
Pine Lake Estates,Troy,Population served: 115,63347
Quail Run Mobile Home Park,Moscow Mills,Population served: 250,63347
Rockport Subdivision,Troy,Population served: 204,63347
Silex PWS,Silex,Population served: 206,63347
Summerhaven Subdivision,Troy,Population served: 75,63347
Summers Crossing Subdivision,Hawk Point,Population served: 30,63347
Tara Valley Homeowners Association,Troy,Population served: 60,63347
,,Population served: 0,63347
Westmier Subdivision,Troy,Population served: 82,63347
Winfield PWS,Winfield,"Population served: 1,700",63347
O'Fallon,"O Fallon, MO","Population served:32,515",63348
Warrenton PWS,"Warrenton, MO","Population served:8,208",63348
St Charles Co. PWSD #2 Wright City,"Wright City, MO","Population served:3,550",63348
Bellflower PWS,Bellflower,Population served: 413,63350
High Hill PWS,High Hill,Population served: 300,63350
Jonesburg PWS,Jonesburg,Population served: 768,63350
Middletown PWS,Middletown,Population served: 167,63350
Montgomery County Public Water Supply District 1 Jonesburg,Warrenton,Population served: 300,63350
Montgomery County Public Water Supply District 1 Montgomery City,Warrenton,Population served: 20,63350
New Florence PWS,New Florence,Population served: 769,63350
Rhineland PWS,Rhineland,Population served: 170,63350
Roy L Utilities,High Hill,Population served: 30,63350
Wellsville PWS,Wellsville,"Population served: 1,270",63350
Cedar Grove Village Subdivision,Warrenton,Population served: 90,63351
Country Cove,Wright City,Population served: 52,63351
Glenbrook Estates,Wright City,Population served: 100,63351
Innsbrook,Wright City,Population served: 810,63351
Lake Sherwood Subdivision,Lake Sherwood,"Population served: 1,100",63351
Maple Ridge Mobile Home Park,Wright City,Population served: 140,63351
Marthasville PWS,Marthasville,"Population served: 1,200",63351
MO American - Warren Company Water & Sewer Company,Cottleville,"Population served: 1,200",63351
Pleasant Oak Mobile Home Park,Wright City,Population served: 150,63351
St. Charles County Public Water Supply District 2 Dutzow,O Fallon,Population served: 425,63351
St. Charles County Public Water Supply District 2 North Oak Dr,O Fallon,Population served: 580,63351
St. Charles County Public Water Supply District 2 Warren,O Fallon,"Population served: 1,192",63351
Truesdale PWS,Truesdale,Population served: 732,63351
Valley Lake Estates,Wright City,Population served: 40,63351
Cannon Public Water Supply District 1,Perry,"Population served: 6,482",63352
New London PWS,New London,Population served: 975,63352
Perry PWS,Perry,Population served: 694,63352
Ralls County Public Water Supply District 1,Hannibal,"Population served: 6,755",63352
MO American Jaxson,Foristell,Population served: 204,63357
Auxvasse PWS,Auxvasse,Population served: 983,63361
Callaway 2 Water District,Fulton,"Population served: 13,080",63361
Callaway County Public Water Supply District 1,Holts Summit,"Population served: 9,840",63361
Fulton,Fulton,"Population served: 12,128",63361
Hatton Hills Mobile Home Park,Kingdom City,Population served: 70,63361
Kingdom City PWS,Kingdom City,Population served: 128,63361
MO American Jefferson City North,Jefferson City,Population served: 95,63361
Mokane Water Co-op,Mokane,Population served: 208,63361
New Bloomfield PWS,New Bloomfield,Population served: 669,63361
Riverview Nursing Center,Mokane,Population served: 30,63361
Wildwood Lot Owners Association,Steedman,Population served: 113,63361
St. Paul,"St Paul, MO",Population served:500,63366
Wentzville,"Wentzville, MO","Population served:38,300",63367
St. Peters,"St Peters, MO","Population served:56,971",63376
Ecm Water & Sewer Authority - Flint Hill,"O Fallon, MO",Population served:379,63385
Hannibal,Hannibal,"Population served: 17,916",63401
Marion County Public Water Supply District 1,Philadelphia,"Population served: 4,900",63401
Palmyra PWS,Palmyra,"Population served: 3,595",63401
Clark County Cons Public Water Supply District 1,Kahoka,"Population served: 7,140",63430
Kahoka Public Works PWS,Kahoka,"Population served: 2,165",63430
Wayland PWS,Wayland,Population served: 533,63430
Wyaconda PWS,Wyaconda,Population served: 227,63430
Atlanta PWS,Altanta,Population served: 385,63431
Bevier PWS,Bevier,Population served: 762,63431
Callao PWS,Callao,Population served: 311,63431
Elmer PWS,Elmer,Population served: 115,63431
Laplata PWS,La Plata,"Population served: 1,366",63431
Macon County PWSD 1,Macon,"Population served: 11,606",63431
Macon PWS,Macon,"Population served: 5,489",63431
Memphis PWS,Memphis,"Population served: 1,822",63432
Scotland County Cons Public Water Supply District 1,Memphis,"Population served: 3,360",63432
Clarence PWS,Clarence,Population served: 813,63434
Hunnewell PWS,Hunnewell,Population served: 184,63434
Shelbina PWS,Shelbina,"Population served: 1,771",63434
Shelby County Public Water Supply District 1,Shelbyville,"Population served: 3,120",63434
Shelbyville PWS,Shelbyville,Population served: 552,63434
Canton PWS,Canton,"Population served: 2,377",63435
La Belle PWS,La Belle,Population served: 660,63435
Lagrange PWS,La Grange,"Population served: 1,102",63435
Lewis County Public Water Supply District 1,Ewing,"Population served: 1,688",63435
Lewistown PWS,Lewistown,Population served: 580,63435
Clarence Cannon Wholesale Water Commission,Stoutsville,Population served: 25,63437
Madison PWS,Madison,Population served: 554,63437
Monroe City PWS,Monroe City,"Population served: 2,443",63437
Paris PWS,Paris,"Population served: 1,250",63437
Edina PWS,Edina,"Population served: 1,153",63446
Knox County Public Water & Sewer District 1,Knox City,"Population served: 4,298",63446
Adair County Public Water Supply District 1,Kirksville,"Population served: 7,500",63501
Brashear PWS,Brashear,Population served: 288,63501
Kirksville,Kirksville,"Population served: 17,304",63501
Novinger PWS,Novinger,Population served: 550,63501
Clark PWS,Clark,Population served: 300,63534
Higbee PWS,Higbee,Population served: 560,63534
Huntsville PWS,Huntsville,"Population served: 1,563",63534
Moberly,Moberly,"Population served: 12,101",63534
Thomas Hill PWSD 1,Moberly,"Population served: 10,315",63534
Downing PWS,Downing,Population served: 335,63535
Glenwood PWS,Glenwood,Population served: 195,63535
Lake Thunderhead,Unionville,Population served: 585,63535
Lancaster PWS,Lancaster,Population served: 728,63535
Putnam County Public Water Supply District 1,Unionville,"Population served: 2,997",63535
Schuyler County Consolidated Public Water Supply District 1,Queen City,"Population served: 3,482",63535
Unionville PWS,Unionville,"Population served: 1,865",63535
Green Castle PWS,Green Castle,Population served: 275,63544
Green City PWS,Green City,Population served: 671,63544
Humphreys PWS,Galt,Population served: 98,63544
Milan PWS,Milan,"Population served: 1,960",63544
Newtown PWS,Newtown,Population served: 183,63544
North Central Mo Regional Water Commission,Milan,Population served: 25,63544
Sullivan County Public Water Supply District 1,Milan,"Population served: 4,327",63544
Brookfield PWS,Brookfield,"Population served: 4,542",63557
Browning PWS,Browning,Population served: 265,63557
