Utility name,City,People served,Zip
Kirkwood,"Kirkwood, MO","Population served:28,000",63005
Washington,"Washington, MO","Population served:13,892",63005
Union PWS,"Union, MO","Population served:10,204",63005
Franklin County Public Water Supply District 3,"Villa Ridge, MO","Population served:8,250",63005
Pacific PWS,"Pacific, MO","Population served:6,000",63005
Jefferson County Cons. PWSD C 1,"Barnhart, MO","Population served:35,000",63010
Jefferson County PWSD1,"Arnold, MO","Population served:20,000",63010
Jefferson County PWSD 2,"High Ridge, MO","Population served:20,000",63010
Jefferson County PWSD 3,"Arnold, MO","Population served:17,000",63010
Festus,"Festus, MO","Population served:11,600",63010
Jefferson County PWSD 10,"Arnonld, MO","Population served:10,000",63010
Jefferson County Public Water Supply District 5,"De Soto, MO","Population served:8,000",63010
Jefferson County Public Water Supply District 6,"House Springs, MO","Population served:7,300",63010
Desoto PWS,"De Soto, MO","Population served:6,400",63010
Jefferson County Public Water Supply District 7,"Mapaville, MO","Population served:6,100",63010
Jefferson County Cons. PWSD C 1,"Barnhart, MO","Population served:35,000",63012
Jefferson County PWSD1,"Arnold, MO","Population served:20,000",63012
Jefferson County PWSD 2,"High Ridge, MO","Population served:20,000",63012
Jefferson County PWSD 3,"Arnold, MO","Population served:17,000",63012
Festus,"Festus, MO","Population served:11,600",63012
Jefferson County PWSD 10,"Arnonld, MO","Population served:10,000",63012
Jefferson County Public Water Supply District 5,"De Soto, MO","Population served:8,000",63012
Jefferson County Public Water Supply District 6,"House Springs, MO","Population served:7,300",63012
Desoto PWS,"De Soto, MO","Population served:6,400",63012
Jefferson County Public Water Supply District 7,"Mapaville, MO","Population served:6,100",63012
Washington,"Washington, MO","Population served:13,892",63013
Union PWS,"Union, MO","Population served:10,204",63013
Franklin County Public Water Supply District 3,"Villa Ridge, MO","Population served:8,250",63013
Pacific PWS,"Pacific, MO","Population served:6,000",63013
St. Clair,"St Clair, MO","Population served:4,700",63013
Washington,"Washington, MO","Population served:13,892",63014
Union PWS,"Union, MO","Population served:10,204",63014
Franklin County Public Water Supply District 3,"Villa Ridge, MO","Population served:8,250",63014
Pacific PWS,"Pacific, MO","Population served:6,000",63014
St. Clair,"St Clair, MO","Population served:4,700",63014
Jefferson County Cons. PWSD C 1,"Barnhart, MO","Population served:35,000",63015
Jefferson County PWSD1,"Arnold, MO","Population served:20,000",63015
Jefferson County PWSD 2,"High Ridge, MO","Population served:20,000",63015
Jefferson County PWSD 3,"Arnold, MO","Population served:17,000",63015
Washington,"Washington, MO","Population served:13,892",63015
Festus,"Festus, MO","Population served:11,600",63015
Union PWS,"Union, MO","Population served:10,204",63015
Jefferson County PWSD 10,"Arnonld, MO","Population served:10,000",63015
Franklin County Public Water Supply District 3,"Villa Ridge, MO","Population served:8,250",63015
Jefferson County Public Water Supply District 5,"De Soto, MO","Population served:8,000",63015
Jefferson County Cons. PWSD C 1,"Barnhart, MO","Population served:35,000",63016
Jefferson County PWSD1,"Arnold, MO","Population served:20,000",63016
Jefferson County PWSD 2,"High Ridge, MO","Population served:20,000",63016
Jefferson County PWSD 3,"Arnold, MO","Population served:17,000",63016
Festus,"Festus, MO","Population served:11,600",63016
Jefferson County PWSD 10,"Arnonld, MO","Population served:10,000",63016
Jefferson County Public Water Supply District 5,"De Soto, MO","Population served:8,000",63016
Jefferson County Public Water Supply District 6,"House Springs, MO","Population served:7,300",63016
Desoto PWS,"De Soto, MO","Population served:6,400",63016
Jefferson County Public Water Supply District 7,"Mapaville, MO","Population served:6,100",63016
Jefferson County Cons. PWSD C 1,"Barnhart, MO","Population served:35,000",63019
Jefferson County PWSD1,"Arnold, MO","Population served:20,000",63019
Jefferson County PWSD 2,"High Ridge, MO","Population served:20,000",63019
Jefferson County PWSD 3,"Arnold, MO","Population served:17,000",63019
Festus,"Festus, MO","Population served:11,600",63019
Jefferson County PWSD 10,"Arnonld, MO","Population served:10,000",63019
Jefferson County Public Water Supply District 5,"De Soto, MO","Population served:8,000",63019
Jefferson County Public Water Supply District 6,"House Springs, MO","Population served:7,300",63019
Desoto PWS,"De Soto, MO","Population served:6,400",63019
Jefferson County Public Water Supply District 7,"Mapaville, MO","Population served:6,100",63019
Jefferson County Cons. PWSD C 1,"Barnhart, MO","Population served:35,000",63020
Jefferson County PWSD1,"Arnold, MO","Population served:20,000",63020
Jefferson County PWSD 2,"High Ridge, MO","Population served:20,000",63020
Jefferson County PWSD 3,"Arnold, MO","Population served:17,000",63020
Festus,"Festus, MO","Population served:11,600",63020
Jefferson County PWSD 10,"Arnonld, MO","Population served:10,000",63020
Park Hills PWS,"Park Hills, MO","Population served:8,566",63020
Jefferson County Public Water Supply District 5,"De Soto, MO","Population served:8,000",63020
Jefferson County Public Water Supply District 6,"House Springs, MO","Population served:7,300",63020
Desoto PWS,"De Soto, MO","Population served:6,400",63020
Jefferson County Cons. PWSD C 1,"Barnhart, MO","Population served:35,000",63023
Jefferson County PWSD1,"Arnold, MO","Population served:20,000",63023
Jefferson County PWSD 2,"High Ridge, MO","Population served:20,000",63023
Jefferson County PWSD 3,"Arnold, MO","Population served:17,000",63023
Festus,"Festus, MO","Population served:11,600",63023
Jefferson County PWSD 10,"Arnonld, MO","Population served:10,000",63023
Jefferson County Public Water Supply District 5,"De Soto, MO","Population served:8,000",63023
Jefferson County Public Water Supply District 6,"House Springs, MO","Population served:7,300",63023
Desoto PWS,"De Soto, MO","Population served:6,400",63023
Jefferson County Public Water Supply District 7,"Mapaville, MO","Population served:6,100",63023
Jefferson County Cons. PWSD C 1,"Barnhart, MO","Population served:35,000",63025
Kirkwood,"Kirkwood, MO","Population served:28,000",63025
Jefferson County PWSD1,"Arnold, MO","Population served:20,000",63025
Jefferson County PWSD 2,"High Ridge, MO","Population served:20,000",63025
Jefferson County PWSD 3,"Arnold, MO","Population served:17,000",63025
Festus,"Festus, MO","Population served:11,600",63025
Jefferson County PWSD 10,"Arnonld, MO","Population served:10,000",63025
Jefferson County Public Water Supply District 5,"De Soto, MO","Population served:8,000",63025
Jefferson County Public Water Supply District 6,"House Springs, MO","Population served:7,300",63025
Desoto PWS,"De Soto, MO","Population served:6,400",63025
Jefferson County Cons. PWSD C 1,"Barnhart, MO","Population served:35,000",63026
Kirkwood,"Kirkwood, MO","Population served:28,000",63026
Jefferson County PWSD1,"Arnold, MO","Population served:20,000",63026
Jefferson County PWSD 2,"High Ridge, MO","Population served:20,000",63026
Jefferson County PWSD 3,"Arnold, MO","Population served:17,000",63026
Festus,"Festus, MO","Population served:11,600",63026
Jefferson County PWSD 10,"Arnonld, MO","Population served:10,000",63026
Jefferson County Public Water Supply District 5,"De Soto, MO","Population served:8,000",63026
Jefferson County Public Water Supply District 6,"House Springs, MO","Population served:7,300",63026
Desoto PWS,"De Soto, MO","Population served:6,400",63026
Jefferson County Cons. PWSD C 1,"Barnhart, MO","Population served:35,000",63028
Jefferson County PWSD 2,"High Ridge, MO","Population served:20,000",63028
Jefferson County PWSD1,"Arnold, MO","Population served:20,000",63028
Jefferson County PWSD 3,"Arnold, MO","Population served:17,000",63028
Festus,"Festus, MO","Population served:11,600",63028
Jefferson County PWSD 10,"Arnonld, MO","Population served:10,000",63028
Park Hills PWS,"Park Hills, MO","Population served:8,566",63028
Jefferson County Public Water Supply District 5,"De Soto, MO","Population served:8,000",63028
Jefferson County Public Water Supply District 6,"House Springs, MO","Population served:7,300",63028
Desoto PWS,"De Soto, MO","Population served:6,400",63028
Jefferson County Cons. PWSD C 1,"Barnhart, MO","Population served:35,000",63030
Jefferson County PWSD 2,"High Ridge, MO","Population served:20,000",63030
Jefferson County PWSD1,"Arnold, MO","Population served:20,000",63030
Jefferson County PWSD 3,"Arnold, MO","Population served:17,000",63030
Festus,"Festus, MO","Population served:11,600",63030
Jefferson County PWSD 10,"Arnonld, MO","Population served:10,000",63030
Jefferson County Public Water Supply District 5,"De Soto, MO","Population served:8,000",63030
Jefferson County Public Water Supply District 6,"House Springs, MO","Population served:7,300",63030
Desoto PWS,"De Soto, MO","Population served:6,400",63030
Jefferson County Public Water Supply District 7,"Mapaville, MO","Population served:6,100",63030
Bismarck PWS,Bismarck,"Population served: 1,474",63036
Bloomsdale PWS,Bloomsdale,Population served: 523,63036
Bonne Terre Prison,Bonne Terre,"Population served: 3,500",63036
Bonne Terre PWS,Bonne Terre,"Population served: 3,800",63036
Desloge PWS,Desloge,"Population served: 5,300",63036
Farmington Manor,Farmington,Population served: 60,63036
Lake Forest Estates,Ste Genevieve,Population served: 650,63036
Lake Seven Falls Association Inc.,Ste Genevieve,Population served: 152,63036
Park Hills PWS,Park Hills,"Population served: 8,566",63036
Pilot Knob Rural Water District 1 Doe Run Area,Farmington,Population served: 508,63036
Sainte Genevieve County Public Water Supply District 1 North,Ste Genevieve,"Population served: 1,283",63036
Sainte Genevieve County Public Water Supply District 1 Sc,Ste Genevieve,"Population served: 3,563",63036
St. Francois County Public Water Supply District 1,Park Hills,Population served: 125,63036
Terre Du Lac,Bonne Terre,"Population served: 3,217",63036
Washington,"Washington, MO","Population served:13,892",63037
Union PWS,"Union, MO","Population served:10,204",63037
Franklin County Public Water Supply District 3,"Villa Ridge, MO","Population served:8,250",63037
Pacific PWS,"Pacific, MO","Population served:6,000",63037
St. Clair,"St Clair, MO","Population served:4,700",63037
Washington,"Washington, MO","Population served:13,892",63039
Union PWS,"Union, MO","Population served:10,204",63039
Franklin County Public Water Supply District 3,"Villa Ridge, MO","Population served:8,250",63039
Pacific PWS,"Pacific, MO","Population served:6,000",63039
St. Clair,"St Clair, MO","Population served:4,700",63039
Jefferson County Cons. PWSD C 1,"Barnhart, MO","Population served:35,000",63041
Jefferson County PWSD1,"Arnold, MO","Population served:20,000",63041
Jefferson County PWSD 2,"High Ridge, MO","Population served:20,000",63041
Jefferson County PWSD 3,"Arnold, MO","Population served:17,000",63041
Washington,"Washington, MO","Population served:13,892",63041
Festus,"Festus, MO","Population served:11,600",63041
Union PWS,"Union, MO","Population served:10,204",63041
Jefferson County PWSD 10,"Arnonld, MO","Population served:10,000",63041
Franklin County Public Water Supply District 3,"Villa Ridge, MO","Population served:8,250",63041
Jefferson County Public Water Supply District 5,"De Soto, MO","Population served:8,000",63041
Terrisan,"Bridgeton, MO",Population served:240,63044
Jefferson County Cons. PWSD C 1,"Barnhart, MO","Population served:35,000",63047
Jefferson County PWSD1,"Arnold, MO","Population served:20,000",63047
Jefferson County PWSD 2,"High Ridge, MO","Population served:20,000",63047
Jefferson County PWSD 3,"Arnold, MO","Population served:17,000",63047
Festus,"Festus, MO","Population served:11,600",63047
Jefferson County PWSD 10,"Arnonld, MO","Population served:10,000",63047
Jefferson County Public Water Supply District 5,"De Soto, MO","Population served:8,000",63047
Jefferson County Public Water Supply District 6,"House Springs, MO","Population served:7,300",63047
Desoto PWS,"De Soto, MO","Population served:6,400",63047
Jefferson County Public Water Supply District 7,"Mapaville, MO","Population served:6,100",63047
Jefferson County Cons. PWSD C 1,"Barnhart, MO","Population served:35,000",63048
Jefferson County PWSD1,"Arnold, MO","Population served:20,000",63048
Jefferson County PWSD 2,"High Ridge, MO","Population served:20,000",63048
Jefferson County PWSD 3,"Arnold, MO","Population served:17,000",63048
Festus,"Festus, MO","Population served:11,600",63048
Jefferson County PWSD 10,"Arnonld, MO","Population served:10,000",63048
Jefferson County Public Water Supply District 5,"De Soto, MO","Population served:8,000",63048
