Utility,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit
Campground Water Association,Bromodichloromethane,0.627 ppb,0.06 ppb,
Campground Water Association,Dibromochloromethane,0.437 ppb,0.1 ppb,
Campground Water Association,Haloacetic acids (HAA5)†,3.67 ppb,0.1 ppb,60 ppb
Campground Water Association,Nitrate,1.31 ppm,0.14 ppm,10 ppm
Campground Water Association,Nitrate and nitrite,1.31 ppm,0.14 ppm,10 ppm
Campground Water Association,Total trihalomethanes (TTHMs)†,1.65 ppb,0.15 ppb,80 ppb
Campground Water Association,Barium,35.0 ppb,700 ppb,"2,000 ppb"
Campground Water Association,Chloroform,0.590 ppb,0.4 ppb,
Campground Water Association,Chromium (total),0.750 ppb,,100 ppb
Campground Water Association,Dichloroacetic acid,0.333 ppb,0.2 ppb,
Campground Water Association,Monobromoacetic acid,1.33 ppb,25 ppb,
Campground Water Association,Monochloroacetic acid,2.00 ppb,53 ppb,
Campground Water Association,None,,,
City of Oxford,Bromodichloromethane,0.795 ppb,0.06 ppb,
City of Oxford,Chromium (hexavalent),0.800 ppb,0.02 ppb,
City of Oxford,Dibromochloromethane,0.733 ppb,0.1 ppb,
City of Oxford,Haloacetic acids (HAA5)†,2.37 ppb,0.1 ppb,60 ppb
City of Oxford,Haloacetic acids (HAA9)†,1.01 ppb,0.06 ppb,
City of Oxford,Nitrate,1.13 ppm,0.14 ppm,10 ppm
City of Oxford,Nitrate and nitrite,1.13 ppm,0.14 ppm,10 ppm
City of Oxford,"Radium, combined (-226 &amp; -228)",2.43 pCi/L,0.05 pCi/L,5 pCi/L
City of Oxford,Total trihalomethanes (TTHMs)†,2.52 ppb,0.15 ppb,80 ppb
City of Oxford,"1,1-Dichloroethane",0.0193 ppb,3 ppb,
City of Oxford,"1,4-Dioxane",0.211 ppb,0.35 ppb,
City of Oxford,Barium,39.0 ppb,700 ppb,"2,000 ppb"
City of Oxford,Bromoform,0.333 ppb,0.5 ppb,
City of Oxford,Chloroform,0.662 ppb,0.4 ppb,
City of Oxford,Chromium (total),0.998 ppb,,100 ppb
City of Oxford,Dibromoacetic acid,0.0526 ppb,0.04 ppb,
City of Oxford,Dichloroacetic acid,0.0526 ppb,0.2 ppb,
City of Oxford,Fluoride,0.754 ppm,,4 ppm
City of Oxford,Manganese,14.8 ppb,100 ppb,
City of Oxford,Monochloroacetic acid,2.26 ppb,53 ppb,
City of Oxford,Strontium,0.0492 ppb,"1,500 ppb",
City of Oxford,Xylenes (total),0.0542 ppb,"1,800 ppb","10,000 ppb"
City of Oxford,None,,,
College Hill Water Association,Haloacetic acids (HAA5)†,3.33 ppb,0.1 ppb,60 ppb
College Hill Water Association,Nitrate,0.422 ppm,0.14 ppm,10 ppm
College Hill Water Association,Nitrate and nitrite,0.423 ppm,0.14 ppm,10 ppm
College Hill Water Association,Barium,13.1 ppb,700 ppb,"2,000 ppb"
College Hill Water Association,Monobromoacetic acid,0.667 ppb,25 ppb,
College Hill Water Association,Monochloroacetic acid,2.67 ppb,53 ppb,
College Hill Water Association,None,,,
Denmark Water Association,Bromodichloromethane,1.41 ppb,0.06 ppb,
Denmark Water Association,Chloroform,3.42 ppb,0.4 ppb,
Denmark Water Association,Dichloroacetic acid,2.50 ppb,0.2 ppb,
Denmark Water Association,Haloacetic acids (HAA5)†,5.00 ppb,0.1 ppb,60 ppb
Denmark Water Association,Total trihalomethanes (TTHMs)†,4.83 ppb,0.15 ppb,80 ppb
Denmark Water Association,Trichloroacetic acid,2.50 ppb,0.1 ppb,
Denmark Water Association,Barium,31.8 ppb,700 ppb,"2,000 ppb"
Denmark Water Association,Chromium (total),0.333 ppb,,100 ppb
Denmark Water Association,Fluoride,0.0697 ppm,,4 ppm
Denmark Water Association,None,,,
East Oxford Water Association,Bromodichloromethane,1.29 ppb,0.06 ppb,
East Oxford Water Association,Chloroform,2.13 ppb,0.4 ppb,
East Oxford Water Association,Dibromochloromethane,0.767 ppb,0.1 ppb,
East Oxford Water Association,Dichloroacetic acid,1.000 ppb,0.2 ppb,
East Oxford Water Association,Haloacetic acids (HAA5)†,3.33 ppb,0.1 ppb,60 ppb
East Oxford Water Association,Total trihalomethanes (TTHMs)†,4.19 ppb,0.15 ppb,80 ppb
East Oxford Water Association,Trichloroacetic acid,1.33 ppb,0.1 ppb,
East Oxford Water Association,Barium,40.9 ppb,700 ppb,"2,000 ppb"
East Oxford Water Association,Chromium (total),1.07 ppb,,100 ppb
East Oxford Water Association,Fluoride,0.0730 ppm,,4 ppm
East Oxford Water Association,Monochloroacetic acid,1.000 ppb,53 ppb,
East Oxford Water Association,Nitrate,0.219 ppm,0.14 ppm,10 ppm
East Oxford Water Association,Nitrate and nitrite,0.241 ppm,0.14 ppm,10 ppm
East Oxford Water Association,Nitrite,0.0211 ppm,,1 ppm
East Oxford Water Association,Xylenes (total),0.245 ppb,"1,800 ppb","10,000 ppb"
East Oxford Water Association,None,,,
Harmontown Water Association,Barium,8.60 ppb,700 ppb,"2,000 ppb"
Harmontown Water Association,Chromium (total),0.300 ppb,,100 ppb
Harmontown Water Association,Nitrate,0.0783 ppm,0.14 ppm,10 ppm
Harmontown Water Association,Nitrate and nitrite,0.0783 ppm,0.14 ppm,10 ppm
Harmontown Water Association,Xylenes (total),0.133 ppb,"1,800 ppb","10,000 ppb"
Harmontown Water Association,None,,,
Hopewell Water Association,Haloacetic acids (HAA5)†,1.000 ppb,0.1 ppb,60 ppb
Hopewell Water Association,Nitrate,1.06 ppm,0.14 ppm,10 ppm
Hopewell Water Association,Nitrate and nitrite,1.06 ppm,0.14 ppm,10 ppm
Hopewell Water Association,Total trihalomethanes (TTHMs)†,0.643 ppb,0.15 ppb,80 ppb
Hopewell Water Association,Barium,17.0 ppb,700 ppb,"2,000 ppb"
