Utility name,City,People served,Zip
Anchor Water Association,Oxford,"Population served: 2,000",38601
Campground Water Association,Oxford,"Population served: 1,151",38601
City of Oxford,Oxford,"Population served: 25,000",38601
College Hill Water Association,Oxford,Population served: 982,38601
Denmark Water Association,Oxford,Population served: 360,38601
East Oxford Water Association,Oxford,"Population served: 1,397",38601
Harmontown Water Association,Como,"Population served: 1,520",38601
Hopewell Water Association,Oxford,"Population served: 1,322",38601
Hurricane Creek Water Association,Abbeville,Population served: 630,38601
Hurricane Hills W/a,Abbeville,Population served: 166,38601
Lafayette Springs Water Association,Oxford,Population served: 492,38601
Punkin W/a #1,Oxford,"Population served: 2,502",38601
Punkin W/a #2-deer Run,Oxford,Population served: 169,38601
Sanders Water Association Inc.,Etta,Population served: 569,38601
Taylor Water Association,Taylor,"Population served: 1,724",38601
Town of Abbeville-water Department,Abbeville,Population served: 435,38601
Turner Springs Water Association,Abbeville,Population served: 200,38601
Twelve Oaks Water System,Oxford,Population served: 290,38601
University of Mississippi,University,"Population served: 20,329",38601
Westover Water Association,Oxford,"Population served: 1,800",38601
Yocona Water Association Inc.,Oxford,Population served: 898,38601
Blackjack Development Association,Falkner,Population served: 613,38603
Chalybeate Water Association,Walnut,"Population served: 1,703",38603
City of Ripley,Ripley,"Population served: 9,400",38603
Dumas-pine Grove Water Association,Ripley,"Population served: 2,545",38603
Lake Mohawk Estates Water System,Booneville,Population served: 342,38603
Mitchell Water Association,Ripley,"Population served: 1,122",38603
North Benton W/a,Lamar,Population served: 388,38603
Shady Grove Water Association,Ripley,"Population served: 1,162",38603
Spout Springs W/a,Ripley,Population served: 591,38603
Three Forks Water Association,Walnut,"Population served: 1,149",38603
Tiplersville Water Association,Tiplersville,"Population served: 1,023",38603
Town of Ashland,Ashland,"Population served: 1,909",38603
Town of Blue Mountain,Blue Mountain,"Population served: 1,811",38603
Town of Falkner,Falkner,"Population served: 2,768",38603
Town of Hickory Flat,Hickory Flat,"Population served: 1,362",38603
Town of Potts Camp #2,Potts Camp,Population served: 428,38603
Town of Snow Lake Shores,Ashland,Population served: 500,38603
Town of Walnut,Walnut,"Population served: 1,386",38603
City of Batesville,"Batesville, MS","Population served:9,971",38606
City of Sardis,"Sardis, MS","Population served:3,395",38606
City of Marks,"Marks, MS","Population served:1,738",38606
Sardis Lake Community W/a,"Batesville, MS","Population served:2,500",38606
Hotophia Water Association,"Batesville, MS","Population served:2,085",38606
Alpine Water Association,Blue Springs,Population served: 840,38610
Bethlehem Water Association,New Albany,Population served: 908,38610
Blue Springs W/a,Blue Springs,"Population served: 3,000",38610
City of New Albany,New Albany,"Population served: 8,500",38610
Highway 30 West Water Association,Myrtle,"Population served: 1,869",38610
Ingomar Water Association,New Albany,"Population served: 2,508",38610
Keownville Rural Water Association,Baldwyn,"Population served: 2,553",38610
Lake Arrowhead,Hickory Flat,Population served: 250,38610
Mud Creek Water Association #4,Pontotoc,"Population served: 1,190",38610
North Haven Water Association,New Albany,Population served: 884,38610
Town of Myrtle,Myrtle,"Population served: 1,953",38610
Wallerville Water Association,New Albany,"Population served: 3,593",38610
Bcm Water Association,Myrtle,"Population served: 1,465",38611
Belmont Water Association,Hernando,"Population served: 2,107",38611
Buena Vista Lakes,Columbus,Population served: 768,38611
City of Hernando,Hernando,"Population served: 13,083",38611
City Of Hernando - Laughter,Hernando,Population served: 964,38611
City Of Hernando-jaybird,Hernando,"Population served: 4,837",38611
City of Holly Springs,Holly Springs,"Population served: 8,676",38611
City of Horn Lake,Horn Lake,"Population served: 13,263",38611
City of Horn Lake - Holly Hills,Horn Lake,Population served: 665,38611
City Of Horn Lake - Twin Lakes,Horn Lake,"Population served: 1,803",38611
City of Olive Branch,Olive Branch,"Population served: 49,339",38611
City of Southaven,Southaven,"Population served: 54,031",38611
Country Haven Mobile Home Park,Nesbit,Population served: 507,38611
Days Water Association,Nesbit,"Population served: 2,563",38611
Eudora Utilities Association,Hernando,"Population served: 3,688",38611
Horn Lake Water Association,Horn Lake,"Population served: 12,601",38611
,,Population served: 0,38611
Lewisburg -ingrams Mill North,Olive Branch,Population served: 463,38611
Lewisburg Water Association,Olive Branch,"Population served: 6,000",38611
Marshall County Water Association,Byhalia,"Population served: 3,905",38611
Nesbit Water Association,Nesbit,"Population served: 4,563",38611
South Victoria,Byhalia,Population served: 100,38611
Town of Byhalia,Byhalia,"Population served: 3,637",38611
Town of Potts Camp,Potts Camp,Population served: 977,38611
Walls Water Association,Walls,"Population served: 2,558",38611
Walls Water Association- Lake Forest,Walls,"Population served: 8,290",38611
Clarksdale Public Utilities,Clarksdale,"Population served: 17,962",38614
Coahoma Community College,Clarksdale,"Population served: 2,000",38614
Coahoma Utility District #2,Clarksdale,Population served: 554,38614
Green Acres W/a-north,Marks,Population served: 237,38614
Green Acres W/a-south,Marks,Population served: 351,38614
Lu-rand Utility District,Clarksdale,Population served: 215,38614
Moore Bayou W/a #2,Marks,Population served: 420,38614
Moore Bayou W/a #3,Marks,Population served: 378,38614
Moore Bayou Water Association,Marks,Population served: 438,38614
Pine Grove Water Association,Clarksdale,Population served: 433,38614
Rena Lara Water Association,Rena Lara,Population served: 412,38614
Town of Coahoma,Coahoma,Population served: 325,38614
Town of Friars Point,Friars Point,"Population served: 1,200",38614
Town of Jonestown,Jonestown,"Population served: 1,298",38614
Town of Lula,Lula,Population served: 319,38614
Town of Lyon,Lyon,Population served: 382,38614
Water Association of Moon Lake,Clarksdale,Population served: 500,38614
Town of Lambert,"Lambert, MS","Population served:1,638",38617
Arkabutla Water Association,Arkabutla,Population served: 445,38618
Back Acres,Senatobia,Population served: 443,38618
City of Senatobia,Senatobia,"Population served: 7,869",38618
Cottonville-savage W/a Inc.,Coldwater,Population served: 300,38618
Crestfield Water Association,Coldwater,Population served: 75,38618
Hidden Valley Light Association,Coldwater,Population served: 59,38618
Looxahoma Water Association,Senatobia,Population served: 665,38618
Oakdale Estates and Lake Suente,Senatobia,Population served: 135,38618
Senatobia Lakes Estates Inc.,Senatobia,Population served: 147,38618
Strayhorn W/a-crockett,Senatobia,"Population served: 2,550",38618
Town of Coldwater,Coldwater,"Population served: 1,600",38618
Asl Water Association,Sarah,Population served: 710,38620
