zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
38601,34.48146,-89.45166,Abbeville,MS,Mississippi,True,,1857.0,8.2,28071,Lafayette,"{""28071"": 100}",Lafayette,28071,False,False,America/Chicago
38603,34.83949,-89.14163,Ashland,MS,Mississippi,True,,2715.0,7.7,28009,Benton,"{""28009"": 96.0, ""28139"": 4.0}",Benton|Tippah,28009|28139,False,False,America/Chicago
38606,34.30375,-89.9581,Batesville,MS,Mississippi,True,,15538.0,23.9,28107,Panola,"{""28107"": 95.82, ""28119"": 2.75, ""28071"": 1.43}",Panola|Quitman|Lafayette,28107|28119|28071,False,False,America/Chicago
38610,34.65357,-89.02637,Blue Mountain,MS,Mississippi,True,,3324.0,13.5,28139,Tippah,"{""28139"": 72.62, ""28009"": 15.58, ""28145"": 11.8}",Tippah|Benton|Union,28139|28009|28145,False,False,America/Chicago
38611,34.85467,-89.67116,Byhalia,MS,Mississippi,True,,16885.0,34.0,28093,Marshall,"{""28093"": 81.3, ""28033"": 18.7}",Marshall|DeSoto,28093|28033,False,False,America/Chicago
38614,34.15914,-90.60747,Clarksdale,MS,Mississippi,True,,17353.0,27.6,28027,Coahoma,"{""28027"": 96.94, ""28011"": 3.06}",Coahoma|Bolivar,28027|28011,False,False,America/Chicago
38617,34.36261,-90.49342,Coahoma,MS,Mississippi,True,,495.0,2.2,28027,Coahoma,"{""28027"": 99.14, ""28119"": 0.86}",Coahoma|Quitman,28027|28119,False,False,America/Chicago
38618,34.70203,-89.93415,Coldwater,MS,Mississippi,True,,11091.0,21.6,28137,Tate,"{""28137"": 97.0, ""28033"": 2.3, ""28093"": 0.7}",Tate|DeSoto|Marshall,28137|28033|28093,False,False,America/Chicago
38619,34.51288,-89.82678,Como,MS,Mississippi,True,,4721.0,12.8,28107,Panola,"{""28107"": 70.11, ""28071"": 25.1, ""28137"": 4.79}",Panola|Lafayette|Tate,28107|28071|28137,False,False,America/Chicago
38620,34.23206,-89.9156,Courtland,MS,Mississippi,True,,3416.0,22.4,28107,Panola,"{""28107"": 100}",Panola,28107,False,False,America/Chicago
38621,34.4528,-90.1731,Crenshaw,MS,Mississippi,True,,2107.0,13.2,28107,Panola,"{""28107"": 79.99, ""28119"": 20.01}",Panola|Quitman,28107|28119,False,False,America/Chicago
