Utility,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit
Bearcreek Municipal Water System,Bromochloroacetic acid,0.630 ppb,0.02 ppb,
Bearcreek Municipal Water System,Bromodichloromethane,1.47 ppb,0.06 ppb,
Bearcreek Municipal Water System,Chloroform,5.23 ppb,0.4 ppb,
Bearcreek Municipal Water System,Dichloroacetic acid,3.15 ppb,0.2 ppb,
Bearcreek Municipal Water System,Haloacetic acids (HAA5)†,5.70 ppb,0.1 ppb,60 ppb
Bearcreek Municipal Water System,"Radium, combined (-226 &amp; -228)",0.20 pCi/L,0.05 pCi/L,5 pCi/L
Bearcreek Municipal Water System,Total trihalomethanes (TTHMs)†,6.90 ppb,0.15 ppb,80 ppb
Bearcreek Municipal Water System,Trichloroacetic acid,2.60 ppb,0.1 ppb,
Bearcreek Municipal Water System,Uranium,1.34 pCi/L,0.43 pCi/L,20 pCi/L
Bearcreek Municipal Water System,Nitrate and nitrite,0.0367 ppm,0.14 ppm,10 ppm
Bearcreek Municipal Water System,None,,,
Belfry Carbon County Water and Sewer District,Arsenic,0.250 ppb,0.004 ppb,10 ppb
Belfry Carbon County Water and Sewer District,Nitrate and nitrite,4.16 ppm,0.14 ppm,10 ppm
Belfry Carbon County Water and Sewer District,"Radium, combined (-226 &amp; -228)",1.32 pCi/L,0.05 pCi/L,5 pCi/L
Belfry Carbon County Water and Sewer District,Uranium,6.12 pCi/L,0.43 pCi/L,20 pCi/L
Belfry Carbon County Water and Sewer District,Barium,45.0 ppb,700 ppb,"2,000 ppb"
Belfry Carbon County Water and Sewer District,Fluoride,0.200 ppm,,4 ppm
Belfry Carbon County Water and Sewer District,Manganese,20.0 ppb,100 ppb,
Belfry Carbon County Water and Sewer District,Nitrite,0.160 ppm,,1 ppm
Belfry Carbon County Water and Sewer District,Selenium,1.000 ppb,30 ppb,50 ppb
Belfry Carbon County Water and Sewer District,None,,,
"Bridger, Town of",Bromochloroacetic acid,1.03 ppb,0.02 ppb,
"Bridger, Town of",Bromodichloromethane,1.56 ppb,0.06 ppb,
"Bridger, Town of",Chloroform,2.35 ppb,0.4 ppb,
"Bridger, Town of",Chromium (hexavalent),0.829 ppb,0.02 ppb,
"Bridger, Town of",Dibromoacetic acid,0.462 ppb,0.04 ppb,
"Bridger, Town of",Dibromochloromethane,0.930 ppb,0.1 ppb,
"Bridger, Town of",Dichloroacetic acid,1.96 ppb,0.2 ppb,
"Bridger, Town of",Haloacetic acids (HAA5)†,3.08 ppb,0.1 ppb,60 ppb
"Bridger, Town of",Nitrate and nitrite,1.35 ppm,0.14 ppm,10 ppm
"Bridger, Town of",Total trihalomethanes (TTHMs)†,5.09 ppb,0.15 ppb,80 ppb
"Bridger, Town of",Trichloroacetic acid,0.417 ppb,0.1 ppb,
"Bridger, Town of",Chromium (total),0.759 ppb,,100 ppb
"Bridger, Town of",Molybdenum,1.13 ppb,40 ppb,
"Bridger, Town of",Strontium,0.986 ppb,"1,500 ppb",
"Bridger, Town of",Vanadium,0.950 ppb,21 ppb,
"Bridger, Town of",None,,,
"Columbus, Town of",Arsenic,3.00 ppb,0.004 ppb,10 ppb
"Columbus, Town of",Bromochloroacetic acid,0.972 ppb,0.02 ppb,
"Columbus, Town of",Bromodichloromethane,0.774 ppb,0.06 ppb,
"Columbus, Town of",Bromoform,1.61 ppb,0.5 ppb,
"Columbus, Town of",Dibromoacetic acid,1.73 ppb,0.04 ppb,
"Columbus, Town of",Dibromochloromethane,1.94 ppb,0.1 ppb,
"Columbus, Town of",Dichloroacetic acid,0.550 ppb,0.2 ppb,
"Columbus, Town of",Haloacetic acids (HAA5)†,2.38 ppb,0.1 ppb,60 ppb
"Columbus, Town of",Nitrate and nitrite,1.99 ppm,0.14 ppm,10 ppm
"Columbus, Town of",Total trihalomethanes (TTHMs)†,4.83 ppb,0.15 ppb,80 ppb
"Columbus, Town of",Uranium,3.95 pCi/L,0.43 pCi/L,20 pCi/L
"Columbus, Town of",Barium,53.3 ppb,700 ppb,"2,000 ppb"
"Columbus, Town of",Chloroform,0.430 ppb,0.4 ppb,
"Columbus, Town of",Chromium (total),0.833 ppb,,100 ppb
"Columbus, Town of",Fluoride,0.433 ppm,,4 ppm
"Columbus, Town of",Monobromoacetic acid,0.0883 ppb,25 ppb,
"Columbus, Town of",Selenium,3.67 ppb,30 ppb,50 ppb
"Columbus, Town of",None,,,
Cooney Enterprises,Arsenic,2.00 ppb,0.004 ppb,10 ppb
Cooney Enterprises,Nitrate and nitrite,3.06 ppm,0.14 ppm,10 ppm
Cooney Enterprises,"Radium, combined (-226 &amp; -228)",0.80 pCi/L,0.05 pCi/L,5 pCi/L
Cooney Enterprises,Uranium,2.68 pCi/L,0.43 pCi/L,20 pCi/L
Cooney Enterprises,Barium,100.0 ppb,700 ppb,"2,000 ppb"
Cooney Enterprises,Fluoride,0.700 ppm,,4 ppm
Cooney Enterprises,None,,,
Eagle Mountain City,Arsenic,5.85 ppb,0.004 ppb,10 ppb
Eagle Mountain City,Bromodichloromethane,1.27 ppb,0.06 ppb,
Eagle Mountain City,Bromoform,2.11 ppb,0.5 ppb,
Eagle Mountain City,Chloroform,4.01 ppb,0.4 ppb,
Eagle Mountain City,Chromium (hexavalent),0.322 ppb,0.02 ppb,
Eagle Mountain City,Dibromoacetic acid,0.513 ppb,0.04 ppb,
Eagle Mountain City,Dibromochloromethane,0.677 ppb,0.1 ppb,
Eagle Mountain City,Dichloroacetic acid,2.71 ppb,0.2 ppb,
Eagle Mountain City,Haloacetic acids (HAA5)†,5.43 ppb,0.1 ppb,60 ppb
Eagle Mountain City,Haloacetic acids (HAA9)†,10.8 ppb,0.06 ppb,
