Utility name,City,People served,Zip
Absarokee Water and Sewer District,Absarokee,"Population served: 1,100",59001
Bearcreek Municipal Water System,Red Lodge,Population served: 200,59001
Belfry Carbon County Water and Sewer District,Belfry,Population served: 205,59001
"Bridger, Town of",Bridger,Population served: 750,59001
"Columbus, Town of",Columbus,"Population served: 1,900",59001
Cooney Enterprises,Roberts,Population served: 50,59001
Eagle Mountain Rural Public Water Supply,Columbus,Population served: 35,59001
Evergreen Subdivision,Joliet,Population served: 45,59001
"Fromberg, Town of",Fromberg,Population served: 500,59001
"Joliet, Town of",Joliet,Population served: 600,59001
Rapelje Water District,Rapelje,Population served: 70,59001
Red Lodge Water Department,Red Lodge,"Population served: 2,000",59001
Rio Vista Estates Ho Association Inc.,Laurel,Population served: 50,59001
Roberts Wua Carbon County Water and Sewer,Roberts,Population served: 300,59001
Sherwood Water Station,Columbus,Population served: 25,59001
City of Billings,"Billings, MT","Population served:114,000",59002
Co Water District of Billings Heights,"Billings, MT","Population served:12,000",59002
Laurel Municipal Water System,"Laurel, MT","Population served:6,339",59002
Lockwood Water and Sewer District,"Billings, MT","Population served:5,900",59002
Pioneer Water Service,"Billings, MT",Population served:900,59002
Ashland Water and Sewer District,Ashland,Population served: 400,59003
"Broadus, Town of",Broadus,Population served: 450,59003
"Colstrip, City of",Colstrip,"Population served: 2,350",59003
"Forsyth, City of",Forsyth,"Population served: 1,944",59003
St. Labre Indian School,Ashland,Population served: 650,59003
Big Valley & Crossed Arrows Imp District,Meeteetse,Population served: 35,59008
"Cody, City Of",Cody,"Population served: 9,836",59008
Green Acres Mobile Home Park,Powell,Population served: 375,59008
Juby`s Mobile Home Park,Powell,Population served: 300,59008
"Meeteetse, Town Of",Meeteetse,Population served: 327,59008
Northwest Rural Water District,Cody,"Population served: 5,998",59008
"Powell, City Of",Powell,"Population served: 6,700",59008
Rivers Bend Trailer Court,Powell,Population served: 100,59008
Shoshone Municipal Pipeline,Cody,Population served: 25,59008
Ynp-mammoth Hot Springs,Yellowstone National Park,"Population served: 2,600",59008
Fort Smith Water and Sewer District,Ballantine,Population served: 450,59010
"Hardin, City of",Hardin,"Population served: 3,500",59010
"Hysham, Town of",Hysham,Population served: 262,59010
"Lodge Grass, Town of",Lodge Grass,Population served: 907,59010
Wegner Water Service Hauler,Hardin,Population served: 50,59010
Yellowtail Dam Gc Lower System,Yellowtail,Population served: 85,59010
Yellowtail Dam Mk Upper System,Yellowtail,Population served: 40,59010
"Big Timber, City of",Big Timber,"Population served: 1,650",59011
Cottonwood Estates,Greycliff,Population served: 50,59011
Deer Creek Mobile Home Park,Big Timber,Population served: 22,59011
