zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
6390,41.27027,-71.98886,Fishers Island,NY,New York,True,,61.0,5.8,36103,Suffolk,"{""36103"": 100}",Suffolk,36103,False,False,America/New_York
10001,40.75064,-73.99728,New York,NY,New York,True,,25026.0,15489.3,36061,New York,"{""36061"": 100}",New York,36061,False,False,America/New_York
10002,40.71597,-73.98692,New York,NY,New York,True,,74363.0,34916.7,36061,New York,"{""36061"": 100}",New York,36061,False,False,America/New_York
10003,40.73184,-73.98915,New York,NY,New York,True,,54671.0,36928.8,36061,New York,"{""36061"": 100}",New York,36061,False,False,America/New_York
10004,40.69431,-74.01835,New York,NY,New York,True,,3310.0,2805.2,36061,New York,"{""36061"": 100}",New York,36061,False,False,America/New_York
10005,40.70614,-74.00862,New York,NY,New York,True,,8664.0,45907.6,36061,New York,"{""36061"": 100}",New York,36061,False,False,America/New_York
10006,40.70949,-74.01306,New York,NY,New York,True,,3260.0,13007.2,36061,New York,"{""36061"": 100}",New York,36061,False,False,America/New_York
10007,40.71387,-74.00792,New York,NY,New York,True,,7566.0,18269.7,36061,New York,"{""36061"": 100}",New York,36061,False,False,America/New_York
10009,40.72639,-73.97865,New York,NY,New York,True,,58267.0,36478.3,36061,New York,"{""36061"": 100}",New York,36061,False,False,America/New_York
10010,40.73899,-73.98243,New York,NY,New York,True,,34763.0,36398.0,36061,New York,"{""36061"": 100}",New York,36061,False,False,America/New_York
10011,40.74173,-74.00037,New York,NY,New York,True,,50228.0,29948.2,36061,New York,"{""36061"": 100}",New York,36061,False,False,America/New_York
10012,40.7256,-73.99794,New York,NY,New York,True,,23034.0,27453.1,36061,New York,"{""36061"": 100}",New York,36061,False,False,America/New_York
10013,40.72001,-74.00472,New York,NY,New York,True,,28657.0,20325.3,36061,New York,"{""36061"": 100}",New York,36061,False,False,America/New_York
10014,40.73407,-74.00601,New York,NY,New York,True,,29071.0,23148.5,36061,New York,"{""36061"": 100}",New York,36061,False,False,America/New_York
10016,40.74515,-73.97807,New York,NY,New York,True,,52912.0,37159.0,36061,New York,"{""36061"": 100}",New York,36061,False,False,America/New_York
10017,40.75235,-73.9726,New York,NY,New York,True,,16065.0,20821.8,36061,New York,"{""36061"": 100}",New York,36061,False,False,America/New_York
10018,40.75536,-73.99265,New York,NY,New York,True,,8135.0,9129.8,36061,New York,"{""36061"": 100}",New York,36061,False,False,America/New_York
10019,40.76586,-73.9853,New York,NY,New York,True,,45521.0,26675.0,36061,New York,"{""36061"": 100}",New York,36061,False,False,America/New_York
10020,40.75917,-73.98071,New York,NY,New York,True,,0.0,0.0,36061,New York,"{""36061"": 100}",New York,36061,False,False,America/New_York
10021,40.76963,-73.95899,New York,NY,New York,True,,42253.0,45753.9,36061,New York,"{""36061"": 100}",New York,36061,False,False,America/New_York
10022,40.75856,-73.96787,New York,NY,New York,True,,31574.0,27493.3,36061,New York,"{""36061"": 100}",New York,36061,False,False,America/New_York
10023,40.77464,-73.97836,New York,NY,New York,True,,62228.0,24787.8,36061,New York,"{""36061"": 100}",New York,36061,False,False,America/New_York
10024,40.78534,-73.97138,New York,NY,New York,True,,60714.0,26482.8,36061,New York,"{""36061"": 100}",New York,36061,False,False,America/New_York
10025,40.79825,-73.96831,New York,NY,New York,True,,92162.0,40033.3,36061,New York,"{""36061"": 100}",New York,36061,False,False,America/New_York
10026,40.80302,-73.95348,New York,NY,New York,True,,38937.0,39222.3,36061,New York,"{""36061"": 100}",New York,36061,False,False,America/New_York
