Utility name,City,People served,Zip
Stratford Municipal Water System,Stratford,"Population served: 1,950",73960
Texhoma City Municipal Water System,Texhoma,Population served: 310,73960
City of Carrollton,"Carrollton, TX","Population served:127,980",75001
Dallas Water Utility,"Dallas, TX","Population served:1,286,380",75001
City of Allen,"Allen, TX","Population served:102,762",75002
City of Parker,"Parker, TX","Population served:5,352",75002
Town of Fairview,"Fairview, TX","Population served:9,100",75002
City of Wylie,"Wylie, TX","Population served:44,418",75002
City of Plano,"Plano, TX","Population served:277,720",75002
Seis Lagos Utility District,"Lucas, TX","Population served:1,659",75002
Milligan Water Supply Corporation,"Mckinney, TX","Population served:3,234",75002
City of Murphy,"Murphy, TX","Population served:20,361",75002
Culleoka Water Supply Corporation,"Allen, TX","Population served:6,993",75002
City of Farmers Branch,"Farmers Branch, TX","Population served:31,560",75006
Town of Addison,"Addison, TX","Population served:15,458",75006
City of Coppell,"Coppell, TX","Population served:41,100",75006
City of Irving,"Irving, TX","Population served:238,829",75006
Denton County Fresh Water Supply District 1-a Castle Hills,"Lewisville, TX","Population served:15,741",75007
City of Celina,"Celina, TX","Population served:18,860",75009
Weston Water Supply Corporation,"Weston, TX",Population served:750,75009
Mustang SUD,"Aubrey, TX","Population served:14,724",75009
Willow Wood Addition Meadow Vista,"Austin, TX",Population served:351,75009
City of McKinney,"Mckinney, TX","Population served:169,710",75009
North Collin Special Utility District,"Melissa, TX","Population served:6,855",75009
Town of Prosper,"Prosper, TX","Population served:22,650",75009
City of Melissa,"Melissa, TX","Population served:11,883",75009
City of Anna,"Anna, TX","Population served:18,297",75009
City of Pilot Point,"Pilot Point, TX","Population served:5,047",75009
City of The Colony,"The Colony, TX","Population served:41,352",75010
City of Lewisville,"Lewisville, TX","Population served:104,780",75010
City of Grapevine,"Grapevine, TX","Population served:47,851",75019
Town of Flower Mound,"Flower Mound, TX","Population served:64,669",75019
City of Pottsboro,"Pottsboro, TX","Population served:2,500",75020
City of Sherman,"Sherman, TX","Population served:42,462",75020
Thompson Heights Water System,"Denison, TX",Population served:330,75020
Rocky Point Estates,"Pflugerville, TX",Population served:360,75020
