Utility,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit
Appalachian Teen Challenge Female Center,Haloacetic acids (HAA5)†,4.82 ppb,0.1 ppb,60 ppb
Appalachian Teen Challenge Female Center,"Radium, combined (-226 &amp; -228)",0.53 pCi/L,0.05 pCi/L,5 pCi/L
Appalachian Teen Challenge Female Center,Total trihalomethanes (TTHMs)†,0.725 ppb,0.15 ppb,80 ppb
Appalachian Teen Challenge Female Center,Barium,363.0 ppb,700 ppb,"2,000 ppb"
Appalachian Teen Challenge Female Center,Chloroform,0.725 ppb,0.4 ppb,
Appalachian Teen Challenge Female Center,Monobromoacetic acid,4.82 ppb,25 ppb,
Appalachian Teen Challenge Female Center,Nitrate,0.0183 ppm,0.14 ppm,10 ppm
Appalachian Teen Challenge Female Center,None,,,
Athens Town Of,Bromodichloromethane,0.888 ppb,0.06 ppb,
Athens Town Of,Chloroform,12.7 ppb,0.4 ppb,
Athens Town Of,Dichloroacetic acid,4.13 ppb,0.2 ppb,
Athens Town Of,Haloacetic acids (HAA5)†,9.35 ppb,0.1 ppb,60 ppb
Athens Town Of,Haloacetic acids (HAA9)†,21.4 ppb,0.06 ppb,
Athens Town Of,"Radium, combined (-226 &amp; -228)",0.17 pCi/L,0.05 pCi/L,5 pCi/L
Athens Town Of,Total trihalomethanes (TTHMs)†,13.6 ppb,0.15 ppb,80 ppb
Athens Town Of,Trichloroacetic acid,5.16 ppb,0.1 ppb,
Athens Town Of,Antimony,0.0346 ppb,1 ppb,6 ppb
Athens Town Of,Barium,15.3 ppb,700 ppb,"2,000 ppb"
Athens Town Of,Bromoform,0.00667 ppb,0.5 ppb,
Athens Town Of,Chromium (total),0.593 ppb,,100 ppb
Athens Town Of,Cyanide,7.45 ppb,,200 ppb
Athens Town Of,Dibromoacetic acid,0.0127 ppb,0.04 ppb,
Athens Town Of,Dibromochloromethane,0.0106 ppb,0.1 ppb,
Athens Town Of,Fluoride,0.257 ppm,,4 ppm
Athens Town Of,Manganese,28.9 ppb,100 ppb,
Athens Town Of,Mercury (inorganic),0.0240 ppb,1.2 ppb,2 ppb
Athens Town Of,Monochloroacetic acid,0.0604 ppb,53 ppb,
