Utility name,City,People served,Zip
Appalachian Teen Challenge Female Center,Princeton,Population served: 30,24701
Appalachian Teen Challenge Male Center,Princeton,Population served: 30,24701
Athens Town Of,Athens,"Population served: 4,802",24701
Bluewell Psd,Bluefield,"Population served: 6,216",24701
Green Valley Glenwood Psd Bulltail,Bluefield,"Population served: 1,869",24701
Green Valley Glenwood Psd Glenwood,Bluefield,"Population served: 5,775",24701
Hiawatha Water,Matoaka,Population served: 75,24701
Pinnacle Water Association,Rock,Population served: 85,24701
Raleigh County Psd Egeria,Sophia,Population served: 200,24701
Weyanoke Giatto Water System,Matoaka,Population served: 40,24701
WVAWC - Bluefield District,Princeton,"Population served: 12,174",24701
Brenton Psd,Brenton,Population served: 363,24716
Coal Mountain Water,Coal Mountain,Population served: 118,24716
Eastern Wyoming Psd Stephenson WTP,Logan,"Population served: 3,561",24716
Garwood Community Water,Covel,Population served: 55,24716
Glen Rogers Psd,Glen Rogers,Population served: 283,24716
Green Camp Psd,Wyoming,Population served: 44,24716
Herndon Community Water,Herndon,Population served: 56,24716
,,Population served: 0,24716
Kopperston Psd,Kopperston,"Population served: 1,095",24716
Oceana Community Of,Oceana,"Population served: 2,672",24716
Pineville Municipal Water,Pineville,"Population served: 2,945",24716
Ravencliff Mcgraws Saulsville Psd,Glen Fork,"Population served: 3,186",24716
Ashland Community,Welch,Population served: 70,24801
Bradshaw Water Works,Bradshaw,Population served: 233,24801
Crumpler Community Water,Welch,Population served: 318,24801
Davy Municipal Water Works,Davy,Population served: 552,24801
Gary City Of,Gary,"Population served: 1,633",24801
Keystone Municipal Water,Keystone,Population served: 448,24801
Mcdowell County Psd Bartley,Welch,"Population served: 1,632",24801
Mcdowell County Psd Berwind,Welch,Population served: 863,24801
Mcdowell County Psd Big Four,Welch,Population served: 363,24801
Mcdowell County Psd Bishop,Welch,Population served: 100,24801
Mcdowell County Psd Coalwood,Welch,"Population served: 1,008",24801
Mcdowell County Psd Eckman,Welch,Population served: 118,24801
Mcdowell County Psd Greenbrier,Welch,Population served: 165,24801
Mcdowell County Psd Havaco,Welch,Population served: 370,24801
Mcdowell County Psd Hemphill,Welch,Population served: 322,24801
Mcdowell County Psd Kimball,Welch,Population served: 605,24801
Mcdowell County Psd Maybeury,Welch,Population served: 871,24801
Mcdowell County Psd Premier,Welch,Population served: 122,24801
Mcdowell County Psd Tidewater,Welch,Population served: 188,24801
Northfork Water Works,Northfork,Population served: 542,24801
War Water Works City Realty,War,Population served: 942,24801
Welch City Of,Welch,"Population served: 2,907",24801
Buffalo Creek Psd,Oceana,"Population served: 2,770",24827
"Chapmanville, Town Of",Chapmanville,"Population served: 1,454",24827
Logan Co. P S D - Crawley Creek,Logan,"Population served: 1,444",24827
Logan Co. Psd - Stollings,Logan,"Population served: 2,008",24827
Logan Co. Psd-greenville System,Logan,"Population served: 4,652",24827
