Utility name,City,People served,Zip
Appalachian Teen Challenge Female Center,Princeton,Population served: 30,24701
Appalachian Teen Challenge Male Center,Princeton,Population served: 30,24701
Athens Town Of,Athens,"Population served: 4,802",24701
Bluewell Psd,Bluefield,"Population served: 6,216",24701
Green Valley Glenwood Psd Bulltail,Bluefield,"Population served: 1,869",24701
Green Valley Glenwood Psd Glenwood,Bluefield,"Population served: 5,775",24701
Hiawatha Water,Matoaka,Population served: 75,24701
Pinnacle Water Association,Rock,Population served: 85,24701
Raleigh County Psd Egeria,Sophia,Population served: 200,24701
Weyanoke Giatto Water System,Matoaka,Population served: 40,24701
WVAWC - Bluefield District,Princeton,"Population served: 12,174",24701
Appalachian Teen Challenge Female Center,Princeton,Population served: 30,24712
Appalachian Teen Challenge Male Center,Princeton,Population served: 30,24712
Athens Town Of,Athens,"Population served: 4,802",24712
Bluewell Psd,Bluefield,"Population served: 6,216",24712
Green Valley Glenwood Psd Bulltail,Bluefield,"Population served: 1,869",24712
Green Valley Glenwood Psd Glenwood,Bluefield,"Population served: 5,775",24712
Hiawatha Water,Matoaka,Population served: 75,24712
Pinnacle Water Association,Rock,Population served: 85,24712
Raleigh County Psd Egeria,Sophia,Population served: 200,24712
Weyanoke Giatto Water System,Matoaka,Population served: 40,24712
WVAWC - Bluefield District,Princeton,"Population served: 12,174",24712
Appalachian Teen Challenge Female Center,Princeton,Population served: 30,24714
Appalachian Teen Challenge Male Center,Princeton,Population served: 30,24714
Athens Town Of,Athens,"Population served: 4,802",24714
Bluewell Psd,Bluefield,"Population served: 6,216",24714
Green Valley Glenwood Psd Bulltail,Bluefield,"Population served: 1,869",24714
Green Valley Glenwood Psd Glenwood,Bluefield,"Population served: 5,775",24714
Hiawatha Water,Matoaka,Population served: 75,24714
Pinnacle Water Association,Rock,Population served: 85,24714
Raleigh County Psd Egeria,Sophia,Population served: 200,24714
Weyanoke Giatto Water System,Matoaka,Population served: 40,24714
WVAWC - Bluefield District,Princeton,"Population served: 12,174",24714
Appalachian Teen Challenge Female Center,Princeton,Population served: 30,24715
Appalachian Teen Challenge Male Center,Princeton,Population served: 30,24715
Athens Town Of,Athens,"Population served: 4,802",24715
Bluewell Psd,Bluefield,"Population served: 6,216",24715
Green Valley Glenwood Psd Bulltail,Bluefield,"Population served: 1,869",24715
Green Valley Glenwood Psd Glenwood,Bluefield,"Population served: 5,775",24715
Hiawatha Water,Matoaka,Population served: 75,24715
Pinnacle Water Association,Rock,Population served: 85,24715
Raleigh County Psd Egeria,Sophia,Population served: 200,24715
Weyanoke Giatto Water System,Matoaka,Population served: 40,24715
WVAWC - Bluefield District,Princeton,"Population served: 12,174",24715
Brenton Psd,Brenton,Population served: 363,24716
Coal Mountain Water,Coal Mountain,Population served: 118,24716
Eastern Wyoming Psd Stephenson WTP,Logan,"Population served: 3,561",24716
