,Utility,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit
0,City of Pendleton,<h3>Arsenic</h3>,0.750 ppb,0.004 ppb,10 ppb
1,City of Pendleton,<h3>Chromium (hexavalent)</h3>,0.0472 ppb,0.02 ppb,
2,City of Pendleton,<h3>Haloacetic acids (HAA5)†</h3>,15.3 ppb,0.1 ppb,60 ppb
3,City of Pendleton,<h3>Haloacetic acids (HAA9)†</h3>,16.2 ppb,0.06 ppb,
4,City of Pendleton,<h3>Nitrate</h3>,1.40 ppm,0.14 ppm,10 ppm
5,City of Pendleton,<h3>Total trihalomethanes (TTHMs)†</h3>,25.5 ppb,0.15 ppb,80 ppb
6,City of Pendleton,<h3>Uranium</h3>,0.89 pCi/L,0.43 pCi/L,20 pCi/L
7,City of Pendleton,<h3>Chlorate</h3>,125.9 ppb,210 ppb,
8,City of Pendleton,<h3>Chromium (total)</h3>,0.0338 ppb,,100 ppb
9,City of Pendleton,<h3>Manganese</h3>,3.99 ppb,100 ppb,
10,City of Pendleton,<h3>Molybdenum</h3>,0.381 ppb,40 ppb,
11,City of Pendleton,<h3>Strontium</h3>,0.0703 ppb,"1,500 ppb",
12,City of Pendleton,<h3>Vanadium</h3>,8.72 ppb,21 ppb,
13,City of Pendleton,,,,
14,City of Hermiston,<h3>Arsenic</h3>,2.25 ppb,0.004 ppb,10 ppb
15,City of Hermiston,<h3>Chromium (hexavalent)</h3>,0.113 ppb,0.02 ppb,
16,City of Hermiston,<h3>Haloacetic acids (HAA5)†</h3>,17.7 ppb,0.1 ppb,60 ppb
17,City of Hermiston,<h3>Haloacetic acids (HAA9)†</h3>,23.0 ppb,0.06 ppb,
18,City of Hermiston,<h3>Nitrate</h3>,1.10 ppm,0.14 ppm,10 ppm
19,City of Hermiston,<h3>Total trihalomethanes (TTHMs)†</h3>,31.6 ppb,0.15 ppb,80 ppb
20,City of Hermiston,<h3>Uranium</h3>,1.62 pCi/L,0.43 pCi/L,20 pCi/L
21,City of Hermiston,<h3>Chromium (total)</h3>,0.0763 ppb,,100 ppb
22,City of Hermiston,<h3>Germanium</h3>,1.18 ppb,,
23,City of Hermiston,<h3>Manganese</h3>,2.61 ppb,100 ppb,
24,City of Hermiston,<h3>Molybdenum</h3>,2.69 ppb,40 ppb,
25,City of Hermiston,<h3>Strontium</h3>,0.151 ppb,"1,500 ppb",
26,City of Hermiston,<h3>Vanadium</h3>,4.48 ppb,21 ppb,
27,City of Hermiston,<h3>Xylenes (total)</h3>,0.0471 ppb,"1,800 ppb","10,000 ppb"
28,City of Hermiston,,,,
29,"Milton-freewater, City Of",<h3>Total trihalomethanes (TTHMs)†</h3>,1.14 ppb,0.15 ppb,80 ppb
30,"Milton-freewater, City Of",<h3>Nitrate</h3>,0.0628 ppm,0.14 ppm,10 ppm
31,"Milton-freewater, City Of",,,,
32,"Umatilla, City of",<h3>Haloacetic acids (HAA5)†</h3>,1.33 ppb,0.1 ppb,60 ppb
33,"Umatilla, City of",<h3>Total trihalomethanes (TTHMs)†</h3>,16.1 ppb,0.15 ppb,80 ppb
34,"Umatilla, City of",,,,
35,"Stanfield, City of",<h3>Arsenic</h3>,0.257 ppb,0.004 ppb,10 ppb
36,"Stanfield, City of",<h3>Haloacetic acids (HAA5)†</h3>,0.809 ppb,0.1 ppb,60 ppb
37,"Stanfield, City of",<h3>Total trihalomethanes (TTHMs)†</h3>,4.51 ppb,0.15 ppb,80 ppb
38,"Stanfield, City of",<h3>Barium</h3>,4.73 ppb,700 ppb,"2,000 ppb"
39,"Stanfield, City of",<h3>Chromium (total)</h3>,0.308 ppb,,100 ppb
40,"Stanfield, City of",<h3>Fluoride</h3>,1.19 ppm,,4 ppm
41,"Stanfield, City of",<h3>Nitrate</h3>,0.0394 ppm,0.14 ppm,10 ppm
42,"Stanfield, City of",<h3>Nitrate and nitrite</h3>,0.108 ppm,0.14 ppm,10 ppm
43,"Stanfield, City of",,,,
44,McMinnville Water & Light,<h3>Chromium (hexavalent)</h3>,0.269 ppb,0.02 ppb,
45,McMinnville Water & Light,<h3>Haloacetic acids (HAA5)†</h3>,24.3 ppb,0.1 ppb,60 ppb
46,McMinnville Water & Light,<h3>Haloacetic acids (HAA9)†</h3>,22.4 ppb,0.06 ppb,
47,McMinnville Water & Light,<h3>Total trihalomethanes (TTHMs)†</h3>,30.6 ppb,0.15 ppb,80 ppb
48,McMinnville Water & Light,<h3>Barium</h3>,2.00 ppb,700 ppb,"2,000 ppb"
